geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00014675,13.1,56.9,29.9
E00014676,26.9,53.8,19.2
E00014677,12.7,58.6,28.7
E00014678,12.3,61.4,26.3
E00014679,11.5,60.7,27.9
E00014680,8.3,60.8,30.8
E00014681,13.2,68.6,18.2
E00014682,14.3,70.4,15.3
E00014683,11.9,67.3,20.8
E00014684,18.1,48.2,33.7
E00014686,15.8,42.6,41.6
E00014687,26.7,43.3,30
E00014688,14.1,48.9,37
E00014689,19.5,50,30.5
E00014690,12.8,51.4,35.8
E00014691,25.5,39.2,35.3
E00014692,16,65,19
E00014693,17.5,63.8,18.8
E00014694,21.7,57.6,20.7
E00014695,11.2,75.3,13.5
E00014696,9.8,62.7,27.5
E00014697,12.7,66.7,20.6
E00014698,15.7,66.9,17.4
E00014699,8.4,66.4,25.2
E00014700,14,62.4,23.7
E00014701,21.9,57.8,20.3
E00014702,13.8,56.3,30
E00014703,8.5,68.4,23.1
E00014704,19.1,60.3,20.6
E00014705,13.6,63.6,22.7
E00014706,14.3,82.1,3.6
E00014707,16.5,57,26.6
E00014708,10.5,69.5,20
E00014709,9.8,58.8,31.4
E00014710,14.6,47.6,37.9
E00014711,9.7,68.1,22.1
E00014712,20.8,41.5,37.7
E00014713,17.2,71.9,10.9
E00014714,13.1,72.1,14.8
E00014715,35.5,41.9,22.6
E00014716,34.1,45.5,20.5
E00014717,11.9,64.3,23.8
E00014718,3.1,73.4,23.4
E00014719,8.4,72.3,19.3
E00014720,12.9,66.3,20.8
E00014721,15.3,55.3,29.4
E00014722,15.3,74.2,10.5
E00014723,10.3,79.3,10.3
E00014724,14.5,58.2,27.3
E00014725,12.6,73.8,13.6
E00014726,13.7,56.2,30.1
E00014727,11.8,66.2,22.1
E00014728,31.4,45.7,22.9
E00014729,13,70.4,16.5
E00014730,24.2,42.3,33.5
E00014731,16.9,64.8,18.3
E00014732,19.8,39.6,40.6
E00014733,3.8,50.6,45.6
E00014734,7.4,61.1,31.5
E00014735,10.3,67.8,21.8
E00014736,9,75.7,15.3
E00014737,25,43.8,31.3
E00014743,11.3,61.9,26.8
E00014750,6.8,61.9,31.4
E00014751,12.7,65.7,21.5
E00014801,15.6,55.8,28.6
E00014802,16,53.6,30.4
E00014803,19.8,56.4,23.8
E00014804,16.4,56.4,27.3
E00014805,12,60.7,27.4
E00014806,21.5,53.2,25.3
E00014807,15.7,62,22.3
E00014808,17,57.1,25.9
E00014809,20.8,54.5,24.7
E00014810,19.4,52.2,28.4
E00014811,14,65,21
E00014812,11,77,12
E00014813,9,67.4,23.6
E00014814,15.1,64.7,20.2
E00014815,13.6,70.4,16
E00014816,10.3,68,21.6
E00014817,17.9,53.7,28.4
E00014818,11.1,60.7,28.2
E00014819,6.3,68.4,25.3
E00014820,12.3,65.1,22.6
E00014821,19,57.1,23.8
E00014822,11.7,59.2,29.2
E00014823,10.8,66.3,22.9
E00014824,7.4,71.3,21.3
E00014825,14.7,70.7,14.7
E00014826,9.2,48.9,41.8
E00014827,16.5,64.6,19
E00014828,14.1,62.6,23.2
E00014829,15.2,58.6,26.3
E00014830,24.2,62.1,13.6
E00014831,15.6,63.3,21.1
E00014832,8.8,65.9,25.3
E00014833,16.3,47.8,35.9
E00014834,9.6,60.3,30.1
E00014835,13.1,62.3,24.6
E00014836,19.4,65.3,15.3
E00014837,8.9,78.9,12.2
E00014838,13.2,78.9,7.9
E00014839,15.2,62,22.8
E00014840,16.7,55.1,28.2
E00014841,17.8,60.3,21.9
E00014842,10.8,80.6,8.6
E00014843,13.1,69,17.9
E00014844,11.5,69.9,18.6
E00014845,16.9,46.9,36.3
E00014846,19.7,59.2,21.1
E00014847,15.7,64.3,20
E00014848,9.4,77.6,12.9
E00014849,31.3,55,13.8
E00014850,12.9,50.3,36.8
E00014851,13.8,62.1,24.1
E00014852,6.3,75,18.8
E00014853,16.7,66.7,16.7
E00014854,15.2,59.1,25.8
E00014855,15.2,71.7,13
E00014856,8.9,60.2,30.9
E00014857,14.5,61.6,23.8
E00014941,11.3,71.8,16.9
E00014943,27.8,51.9,20.4
E00014944,12.1,67.2,20.7
E00014945,16.3,72.5,11.3
E00014946,14.9,74.5,10.6
E00014947,29.2,55.4,15.4
E00014991,15,58.8,26.1
E00014992,10.7,58.8,30.5
E00015023,9.6,52.1,38.3
E00015025,6.5,58.9,34.7
E00015028,20.3,47.1,32.6
E00015030,12.4,58.7,28.9
E00015035,19.6,60.9,19.6
E00015036,13,55.4,31.5
E00015039,10.7,57.1,32.1
E00015041,14.1,74.6,11.3
E00015042,10.9,73.9,15.2
E00015044,14.5,71.1,14.5
E00015047,13.3,71.1,15.6
E00015048,13,59.4,27.5
E00015049,8.6,72.4,19
E00015050,6.4,83,10.6
E00015051,17.1,56.1,26.8
E00015052,23.3,56.7,20
E00015053,25,38.9,36.1
E00015054,18.8,60,21.2
E00015055,24.5,64.2,11.3
E00015056,38.6,35.1,26.3
E00015057,13.1,69,17.9
E00015058,16,60,24
E00015059,13.5,71.2,15.4
E00015060,13.9,68.4,17.7
E00015061,24.1,58.6,17.2
E00015062,21.6,60.8,17.6
E00015063,18.6,55.8,25.6
E00015065,29.4,64.7,5.9
E00015066,21.3,53.8,25
E00015067,23.2,53.6,23.2
E00015068,21.5,55.9,22.6
E00015070,12.9,54.3,32.8
E00015071,22,66.1,11.9
E00015072,32.5,51.3,16.3
E00015073,15.4,54.9,29.7
E00015074,15.4,60.4,24.2
E00015075,7,82.2,10.9
E00015076,17.6,74.5,7.8
E00015077,17.9,58.9,23.2
E00015078,10.8,81.1,8.1
E00015079,31.9,53.2,14.9
E00015080,11.5,42.5,46
E00015081,12,63.9,24.1
E00015082,26.1,71.7,2.2
E00015083,11.6,72.3,16.1
E00015084,26.3,61.8,11.8
E00015085,16.3,73.1,10.6
E00015086,12.5,73.2,14.3
E00015087,17.4,69.6,13
E00015088,11.2,56.1,32.7
E00015089,15.5,63.4,21.1
E00015090,10.8,62.7,26.5
E00015091,8.8,74.7,16.5
E00015092,12.1,63.6,24.2
E00015093,19,58.7,22.2
E00015094,21.3,42.7,36
E00015095,16,57.3,26.7
E00015096,15.2,49.4,35.4
E00015097,20.7,63.8,15.5
E00015098,19.4,47.2,33.3
E00015099,26.5,52.9,20.6
E00015100,10,72.9,17.1
E00015101,30.8,46.2,23.1
E00015102,16.1,58.9,25
E00015103,25,55,20
E00015104,11.1,63.5,25.4
E00015105,20.9,55.8,23.3
E00015106,24.4,55.6,20
E00015107,13.2,49.1,37.7
E00015108,12,59,29.1
E00015109,14,74.4,11.6
E00015110,15.9,56.8,27.3
