areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00097172,12.7,67.3,20
E00097176,8.3,78.3,13.3
E00097179,11.5,76.9,11.5
E00097192,8.6,69.3,22.1
E00097197,16.9,68.8,14.3
E00139236,8.1,53.2,38.7
E00139834,10.8,72.3,16.9
E00139835,8.6,68.1,23.3
E00139837,14.3,66.4,19.3
E00139847,14.9,70.3,14.9
E00139848,5.8,72.1,22.1
E00139849,8.5,72.9,18.6
E00139850,6.3,75.9,17.9
E00139855,12.4,74.2,13.4
E00139857,4.7,72.9,22.4
E00139874,12.1,70.7,17.2
E00139879,13.2,80.2,6.6
E00139880,12,65.1,22.9
E00139895,5.9,77.5,16.7
E00139939,9.1,77.7,13.2
E00139940,6.5,75.9,17.6
E00139941,8.2,82,9.8
E00139980,10.4,73.6,15.9
E00139981,1.6,76.6,21.9
E00139982,13.5,69.8,16.7
E00140008,3,81,16
E00140009,9.8,70.7,19.6
E00140010,8,75.9,16.1
E00140011,13.2,65.1,21.7
E00140012,20.3,64.1,15.6
E00140015,15.4,53.8,30.8
E00140016,11.3,73,15.7
E00140017,9.4,70.8,19.8
E00140018,9.3,69.4,21.3
E00140019,11.5,75.4,13.1
E00140020,9.8,67.2,23
E00140021,6.6,76.4,17
E00140022,11.2,70.8,18
E00140023,11.8,75.3,12.9
