geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00002660,42.7,9.8,24.4,23.2
E00002661,35.7,9.3,40.7,14.3
E00002662,39.3,6.7,39.3,14.6
E00002663,36.1,5.6,50.7,7.6
E00002664,46.5,8.3,31.3,13.9
E00002665,43.1,4.4,35.6,16.9
E00002667,40.7,8.6,29.3,21.4
E00002668,36.4,8.1,45.3,10.1
E00002669,55.4,6.9,9.9,27.7
E00002670,38.8,7.5,40.8,12.9
E00002672,43.1,12.2,27.1,17.7
E00002676,27.8,5.3,53,13.9
E00002677,45.8,12.5,25,16.7
E00002678,42.6,15.7,24.1,17.6
E00002679,46.9,10.3,24.8,17.9
E00002680,44.8,8,40.8,6.4
E00002681,42.8,8.3,26.9,22.1
E00002682,41.4,7.4,38.1,13.1
E00002807,24.5,4.7,63.7,7.1
E00002808,52.1,3.1,31.3,13.5
E00002810,38.2,10.1,33.7,18
E00002811,40.4,3.2,44.1,12.2
E00002815,34.7,3.8,50.2,11.3
E00002816,41.5,0.5,44.6,13.3
E00002821,28.2,7.7,53.8,10.3
E00002822,31.1,3.8,53.3,11.8
E00002827,37,3.7,50.4,8.9
E00002834,13.9,2.1,79.4,4.6
E00002837,32.9,7.9,51.8,7.3
E00002839,22.7,3,67.2,7.1
E00002840,29.4,4,52.8,13.9
E00002844,23.8,5,63.8,7.5
E00002845,40.3,5.5,34.3,19.9
E00002846,33.5,0.9,58.7,6.9
E00002847,18.2,2.7,71.1,8
E00002848,31,4.6,50,14.4
E00004610,34.9,5.5,40.4,19.3
E00004611,48.8,11.6,20.9,18.6
E00014139,33.7,5.9,48.5,11.9
E00014150,33.6,5,46.2,15.1
E00014151,49.2,3.2,32.4,15.2
E00014152,26.4,0.5,63.7,9.3
E00014153,28,3.7,50.5,17.8
E00014154,28.3,4.4,55.3,11.9
E00014155,30.1,3.9,57.3,8.7
E00014156,12,1.2,81.9,4.8
E00014157,38.9,2.8,48.3,10
E00014158,25.6,1.1,71.1,2.2
E00014159,10.4,7.3,80.2,2.1
E00014160,22,4.4,65.9,7.7
E00014161,23.5,0.9,69.6,6.1
E00014162,27.8,3.1,49.5,19.6
E00014163,25.2,4.9,60.8,9.1
E00014164,32,5.8,46.6,15.5
E00014165,35,2.6,40.2,22.2
E00014166,36.6,2.8,38,22.5
E00014167,33,6.4,54.3,6.4
E00014168,22.9,1.8,65.1,10.1
E00014169,37.2,3.5,43.6,15.7
E00014170,28.5,4.1,59.3,8.1
E00014171,22.9,9.4,43.8,24
E00014172,38.1,2.9,42.4,16.5
E00014173,24.7,2.4,60,12.9
E00014174,35.3,3.2,56.4,5.1
E00014175,28.7,4.4,47,19.9
E00014176,33.1,3.4,46.6,16.9
E00014177,35.4,3.1,34.6,26.9
E00014178,38.3,0,38.3,23.5
E00014179,40,5.3,44,10.7
E00014180,37.2,3.4,44.8,14.5
E00014181,21.1,0,73.7,5.3
E00014300,37.5,4.2,45.8,12.5
E00014301,41.1,5.3,29.8,23.8
E00014302,27,10.1,53.9,9
E00014303,36.4,2,51.5,10.1
E00014304,52.6,9.6,27.2,10.5
E00014305,45.8,3.3,29.6,21.3
E00014309,53.2,5,26.6,15.3
E00014310,58.6,2.7,11.7,27
E00014311,44.7,5.3,32.9,17.1
E00014312,36.2,6.3,39.7,17.8
E00014314,44.6,3.6,30.4,21.4
E00014315,35.7,4.8,38.1,21.4
E00014316,38.2,4.9,38.2,18.6
E00014321,50,4.9,36.3,8.8
E00014322,34.8,1.8,58.9,4.5
E00014323,48.8,2.3,29.5,19.4
E00014324,44.6,2.3,37.7,15.4
E00014325,29.9,7.9,51.2,11
E00014326,39.7,1.7,45.5,13.2
E00014327,29.8,1.7,59.5,9.1
E00014328,42.4,4.8,43,9.7
E00014329,39.8,3.4,38.6,18.2
E00014411,22.3,3.9,70.9,2.9
E00014412,36.7,5.4,36.7,21.1
E00014413,28,3.7,64.6,3.7
E00014414,51.5,5.1,30.3,13.1
E00014415,43.9,7.5,35.8,12.8
E00014416,31.1,2.7,57.4,8.8
E00014417,25.8,3.2,64.5,6.5
E00014418,62.9,1.4,25.7,10
E00014419,39.4,7.9,40,12.7
E00014420,21.8,4,68.3,5.9
E00014421,20.7,9.1,65.3,5
E00014422,48.9,9.8,22.8,18.5
E00014425,52.1,6.3,33.3,8.3
E00014431,36.7,1.4,56.1,5.8
E00014432,31.1,4.4,62.2,2.2
E00014433,32.9,5,50,12.1
E00014434,21.3,1.9,69.4,7.4
E00014435,22.8,2,71.3,4
E00014436,22.1,2.9,70.2,4.8
E00014437,21.8,2,65.3,10.9
E00014438,33,5,48,14
E00014439,36,2.7,45.3,16
E00014440,32.7,2.2,49.3,15.7
E00014441,46.4,4.9,29,19.7
E00014442,43.7,2.3,33.3,20.7
E00014447,47.8,4.5,28.7,19.1
E00014448,51.4,3.8,22.9,21.9
E00014449,36.5,2.4,46,15.1
E00014452,43.4,4.3,47.7,4.7
E00014454,24.4,9.9,55,10.7
E00014455,23.9,1.7,61.1,13.3
E00014457,34.4,2.5,57.4,5.7
E00014459,31.9,6.6,45.1,16.5
E00014461,45.1,13.9,37,4
E00014462,40.9,6.6,35.8,16.8
E00014463,27.3,7.6,48.5,16.7
E00014464,31,4.5,51,13.5
E00014465,39.3,8,33,19.6
E00014466,45.5,15.7,25.6,13.2
E00014468,50.9,2.7,31.3,15.2
E00014469,44.4,3.4,29.1,23.1
E00014470,54.4,0.7,26.5,18.4
E00014471,18.3,0,66.7,15
E00014473,20.3,5.1,66.1,8.5
E00014474,23.7,4.6,64.7,6.9
E00014475,16.8,2,77.2,4
E00014476,27.4,5.3,53.1,14.2
E00014477,22.7,1.3,66.7,9.3
E00014478,28.2,3.5,57,11.3
E00014479,27,0,60.7,12.4
E00014480,17.1,4.3,75.2,3.4
E00014481,42.9,3.8,44.8,8.6
E00014482,26.3,6.1,58.8,8.8
E00014483,30.3,1,59.6,9.1
E00014484,19.3,2.4,74.7,3.6
E00014485,21.6,1,70.1,7.2
E00014486,25.9,2.9,66.2,5
E00014487,16.7,2.4,74.6,6.3
E00014488,33.7,3.3,50,13
E00014489,26.6,2.5,63.3,7.6
E00014490,38.8,10.4,35.8,14.9
E00014491,21.1,4.1,70.7,4.1
E00014492,20,1.3,71.3,7.5
E00014493,25.7,1.8,64.2,8.3
E00014494,27.8,1.3,58.2,12.7
E00014495,26.9,3.8,65.4,3.8
E00014496,27.7,3.2,66,3.2
E00014497,29.2,2.2,61.8,6.7
E00014498,27.9,1.6,68.9,1.6
E00014499,24.7,1.3,67.5,6.5
E00014500,22.9,0,70,7.1
E00014501,32.1,5.4,58,4.5
E00014502,16.7,1.7,76.7,5
E00014505,29.7,1.7,64.4,4.2
E00014506,28.9,3.3,61.1,6.7
E00014614,25.3,3.3,58.7,12.7
E00014616,30.1,4.9,55.2,9.8
E00014617,27.8,7.5,54.5,10.2
E00014618,25.4,7.4,54.9,12.3
E00014621,41.1,6.1,35,17.9
E00014622,41.5,5.3,43.5,9.7
E00014623,38.7,4.8,32.3,24.2
E00014626,47.9,6.4,31.9,13.8
E00014628,32,8,47,13
E00014634,46.9,9.9,37,6.2
E00014639,27.2,5.6,56.7,10.6
E00014642,32.6,3.2,47.8,16.4
E00014644,31.6,6.7,44.5,17.2
E00023412,27.4,4.4,61.9,6.2
E00023413,21.5,6.2,65.6,6.7
E00023414,25.3,1.3,70.9,2.5
E00023415,25.3,7.5,62.4,4.8
E00023416,19.6,3.9,71.6,4.9
E00023419,15.4,5.1,73.4,6.1
E00023421,25.6,3.7,68.3,2.4
E00023422,24.3,2.9,65.5,7.3
E00023423,21.2,1.8,72.1,4.8
E00023424,25,6.6,64.7,3.7
E00023425,31.3,3.1,57.8,7.8
E00023426,17.6,5.5,74.5,2.4
E00023427,20.4,7.1,68.4,4.1
E00023428,23.4,3.1,66.4,7
E00023429,38.5,2.7,50,8.8
E00023430,26.8,2.7,64.3,6.3
E00023431,19.1,3.3,67.8,9.8
E00023445,24,5,65,6
E00023447,24.6,6.1,65.9,3.4
E00023448,17.1,7.3,69.2,6.4
E00023450,24.4,4.4,61.7,9.4
E00023451,25.9,4,64.7,5.4
E00023452,24.1,2.2,66.5,7.1
E00023453,33.1,6.5,54.8,5.6
E00023454,24.4,5.3,60.3,9.9
E00023455,24.1,6.6,63.5,5.8
E00023456,26,4.1,65.9,4.1
E00023458,20,3.2,68,8.8
E00023459,24.8,2.3,68.2,4.7
E00023460,32.1,2.8,56.6,8.5
E00023461,33,5.5,53.3,8.2
E00023462,31,2.8,54.9,11.3
E00023463,26.3,4.2,54.7,14.7
E00023464,31.4,3.3,57.9,7.4
E00023465,22.3,5,70.2,2.5
E00023466,22.4,4.3,68.3,5
E00023467,27.6,1.5,58.2,12.7
E00023468,22.6,3.6,71.5,2.2
E00023469,30.6,3.8,59,6.6
E00023470,19.7,2.4,69.3,8.7
E00023471,20.4,2.7,68.1,8.8
E00023472,29.6,8.1,52.2,10.1
E00023473,26.9,2.1,64.1,6.9
E00023474,25,4.8,66.1,4
E00023475,22.2,0.9,61.5,15.4
E00023476,21.1,2.6,70.3,6
E00023477,24,2.9,64.2,8.8
E00023478,26.4,3.8,60.8,9
E00023479,11.2,2.6,84.1,2.2
E00023480,21.7,5.1,65.9,7.2
E00023481,34.7,2,57.1,6.1
E00023482,48.6,5.6,39.4,6.3
E00023483,38.7,5.2,45.8,10.3
E00023484,18.9,2.8,73.4,4.9
E00023485,18.8,2.1,77.1,2.1
E00023585,38.2,4.2,41,16.7
E00023586,37.6,4.4,46.3,11.7
E00023587,29.7,2.7,54.1,13.5
E00023588,35.4,2.2,50.2,12.1
E00023589,48,4.7,36.2,11
E00023590,34.4,6.6,48.1,10.9
E00023591,25.3,5.2,58,11.5
E00023592,38.5,5.5,45,11
E00023593,37.7,3.1,50,9.3
E00023595,35.1,5.5,46.9,12.5
E00023596,32.5,8.9,43.8,14.8
E00023597,42.4,5.1,43.2,9.3
E00023598,32.5,3,46.3,18.2
E00023599,32.4,4.8,49.5,13.3
E00023600,23.5,5.3,61.4,9.8
E00023601,39.5,3.4,43.4,13.7
E00023602,24.6,4.2,58.5,12.7
E00023603,47.2,4.4,40.9,7.5
