geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00002660,48.6,51.4
E00002661,47,53
E00002662,49.8,50.2
E00002663,45.2,54.8
E00002664,50.1,49.9
E00002665,55.8,44.2
E00002667,55.2,44.8
E00002668,53.3,46.7
E00002669,64.5,35.5
E00002670,47.9,52.1
E00002672,53.2,46.8
E00002676,50.5,49.5
E00002677,54.8,45.2
E00002678,52.3,47.7
E00002679,55.1,44.9
E00002680,42.9,57.1
E00002681,50.3,49.7
E00002682,32.2,67.8
E00002807,57.5,42.5
E00002808,44.2,55.8
E00002810,59.3,40.7
E00002811,52.5,47.5
E00002815,53.9,46.1
E00002816,64.2,35.8
E00002821,63.6,36.4
E00002822,54.1,45.9
E00002827,53.7,46.3
E00002834,60.5,39.5
E00002837,69.5,30.5
E00002839,61.3,38.7
E00002840,61.4,38.6
E00002844,67.2,32.8
E00002845,40.7,59.3
E00002846,61.6,38.4
E00002847,66.5,33.5
E00002848,55.9,44.1
E00004610,40.4,59.6
E00004611,33.5,66.5
E00014139,37.6,62.4
E00014150,53.2,46.8
E00014151,40.3,59.7
E00014152,42.7,57.3
E00014153,65.1,34.9
E00014154,53.4,46.6
E00014155,39,61
E00014156,43,57
E00014157,54.8,45.2
E00014158,53.2,46.8
E00014159,49.1,50.9
E00014160,51.7,48.3
E00014161,38.9,61.1
E00014162,54.4,45.6
E00014163,64.9,35.1
E00014164,55.6,44.4
E00014165,58.8,41.2
E00014166,62.9,37.1
E00014167,49.7,50.3
E00014168,57.7,42.3
E00014169,58.5,41.5
E00014170,59.1,40.9
E00014171,60.1,39.9
E00014172,43.1,56.9
E00014173,60.8,39.2
E00014174,61.5,38.5
E00014175,55.6,44.4
E00014176,58.1,41.9
E00014177,55.2,44.8
E00014178,52.8,47.2
E00014179,53,47
E00014180,53.5,46.5
E00014181,46.8,53.2
E00014300,56,44
E00014301,39.2,60.8
E00014302,43.2,56.8
E00014303,48.4,51.6
E00014304,56.8,43.2
E00014305,50.6,49.4
E00014309,59.9,40.1
E00014310,47.3,52.7
E00014311,53.7,46.3
E00014312,53,47
E00014314,57.2,42.8
E00014315,38.3,61.7
E00014316,47.2,52.8
E00014321,53.9,46.1
E00014322,53.3,46.7
E00014323,54.8,45.2
E00014324,58.6,41.4
E00014325,54.9,45.1
E00014326,40.6,59.4
E00014327,44.5,55.5
E00014328,59,41
E00014329,59.4,40.6
E00014411,43.6,56.4
E00014412,43.5,56.5
E00014413,63.3,36.7
E00014414,54.9,45.1
E00014415,54.5,45.5
E00014416,57.5,42.5
E00014417,54.4,45.6
E00014418,49.5,50.5
E00014419,60.9,39.1
E00014420,54.4,45.6
E00014421,63.2,36.8
E00014422,62.6,37.4
E00014425,60.8,39.2
E00014431,54.1,45.9
E00014432,58.2,41.8
E00014433,56.9,43.1
E00014434,62.8,37.2
E00014435,57.4,42.6
E00014436,56.2,43.8
E00014437,56.8,43.2
E00014438,54.2,45.8
E00014439,58.3,41.7
E00014440,58.2,41.8
E00014441,54,46
E00014442,57.2,42.8
E00014447,52,48
E00014448,69.7,30.3
E00014449,66.7,33.3
E00014452,74.6,25.4
E00014454,52.8,47.2
E00014455,52.6,47.4
E00014457,52.3,47.7
E00014459,58.1,41.9
E00014461,65.9,34.1
E00014462,60.5,39.5
E00014463,46,54
E00014464,63.3,36.7
E00014465,51.7,48.3
E00014466,51,49
E00014468,55.7,44.3
E00014469,57.2,42.8
E00014470,60.8,39.2
E00014471,45.2,54.8
E00014473,53.2,46.8
E00014474,38.3,61.7
E00014475,38.3,61.7
E00014476,35.3,64.7
E00014477,56.7,43.3
E00014478,35.8,64.2
E00014479,30.1,69.9
E00014480,36.5,63.5
E00014481,30.4,69.6
E00014482,41.2,58.8
E00014483,40.7,59.3
E00014484,50.9,49.1
E00014485,63.2,36.8
E00014486,36.2,63.8
