areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00039212,58.7,2.8,38.6
E00039223,56.9,1.3,41.8
E00039224,53.1,4,42.9
E00039229,66.2,2.2,31.6
E00039231,67.7,1.5,30.8
E00039747,46.5,2.5,50.9
E00039748,60.7,4.3,35
E00039750,51.6,5.1,43.3
E00039751,60,3.9,36.1
E00039752,51.4,5.7,42.9
E00039753,66.8,3.7,29.4
E00039754,60.7,3.1,36.2
E00039755,38.7,4.5,56.8
E00039756,56.5,3.5,40
E00039757,42.6,7.4,50
E00039758,23.6,5,71.3
E00039759,62.4,2.3,35.3
E00039760,56.5,4.7,38.8
E00039761,58.2,0.5,41.3
E00039762,50.8,4,45.2
E00039763,53,1.2,45.8
E00039764,46.7,5,48.3
E00039765,45.8,5.6,48.6
E00039766,44.1,5.7,50.2
E00039767,48.6,5.2,46.2
E00039768,50.2,3.1,46.7
E00039769,47.4,3.8,48.8
E00039770,45.7,7.8,46.5
E00039771,64.2,0.5,35.2
E00039772,64.7,1.8,33.5
E00039773,64.9,4.3,30.7
E00039774,51.6,3.6,44.8
E00039775,44.8,5.2,50
E00039776,51.4,6.5,42.1
E00039777,62.7,4.3,33
E00039778,57.3,1.3,41.5
E00039779,55.9,5.5,38.7
E00039780,58.4,7.8,33.7
E00039781,50.2,1.9,47.9
E00039782,56,2.7,41.2
E00039783,49.5,3.9,46.6
E00039784,49.8,4.7,45.6
E00039785,56.3,6.5,37.2
E00039786,60.2,3.5,36.3
E00039787,30.6,5.6,63.9
E00039788,54,6.2,39.8
E00039789,53.6,0,46.4
E00039791,35.9,5.9,58.2
E00039792,42,4.2,53.8
E00039793,57.4,6,36.6
E00039794,61.6,2.5,35.8
E00039795,53.1,7,39.8
E00039796,41,6.7,52.3
E00039797,54.1,0,45.9
E00039798,63.7,3.1,33.2
E00039799,59.9,4.3,35.7
E00039851,49.2,3.3,47.5
E00039852,46.5,3.7,49.8
E00039853,47.3,6.3,46.5
E00039854,42.8,9.4,47.8
E00039856,47,4.7,48.4
E00039858,42.5,5.9,51.6
E00039859,38.7,8,53.4
E00039860,39.4,9.7,51
E00039861,48.1,3.5,48.5
E00039862,40.4,3.5,56.2
E00039863,25.9,5.4,68.7
E00039864,43.5,4.6,51.9
E00039865,41.4,4.8,53.8
E00039866,36.3,4.1,59.7
E00039867,38.6,5.6,55.8
E00039868,36.7,9,54.2
E00039869,41.6,6.2,52.2
E00039870,39.2,6.8,54
E00039871,49.1,4,46.9
E00039876,60,4.1,35.9
E00039877,36.1,5.8,58.1
E00039878,41.5,4.7,53.8
E00039879,36.6,6.5,56.9
E00039880,30.2,7.4,62.3
E00039881,45.4,3.4,51.2
E00039882,44.8,4,51.2
E00039883,49.4,7.5,43
E00039884,44.9,3.5,51.6
E00039885,46.6,5.1,48.3
E00039886,50.6,5.9,43.5
E00039887,42.3,6,51.7
E00039888,54.2,7.5,38.3
E00039889,39.4,6.4,54.2
E00039890,48.7,7.7,43.6
E00039891,44.8,5.4,49.8
E00039892,54.1,2,43.9
E00039893,46.3,6.7,47
E00039894,32.7,9.4,57.9
E00039895,34.6,5.9,59.4
E00039896,45.1,3.6,51.3
E00039898,41.5,5.4,53
E00039906,38.4,8.5,53.1
E00039908,41.1,6.6,52.3
E00039943,41.2,4,54.8
E00039944,38.2,7.4,54.4
E00039945,40.1,6.6,53.3
E00039946,57.3,4.5,38.2
E00040031,33.7,8.7,57.7
E00040033,41.3,3.5,55.2
E00040044,38.6,7.6,53.8
E00040045,35.6,5.2,59.2
E00040046,37,8.3,54.6
E00040047,36,6.4,57.6
E00040048,23.6,6.3,70.2
E00040049,38.5,3.9,57.6
E00040050,38.5,8.3,53.2
E00040051,43,7.2,49.8
E00040052,32.4,4.8,62.8
E00040053,37.2,4.5,58.3
E00040054,31.4,0.5,68
E00040056,41.6,5.9,52.5
E00040057,37,6.8,56.2
E00040058,37.2,6.1,56.7
E00040059,45.6,5.6,48.8
E00040216,32.3,5.6,62.1
E00040217,56.6,5.5,37.9
E00040218,40.4,4.7,55
E00040219,47.7,3.7,48.5
E00040221,34.9,1.8,63.2
E00040222,48.9,5,46.2
E00040223,39.1,3.8,57.1
E00040224,42,7.5,50.5
E00040225,36,6.2,57.8
E00040226,33.1,1.8,65
E00040227,46,4,50
E00040228,59.8,3.3,37
E00040229,38.5,3.3,58.2
E00040230,41.3,2.2,56.4
E00040231,46.7,1.8,51.5
E00040232,44.6,4.8,50.6
E00040233,56.3,5.9,37.8
E00040234,32.5,4.9,62.6
E00040235,45.1,3.1,51.8
E00040236,43.6,1.3,55
E00040237,41.3,6,52.7
E00040238,39.8,3.5,56.6
E00040239,33.5,2.2,64.3
E00040240,36.3,3.6,60.1
E00040241,43.4,4.9,51.8
E00040242,35.2,7.6,57.2
E00040243,35.4,9,55.6
E00040244,38.1,4.3,57.6
E00040245,40.5,3,56.4
E00040246,50,5.2,44.8
E00040247,40.6,4.7,54.7
E00040248,42.9,8.5,48.6
E00040249,41.6,5.6,52.8
E00040250,32.9,2.7,64.4
E00040251,65.1,2.9,32.1
E00040252,41.1,4,54.9
E00040253,35,5.8,59.2
E00040254,53.9,2.5,43.6
E00040255,47.5,8.6,43.9
E00040256,50.6,4.1,45.3
E00040257,39.9,4.1,56
E00040258,41.4,4.1,54.5
E00040259,50.5,5.8,43.7
E00040260,37.1,7.9,55
E00040261,48.3,7.6,44.1
E00040262,53,4.5,42.4
E00040263,50,4.2,45.8
E00040264,58.1,4.1,37.8
E00040265,48.8,3.3,47.9
E00040266,43.8,6.4,49.8
E00040267,41.6,3.1,55.3
E00040268,49.8,7,43.2
E00040269,45.2,4.8,50
E00040270,36.8,4.6,58.6
E00040271,44.2,3.9,51.9
E00040589,45.3,5.5,49.3
E00040800,51.5,1.7,46.7
E00040801,34,8,58
E00040802,45.3,3.9,50.7
E00040803,40.5,3.4,56.1
E00040804,58.2,4.4,37.4
E00040805,58.2,2.2,39.6
E00040806,34.8,3.9,61.3
E00040807,47.3,5.9,46.9
E00040808,49.4,4.6,46
E00040809,57.6,3.6,38.8
E00040810,47.3,4.2,48.5
E00040811,39.2,9.8,51
E00040819,59.6,4,36.4
E00040821,51.8,4.7,43.5
E00040822,54.5,1.7,43.9
E00040823,42.6,7.1,50.3
E00040824,58.9,4.7,36.4
E00040825,53.8,2.7,43.5
E00040826,65,1.4,33.6
E00040827,52.9,2.9,44.3
E00040828,54.9,4.9,40.2
E00040829,55.7,3.5,40.9
E00040830,62.4,3.6,33.9
E00040831,67.1,2.4,30.5
E00040832,53,4.7,42.3
E00040833,52.6,4.8,42.6
E00040834,41.4,7.1,51.4
E00040835,49.4,6.5,44.2
E00040836,59.3,1.7,39
E00040837,52.6,3.7,43.7
E00040838,54.3,4.1,41.6
E00040839,55.8,2.6,41.6
E00040840,48.4,3.6,48
E00040841,51.1,4.6,44.3
E00040842,50.7,4.9,44.4
E00040843,55.2,3.8,41
E00040844,54,2.1,43.9
E00040845,48.9,4.9,46.2
E00040846,55.1,4.4,40.4
E00040847,53.6,5.9,40.5
E00040848,60.5,6.8,32.7
E00040849,56.9,3.3,39.7
E00040850,41,5.6,53.4
E00040851,30.9,9.4,59.7
E00040852,40.6,7.1,52.3
E00040853,56.2,3.7,40.2
E00040854,40.6,8.4,51
E00040855,61.7,4.2,34.1
E00040866,41.2,6.1,52.7
E00040875,49.6,4.1,46.4
E00040877,64.1,4,31.9
E00040878,40.4,2.6,57
E00040880,37.1,8.2,54.8
E00040882,38.8,3.5,57.6
E00040883,31.5,5.4,63.1
E00040886,35.5,4.7,59.7
E00040887,30.9,5.6,63.6
E00040888,32.6,6,61.4
E00040889,30,8.9,61.1
E00040891,47.6,6,46.4
