geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00085001,20.3,79.7
E00085002,15.6,84.4
E00085003,17.2,82.8
E00085005,21,79
E00085006,20.2,79.8
E00085007,16.9,83.1
E00085008,12.7,87.3
E00085009,19.4,80.6
E00085010,19.8,80.2
E00085011,24.9,75.1
E00085012,15.8,84.2
E00085013,26.6,73.4
E00085014,19.2,80.8
E00085015,14,86
E00085016,23.6,76.4
E00085017,13,87
E00085018,24.2,75.8
E00085019,19,81
E00085020,24.7,75.3
E00085021,26.5,73.5
E00085022,34.2,65.8
E00085023,43.9,56.1
E00085024,16.9,83.1
E00085025,22.6,77.4
E00085026,17.9,82.1
E00085027,25.4,74.6
E00085028,28.6,71.4
E00085029,21.9,78.1
E00085030,21.3,78.7
E00085031,16.4,83.6
E00085032,23.6,76.4
E00085033,15.6,84.4
E00085034,25.8,74.2
E00085035,18.1,81.9
E00085036,27.9,72.1
E00085037,14,86
E00085038,19.2,80.8
E00085039,14.4,85.6
E00085040,14.1,85.9
E00085041,19,81
E00085042,26,74
E00085043,33.8,66.2
E00085044,23.4,76.6
E00085046,13.8,86.2
E00085047,27.5,72.5
E00085048,19,81
E00085049,22,78
E00085050,23.2,76.8
E00085051,21.5,78.5
E00085053,34.8,65.2
E00085056,25,75
E00085057,20.1,79.9
E00085060,37.3,62.7
E00085064,36.1,63.9
E00085065,38.1,61.9
E00085066,30.5,69.5
E00085069,19.8,80.2
E00085071,24,76
E00085073,12.2,87.8
E00085074,13.4,86.6
E00085075,20.8,79.2
E00085077,29.9,70.1
E00085078,19.8,80.2
E00085079,13.2,86.8
E00085080,22,78
E00085081,18.5,81.5
E00085082,19.1,80.9
E00085083,38.1,61.9
E00085084,32.3,67.7
E00085085,25.5,74.5
E00085086,22.3,77.7
E00085087,29.6,70.4
E00085088,37.8,62.2
E00085089,26.2,73.8
E00085090,41.2,58.8
E00085091,29.1,70.9
E00085092,29.5,70.5
E00085093,31.1,68.9
E00085094,7.7,92.3
E00085095,34,66
E00085096,35.3,64.7
E00085097,35.1,64.9
E00085098,35.9,64.1
E00085099,14.3,85.7
E00085100,27.6,72.4
E00085101,31.8,68.2
E00085102,15.2,84.8
E00085103,24.5,75.5
E00085104,37.2,62.8
E00085105,37.1,62.9
E00085106,27.8,72.2
E00085107,32.2,67.8
E00085108,28.5,71.5
E00085109,23.4,76.6
E00085110,19.1,80.9
E00085111,21.3,78.7
