geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00050790,98.4,1.6,0
E00050791,81.3,18.7,0
E00050792,100,0,0
E00050793,100,0,0
E00050801,99.1,0.9,0
E00050802,96.7,3.3,0
E00050803,88.2,11.8,0
E00050804,91.4,8.6,0
E00050805,98.4,1.6,0
E00050806,79.4,19.6,1
E00050807,90.4,9.6,0
E00050808,100,0,0
E00050809,100,0,0
E00050810,74.4,25.6,0
E00050811,76.7,23.3,0
E00050903,49.1,50.3,0.6
E00050904,99.2,0.8,0
E00050905,76.7,22.6,0.8
E00050906,100,0,0
E00050907,85.8,14.2,0
E00050910,97.5,2.5,0
E00050911,100,0,0
E00050912,47.2,52.8,0
E00050913,90.5,9.5,0
E00050914,78,22,0
E00050915,93.7,6.3,0
E00050916,87.7,12.3,0
E00050917,96.7,3.3,0
E00050918,48.3,51.7,0
E00050919,88.1,11.9,0
E00050920,4.7,95.3,0
E00050921,13,87,0
E00050922,81.1,18.9,0
E00050923,100,0,0
E00050924,97.6,2.4,0
E00050925,21.1,78.9,0
E00050926,62.3,37.7,0
E00050927,85.7,14.3,0
E00050928,69.1,30.9,0
E00050929,82,18,0
E00050930,73.4,26.6,0
E00050932,71.4,28.6,0
E00050933,100,0,0
E00050934,92.5,7.5,0
E00050935,89.6,10.4,0
E00050936,39.2,60.8,0
E00050937,85.2,14.8,0
E00050938,83.9,16.1,0
E00050939,84,16,0
E00050941,90.3,9.7,0
E00050942,100,0,0
E00050943,95.1,4.9,0
E00050944,82.8,17.2,0
E00050945,45.9,54.1,0
E00050946,85.7,11.8,2.5
E00050947,70.5,29.5,0
E00050948,39.8,60.2,0
E00050951,99.3,0.7,0
E00050952,57.3,42.7,0
E00050953,47.1,52.9,0
E00050954,93.9,6.1,0
E00050955,54.4,45.6,0
E00050956,99.2,0.8,0
E00050957,56,44,0
E00050959,100,0,0
E00050960,83.3,16.7,0
E00050961,93.8,6.2,0
E00050962,86.8,13.2,0
E00050963,74.8,25.2,0
E00050964,100,0,0
E00050965,92.6,7.4,0
E00050966,98.5,1.5,0
E00050967,93.8,6.2,0
E00050968,100,0,0
E00050969,99.3,0.7,0
E00050970,97.6,2.4,0
E00050971,98,2,0
E00050972,96.2,3.8,0
E00050973,93.8,6.2,0
E00050974,98.4,1.6,0
E00050975,100,0,0
E00050976,93.3,6.7,0
E00050977,95.1,4.2,0.7
E00050978,100,0,0
E00050979,74.1,25.9,0
E00050980,100,0,0
E00050981,74.5,25.5,0
E00050982,39.2,60.8,0
E00050983,77.8,22.2,0
E00050984,86.8,13.2,0
E00050985,99.2,0.8,0
E00050986,64.3,35.7,0
E00050987,100,0,0
E00050988,0,100,0
E00050989,93.7,6.3,0
E00050990,99.2,0.8,0
E00050991,68.4,31.6,0
E00050992,100,0,0
E00050993,99.2,0.8,0
E00050994,99.3,0.7,0
E00051044,89.9,10.1,0
E00051049,95.9,4.1,0
E00168206,32.7,67.3,0
E00168207,95,5,0
E00168208,47.7,52.3,0
E00168209,67.3,32.7,0
E00168210,82.4,17.6,0
E00168211,81.5,18.5,0
E00168212,70.5,29.5,0
E00168213,60.7,39.3,0
E00168214,78.1,21.9,0
E00168216,100,0,0
E00168217,100,0,0
E00168218,89.1,10.9,0
E00168219,88.4,11.6,0
E00168220,50.3,49.7,0
E00168221,21.3,78.7,0
E00168222,59.8,40.2,0
E00168223,75,25,0
E00171359,31.3,68.8,0
E00171360,69,31,0
E00171361,25.3,74.7,0
E00171362,3,97,0
E00171363,82.5,17.5,0
E00171364,100,0,0
E00171370,100,0,0
E00177380,97.1,2.9,0
E00177384,40.8,59.2,0
E00177388,22.1,77.9,0
E00177389,81.6,18.4,0
E00177401,91.8,8.2,0
E00177407,2.3,97.7,0
E00177416,99.3,0.7,0
E00177423,100,0,0
E00177427,100,0,0
E00177431,83.8,16.2,0
E00177442,66.8,33.2,0
E00177445,100,0,0
E00177449,98.7,1.3,0
E00177460,51.6,47.8,0.6
E00177463,100,0,0
E00177466,98.2,1.8,0
E00177470,100,0,0
E00181826,1.1,98.9,0
E00181827,5.9,94.1,0
E00181828,41.7,58.3,0
E00181829,46.2,53.8,0
E00181830,65.9,34.1,0
E00181831,54.9,45.1,0
E00181839,100,0,0
E00181841,93.1,6.9,0
E00181842,66,34,0
E00181843,95.4,4.6,0
E00181844,93.5,6.5,0
E00181845,100,0,0
E00181848,78.2,21.8,0
E00181852,26.5,73.5,0
E00181863,98,2,0
E00181876,0.8,99.2,0
E00181879,66.7,33.3,0
E00181899,80.6,19.4,0
E00181911,73.3,26.7,0
E00181912,77.1,22.1,0.7
E00181915,70,30,0
E00181916,90,10,0
E00181917,68.5,31.5,0
