geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00049363,59.8,10.7,8.9,20.5
E00049365,45.3,12.5,17.2,25
E00049366,56.8,9.6,19.2,14.4
E00049368,40.9,22,22,15.2
E00049369,57,16.8,11.2,15
E00049370,50,11,19.2,19.9
E00049374,62.4,18.8,8.3,10.5
E00049375,65.3,12.1,8.1,14.5
E00049376,64.8,8.8,6.6,19.8
E00049378,56.8,13.7,11.5,18
E00049379,56,17.6,6.4,20
E00049380,67.5,7.9,6.1,18.4
E00049381,63.1,11.5,8.2,17.2
E00049382,64.5,15.3,7.3,12.9
E00049383,45.7,13.9,22,18.5
E00049384,63.4,9.7,9.7,17.2
E00049385,52.3,11.6,15.5,20.6
E00049386,55.6,12.5,7.6,24.3
E00049387,55.2,11.2,20.7,12.9
E00049388,55,15.6,10.4,19
E00049389,50.3,19.2,13.2,17.2
E00049390,63.4,8.5,9.2,19
E00049391,57.3,11.8,12.7,18.2
E00049392,65.2,9.7,7.7,17.4
E00049393,53.1,15.4,15.4,16.1
E00049394,59.5,6.3,19.8,14.3
E00049395,63,14.2,9.3,13.6
E00049396,47.9,11.4,22.9,17.9
E00049397,60.7,10.3,9.4,19.7
E00049444,47.7,16.7,16.7,18.9
E00049446,50.5,14.3,12.1,23.1
E00049447,45,11.8,20.7,22.5
E00049448,43.7,11.4,20.9,24.1
E00049449,58.5,11.7,14,15.8
E00049466,44.8,12.7,26.9,15.7
E00049468,50,8.2,17.1,24.7
E00049469,51.8,15.1,15.8,17.3
E00049470,50,13.3,22.7,14.1
E00049471,45.8,8.4,21.3,24.5
E00049473,59.2,9.9,13.4,17.6
E00049474,40.2,8,23.2,28.6
E00049475,52.5,8.5,22.9,16.1
E00049476,52.7,13,20.5,13.7
E00049482,49.3,11.3,25.5,13.9
E00049512,47.5,17.9,19.6,15.1
E00049775,53,12.1,23.5,11.4
E00049776,54.5,13.8,17.2,14.5
E00049777,48.3,13.8,17.9,20
E00049778,60.3,7.8,14.2,17.7
E00049779,55.4,10.8,18.5,15.3
E00049780,59,10.1,10.1,20.9
E00049782,50.4,11.3,15.7,22.6
E00049785,57.1,14.3,10.1,18.5
E00049786,52.3,16.3,5.9,25.5
E00049787,62.1,9.1,10.6,18.2
E00049788,66.4,15.3,5.1,13.1
E00049789,48.8,11.9,25,14.3
E00049791,68.9,11.5,9.8,9.8
E00049793,50,14.8,19.7,15.6
E00049794,61.3,16.1,10.3,12.3
E00049795,59.2,10.7,18.9,11.2
E00049796,45.5,12.4,20.7,21.5
E00049797,52.1,16,13.2,18.8
E00049798,43.3,10.7,15.3,30.7
E00049799,50.4,20.5,8.5,20.5
E00049800,51.1,21.1,11.3,16.5
E00049801,54,16.1,14.6,15.3
E00049803,51.3,17.5,16.3,15
E00049936,41.2,21.6,7.8,29.4
E00049942,56.3,14.3,15.2,14.3
E00049943,43.5,13.6,20.1,22.7
E00049944,48,11.5,25.7,14.9
E00049945,53.8,15.4,13.7,17.1
E00049946,47.6,11,20.1,21.3
E00049947,51.7,13.9,10.6,23.8
E00049948,56.9,17.6,11.1,14.4
E00049949,57.1,15.2,12.5,15.2
E00049950,55,6.9,21.4,16.8
E00049951,53.5,15.8,15.8,14.9
E00049952,53.3,13.9,12.3,20.5
E00049953,55,15.3,17.1,12.6
E00049954,63.9,16.4,8.2,11.5
E00049967,58.6,9.7,13.8,17.9
E00049968,54.8,11.5,15.4,18.3
E00049969,52.2,21.6,18.7,7.5
E00049973,60.3,12.1,14.7,12.9
