geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00130017,93.5,6.5
E00130018,97.1,2.9
E00130019,95.7,4.3
E00130020,94.8,5.2
E00130021,97.2,2.8
E00130022,93.8,6.2
E00130024,94.4,5.6
E00130131,97.4,2.6
E00130132,95.6,4.4
E00130133,98.2,1.8
E00130134,95.3,4.7
E00130135,97.8,2.2
E00130136,95.4,4.6
E00130137,97.4,2.6
E00130213,97.3,2.7
E00130214,90,10
E00130215,98.9,1.1
E00130217,95.9,4.1
E00130219,96.7,3.3
E00130220,96.7,3.3
E00130221,94.6,5.4
E00130222,95.9,4.1
E00130223,95.2,4.8
E00130224,98.3,1.7
E00130225,96.4,3.6
E00130228,95.3,4.7
E00130229,95.1,4.9
E00130230,94.6,5.4
E00130231,94.3,5.7
E00130232,96.9,3.1
E00130233,96.4,3.6
E00130234,93.1,6.9
E00130235,91.9,8.1
E00130236,97.6,2.4
E00130773,97.8,2.2
E00130776,95.3,4.7
E00130778,96.4,3.6
E00130781,93.5,6.5
E00130782,98.1,1.9
E00130783,98,2
E00130789,94.9,5.1
E00130996,97.2,2.8
E00130997,95.6,4.4
E00130998,97.1,2.9
E00130999,93.7,6.3
E00131000,92.5,7.5
E00131001,95.8,4.2
E00131012,94.4,5.6
E00131025,93.1,6.9
E00131026,90.6,9.4
E00131027,97.3,2.7
E00131028,92.8,7.2
E00131030,95.9,4.1
E00131031,91.8,8.2
E00131032,94.3,5.7
E00131033,93.7,6.3
E00131034,95.6,4.4
E00131035,92.1,7.9
E00131036,95.2,4.8
E00131037,96.7,3.3
E00131038,93.4,6.6
E00131039,93.9,6.1
E00131040,98.1,1.9
E00131041,92.5,7.5
E00131042,91.9,8.1
E00131043,94.7,5.3
E00131044,96.2,3.8
E00131045,93,7
E00131046,91.2,8.8
E00131047,95.9,4.1
E00131048,93.9,6.1
E00131049,94.8,5.2
E00131050,94.9,5.1
E00131051,96.4,3.6
E00131052,98.3,1.7
E00131053,97.7,2.3
E00131054,95.9,4.1
E00131055,92.4,7.6
E00131056,89.6,10.4
E00131057,95.7,4.3
E00131058,95.8,4.2
E00131059,93.8,6.2
E00131060,93.8,6.2
E00131061,95.6,4.4
E00131062,94,6
E00131063,96.6,3.4
E00131064,94.1,5.9
E00131065,94.6,5.4
E00131066,95.1,4.9
E00131067,97.7,2.3
E00131068,98.1,1.9
E00131069,94.2,5.8
E00131070,96.4,3.6
E00131071,96.1,3.9
E00131072,97.2,2.8
E00131073,94.1,5.9
E00131074,95,5
E00131075,98.2,1.8
E00131076,94.5,5.5
E00131077,90.9,9.1
E00131078,94.3,5.7
E00131081,94.8,5.2
E00131082,97.3,2.7
E00131083,94.9,5.1
E00131084,93,7
E00131085,95.3,4.7
E00131086,97.4,2.6
E00131087,94.6,5.4
E00131088,94.7,5.3
E00131089,94.5,5.5
E00131090,95.4,4.6
E00131091,97,3
E00131092,92.8,7.2
E00131093,95.9,4.1
E00131094,96.4,3.6
E00131095,96.3,3.7
E00131096,96.7,3.3
E00131097,95.7,4.3
E00131098,94.5,5.5
