areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E00102027,44.4,55.6
E00102137,38.3,61.7
E00102138,36.2,63.8
E00102139,49.3,50.7
E00102140,31.5,68.5
E00102141,38.6,61.4
E00102142,41.1,58.9
E00102143,48.4,51.6
E00102144,44.6,55.4
E00102146,40.7,59.3
E00102147,37.7,62.3
E00102148,41.3,58.7
E00102149,29.4,70.6
E00102150,35.8,64.2
E00102164,43,57
E00102165,40,60
E00102166,33.8,66.2
E00102167,44.1,55.9
E00102168,33.5,66.5
E00102169,48.6,51.4
E00102170,41.3,58.7
E00102171,54.3,45.7
E00102172,44.6,55.4
E00102173,34.7,65.3
E00102174,36.2,63.8
E00102175,37.2,62.8
E00102176,39.1,60.9
E00102177,39.1,60.9
E00102178,32.7,67.3
E00102179,43,57
E00102180,25.5,74.5
E00102181,38.1,61.9
E00102182,33.9,66.1
E00102200,46.2,53.8
E00102201,39.7,60.3
E00102202,37.3,62.7
E00102203,48.5,51.5
E00102204,42.7,57.3
E00102205,45.1,54.9
E00102206,41.2,58.8
E00102209,45.1,54.9
E00102210,36.6,63.4
E00102211,43.8,56.3
E00102212,39.8,60.2
E00102263,35.6,64.4
E00102264,52.2,47.8
E00102265,39.6,60.4
E00102266,44.4,55.6
E00102267,31.2,68.8
E00102268,41.9,58.1
E00102269,44,56
E00102270,37.8,62.2
