areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00045077,94.4,5,0.6
E00045078,91.8,7.7,0.5
E00045079,88.3,10.7,1
E00045080,85.5,10.4,4.1
E00045081,90.7,6.1,3.3
E00045082,74.3,17.1,8.7
E00045083,97.6,2.1,0.3
E00045084,75.5,18.6,5.9
E00045085,83.4,12.5,4.2
E00045086,86.9,10.4,2.7
E00045087,83.3,13.1,3.7
E00045088,92.4,6.3,1.3
E00045090,82.7,12.3,5
E00045091,90.6,6.6,2.8
E00045092,86,12.2,1.8
E00045093,79.7,14.6,5.7
E00045094,90.6,8.4,1
E00045095,89.7,8,2.3
E00045096,85.3,8.6,6
E00045097,90.7,7,2.2
E00045098,93.2,6.1,0.8
E00045099,84.9,11.7,3.4
E00045100,78.5,16,5.5
E00045101,78.4,16.5,5.1
E00045102,82.4,11.5,6.1
E00045103,91.4,4.1,4.4
E00045104,72,19.2,8.8
E00045105,90.9,5.6,3.5
E00045106,83.3,12.1,4.6
E00045107,74,18.4,7.6
E00045108,81.3,9.7,9
E00045109,78.8,15.4,5.8
E00045110,89.8,6.5,3.8
E00045111,81.2,11.6,7.2
E00045112,78.3,16.6,5.1
E00045113,78,17.5,4.5
E00045114,78.3,13.5,8.2
E00045115,84,10.1,5.9
E00045116,75.8,12.9,11.3
E00045117,70.6,19.8,9.6
E00045118,82.3,12.9,4.8
E00045119,77.3,14.3,8.4
E00045120,69.6,20.7,9.7
E00045121,78.5,12.8,8.7
E00045122,81.4,11.5,7.1
E00045123,79.8,13.9,6.3
E00045124,79.7,14.3,6
E00045125,70.9,19.9,9.1
E00045126,76.2,17.4,6.4
E00045127,75.8,17.7,6.5
E00045128,77.2,17.5,5.3
E00045129,67.8,21.1,11.1
E00045130,87.2,10.1,2.7
E00045131,71.6,14.6,13.7
E00045132,84.2,12.6,3.2
E00045133,85.6,11.6,2.9
E00045134,70.1,16.4,13.4
E00045135,80.5,14.7,4.8
E00045136,83.2,14.6,2.2
E00045137,82.2,16.4,1.4
E00045138,81.8,15.4,2.8
E00045139,98.6,1.4,0
E00045140,82.4,15.2,2.4
E00045141,84.1,12.7,3.3
E00045142,78.5,16.8,4.7
E00045143,78.3,15.4,6.4
E00045144,92.4,6.3,1.3
E00045145,70.9,21.3,7.8
E00045146,96.3,2.9,0.9
E00045147,85.4,12.5,2.1
E00045148,83.3,12,4.6
E00045149,95.8,3.3,0.8
E00045150,90.1,6.9,3
E00045151,89.2,8.9,2
E00045152,87.5,10.2,2.3
E00045153,86.2,8.9,4.9
E00045154,87.1,9.6,3.3
E00045155,94.6,4.4,1
E00045156,94.2,5,0.8
E00045157,96.2,2.2,1.6
E00045158,87.2,9.6,3.2
E00045159,98.3,1.4,0.3
E00045160,77.8,16.3,5.9
E00045161,90.3,6.7,3
E00045162,89.3,9.2,1.5
E00045163,91.3,6.5,2.2
E00045164,97,1.9,1.1
E00045165,85.9,9.9,4.2
E00045746,92,6.2,1.8
E00045748,75.3,19.5,5.2
E00045749,83.7,13.5,2.8
E00045750,74.6,21.6,3.8
