areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00077348,23.7,35.9,27.5,13
E00077349,39.2,40.8,4.8,15.2
E00077350,21.4,22.1,43.5,13
E00077351,36.4,28,25.4,10.2
E00077352,9.2,7.7,77.7,5.4
E00077353,44,27.6,18.7,9.7
E00077354,44.1,30.7,13.4,11.8
E00077355,12.7,28,52.5,6.8
E00077356,15.6,28.9,43,12.5
E00077357,32.8,28.4,30.2,8.6
E00077359,56.9,27,5.8,10.2
E00077360,48.5,32.1,6.6,12.8
E00077361,33.9,28.9,17.4,19.8
E00077362,64.4,28.2,2,5.4
E00077363,13.5,26.2,57.1,3.2
E00077364,32.7,27.3,9.3,30.7
E00077365,23.9,17,28.3,30.8
E00077367,31.4,24.3,28.6,15.7
E00077368,63.4,26.2,0,10.3
E00077369,33.6,29.6,12.8,24
E00077370,45.7,32.9,2.9,18.6
E00077371,32.4,33.1,18.4,16.2
E00077372,25.2,29.1,34.6,11
E00077373,32.9,27.4,11,28.7
E00077374,57,32.6,0.7,9.6
E00077375,62,30.7,1.5,5.8
E00077376,30.8,23.8,36.2,9.2
E00077377,55.8,33.3,0,10.8
E00077378,38.9,28.2,25.2,7.6
E00077379,35.7,29.4,25.9,9.1
E00077380,23.6,27.1,40.7,8.6
E00077381,23.5,17.5,53.6,5.5
E00077382,46.6,29.8,10.7,13
E00077383,26,35.1,19.7,19.2
E00077384,11.3,17.3,61.7,9.8
E00077385,52.4,29,4.8,13.7
E00077386,65.7,25.7,0.7,7.9
E00077387,66.2,28.6,0,5.3
E00077388,20.9,19.4,51.9,7.8
E00077389,13.3,22.7,54.7,9.4
E00077390,19.3,37.2,33.1,10.3
E00077391,14.1,29.6,51.9,4.4
E00077392,25,22,42.4,10.6
E00077393,15.9,17.5,61.9,4.8
E00077394,11.6,10.7,58.7,19
E00077395,19,25.9,39.7,15.5
E00077396,7.4,9.8,76.2,6.6
E00077397,10.4,30.2,49.1,10.4
E00077398,6.5,13.1,71,9.3
E00077399,7.9,26.3,53.5,12.3
E00077400,19.8,27,45.2,7.9
E00077401,9.4,28.3,49.6,12.6
E00077402,27.3,33.3,28,11.4
E00077403,25,32.8,25.9,16.4
E00077404,11.1,23,57.9,7.9
E00077405,19.1,43.1,8.5,29.3
E00077406,15.6,32.8,41.8,9.8
E00077407,28.4,21.6,32.8,17.2
E00077408,32.1,29.5,24.1,14.3
E00077409,22,41.5,11,25.4
E00077410,42,35.1,7.6,15.3
E00077411,17.3,6.1,61.2,15.3
E00077412,69.2,28.1,0.7,2.1
E00077413,65.3,25.9,2.7,6.1
E00077414,48.4,34.1,1.1,16.5
E00077415,42.3,40.9,0.7,16.1
E00077417,34.2,37.5,2.5,25.8
E00077418,37.4,47.2,0,15.4
E00077419,36.2,44.9,0.8,18.1
E00077420,47.7,39.2,0,13.1
E00077421,55.9,33.9,0,10.2
E00077422,50,36.8,2.6,10.5
E00077423,59.3,37.4,0,3.3
E00077424,49.2,40.8,0,10
E00077425,50.9,46.4,1.8,0.9
E00077426,55.9,39.7,1.5,2.9
E00077427,67.4,28.8,0.9,2.8
E00077428,36.7,51.6,0,11.7
E00077429,52.5,42.4,0.8,4.2
E00077430,32.8,60.7,0.8,5.7
E00077431,32.2,34.9,0.7,32.2
E00077432,40.9,37.1,13.6,8.3
E00077433,49.7,35,4.9,10.5
E00077434,23.4,33.3,32.6,10.6
E00077435,24.5,37.4,0,38.1
E00077436,43.2,47.2,0,9.6
E00077438,27.2,52.2,0.7,19.9
E00077444,20.8,38.4,17.6,23.2
E00077445,16.3,30,1.3,52.5
E00077446,37.1,42,0,21
E00077447,41.7,44.1,0,14.2
E00077448,40.6,52.3,0,7
E00077449,26.4,54.5,0,19
E00077450,15.5,10.3,48.5,25.8
E00077451,38.8,41,0.7,19.4
E00077452,15.3,29.8,0,55
E00077453,41.3,47.6,0,11.1
E00077454,16.4,30.2,29.3,24.1
E00077455,46.2,40.8,0,13.1
E00077456,18,33.1,24.8,24.1
E00077457,27.5,41.2,16.8,14.5
E00077458,17.3,44.1,18.1,20.5
E00077459,24,36.3,2.7,37
E00077460,30.7,45.3,0,24
E00077461,44.4,42.1,0,13.5
E00077462,27.7,38.7,0.7,32.8
E00077463,32,44.9,2.7,20.4
E00077464,28.3,42,1.4,28.3
E00077465,37.9,53.2,0,8.9
E00077466,32.8,43.1,2.2,21.9
E00077467,32.6,50,0,17.4
E00077468,41.3,41.3,3.3,14
E00077469,41.3,47.9,0,10.7
E00077470,38.9,54.8,0.8,5.6
E00077471,33.1,52.4,0,14.5
E00077472,33.6,47.2,0,19.2
E00077473,23.5,51.3,0.9,24.3
E00077474,32.4,44.6,0,23
E00077475,14.4,34.9,10.8,40
E00077480,19.6,24.6,3.6,52.2
E00077502,44.6,45.3,1.4,8.6
E00077503,15.8,30.1,15.8,38.4
E00077504,54.2,22,5.1,18.6
E00077505,21,23.9,26.8,28.3
E00077506,27.4,40.7,1.8,30.1
E00077507,25.2,43,0.7,31.1
E00077508,25.4,34.4,1.6,38.5
E00077509,49.2,33.3,9.8,7.6
E00077510,50.7,42.5,0.7,6.2
E00077511,52,39,2.4,6.5
E00077512,50.7,37.3,0,12
E00077513,19,24,44,13
E00077514,37.4,43.9,1.6,17.1
E00077515,66.4,24.8,0,8.8
E00077516,68.9,28,0,3
E00077517,45.2,43.7,1.5,9.6
E00077518,57.5,33.1,0,9.4
E00077519,50.7,33.6,9,6.7
E00077520,26.2,34.9,1.3,37.6
E00077521,45.8,43.5,0.8,9.9
E00077522,32.6,41.1,12.4,14
E00077523,45.9,38.5,3.7,11.9
E00077524,38.4,25.3,7.6,28.8
E00077525,51.8,38.8,0,9.4
E00077526,55.7,27.3,0,16.9
E00077528,48.4,40.2,0,11.5
E00077529,31.5,44.1,7.1,17.3
E00077530,32.6,41.7,6.9,18.8
E00077531,22,45.7,1.6,30.7
E00077532,38.6,48.5,0.8,12.1
E00077533,38.7,39.4,1.5,20.4
E00077534,35.5,34.8,5.8,23.9
E00077535,33.1,34.4,6.1,26.4
E00077536,24.8,47.8,2.5,24.8
E00077538,89.1,0,3.6,7.3
E00077539,56.8,28.8,1.5,12.9
E00077540,41.1,39.5,12.9,6.5
E00077541,20.6,32,30.9,16.5
E00077542,37.9,41.1,4.8,16.1
E00077543,66.1,31.5,0,2.4
E00077544,48.4,45.9,0,5.7
E00077545,52.9,40.3,0.8,5.9
E00077546,52.9,40.3,1.7,5
E00077547,45.3,49.2,0.8,4.7
E00077548,34.4,39.7,1.5,24.4
E00077549,54.8,33.3,3.7,8.1
E00077550,37.5,33.3,4.2,25
E00077551,12.8,14.3,63.9,9
E00077552,14.7,21.7,47.3,16.3
E00077553,43.4,52.2,0.7,3.7
E00077554,16.3,34.7,33.7,15.3
E00077555,51.9,35.7,1.6,10.9
E00077556,36.1,34.4,13.9,15.6
E00077557,13.6,16.9,56.8,12.7
E00077558,22.4,19.9,11.4,46.3
E00077559,12.4,16.5,57.9,13.2
E00077560,7.1,20.4,59.3,13.3
E00077561,13.7,25,48.4,12.9
E00077562,32.8,40.3,16.8,10.1
E00077563,50,23.3,16.7,10
E00077564,30.3,31.1,25.2,13.4
E00077565,11.7,5,73.3,10
E00077566,26.3,19.5,37.6,16.5
E00077567,21.6,19.2,48,11.2
E00077568,10.2,14.3,64.3,11.2
E00077569,27.9,18.4,39.7,14
E00077570,54.8,34.1,1.6,9.5
E00077571,56,28.4,0.9,14.7
E00077574,25.8,24.7,2.1,47.4
E00077575,12.4,26.3,2.9,58.4
E00077582,55.9,16.4,7.9,19.7
E00077583,9.1,10.4,9.1,71.3
E00077584,28,26,6,40
E00077586,58.8,34.6,1.5,5.1
E00077587,29.7,18,28.8,23.4
E00077588,45.8,44.9,0.8,8.5
E00077594,41,21.1,1.2,36.6
E00077601,25,48.4,0.8,25.8
E00077602,25.9,33.6,1.7,38.8
E00077603,40.5,26.3,14.7,18.4
E00077604,30.5,38.2,5.3,26
E00077605,49.2,39.1,6.3,5.5
E00077606,50.4,42,0.8,6.9
E00077607,43.9,41.3,1.3,13.5
E00077608,30.8,39.2,0.8,29.2
E00077609,55.5,37.8,0.8,5.9
E00077610,44.6,36.4,0.8,18.2
E00077611,47.8,44.8,0,7.5
E00077612,27.5,38.5,1.8,32.1
E00077613,24.3,47.8,2.2,25.7
E00077614,25.6,40,6.4,28
E00077615,41.7,38.6,3.1,16.5
E00077616,24.8,52,7.2,16
E00077617,25.6,44.8,6.4,23.2
E00077618,46.6,36.1,0.8,16.5
