areacd,sex-001,sex-002
E00081774,50.8,49.2
E00081775,51.6,48.4
E00081776,50.5,49.5
E00081777,53.2,46.8
E00081779,52.6,47.4
E00081780,49.9,50.1
E00081781,55.9,44.1
E00081783,51.6,48.4
E00081784,54,46
E00081785,52,48
E00081786,55.4,44.6
E00081787,54,46
E00081788,51.2,48.8
E00081789,52.2,47.8
E00082111,52.3,47.7
E00082113,53.1,46.9
E00082114,50.5,49.5
E00082115,53.4,46.6
E00082117,56.3,43.7
E00082118,50,50
E00083128,51.2,48.8
E00083139,46.9,53.1
E00083141,46.4,53.6
E00083142,49.2,50.8
E00083144,53.1,46.9
E00083145,38.8,61.2
E00083146,49.1,50.9
E00083148,48,52
E00083150,47.1,52.9
E00083151,51.1,48.9
E00083153,50.9,49.1
E00083189,51,49
E00083208,49.7,50.3
E00083209,47.9,52.1
E00083210,50.8,49.2
E00083211,52.2,47.8
E00083212,51.3,48.7
E00083213,50.1,49.9
E00083214,53.3,46.7
E00083217,50.7,49.3
E00083218,50.1,49.9
E00083219,53.1,46.9
E00083220,51.2,48.8
E00083222,55.6,44.4
E00083223,53.4,46.6
E00083231,48.4,51.6
E00083258,48.9,51.1
E00083259,50.7,49.3
E00083260,51.4,48.6
E00083261,50,50
E00083262,50,50
E00083263,48.7,51.3
E00083264,53,47
E00083265,53.1,46.9
E00083266,50.8,49.2
E00083267,50.3,49.7
E00083268,51.8,48.2
E00083269,49.5,50.5
E00083270,54,46
E00083271,50.7,49.3
E00083272,50.6,49.4
E00083273,54.1,45.9
E00083274,52.7,47.3
E00083275,53.7,46.3
E00083276,49.4,50.6
E00083278,51,49
E00083279,51.7,48.3
E00083312,50.6,49.4
E00083313,49.1,50.9
E00083314,51.2,48.8
E00083315,51.1,48.9
E00083316,50.3,49.7
E00083317,51.7,48.3
E00083318,48.8,51.2
E00083319,51.5,48.5
E00083320,52.9,47.1
E00083321,51.3,48.7
E00083322,52.9,47.1
E00083323,52.4,47.6
E00083324,53.5,46.5
E00083325,51.1,48.9
E00083326,52.7,47.3
E00083327,54.2,45.8
E00083328,50.7,49.3
E00083329,53.1,46.9
E00083330,48.2,51.8
E00083331,50.1,49.9
E00083332,51.7,48.3
E00083333,51,49
E00083334,47.4,52.6
E00083335,48.7,51.3
E00083337,51.2,48.8
E00083338,49.8,50.2
E00083339,48.6,51.4
E00083340,50.3,49.7
E00083342,54.6,45.4
E00083343,51.7,48.3
E00083344,50.9,49.1
E00083345,50.5,49.5
E00083347,52.7,47.3
E00083349,52.9,47.1
E00083350,52.9,47.1
E00083351,49.7,50.3
E00083352,51.9,48.1
E00083353,51.4,48.6
E00083354,49.1,50.9
E00083356,47.5,52.5
E00083357,53.7,46.3
E00083358,47.7,52.3
E00083359,51.4,48.6
E00083360,50.4,49.6
E00083362,54,46
E00083363,45.9,54.1
E00083364,53.4,46.6
E00083367,52.9,47.1
E00083368,51.2,48.8
E00083369,49,51
E00083370,49,51
E00083371,52.8,47.2
E00083372,49.8,50.2
E00083373,48.9,51.1
E00083374,53.7,46.3
E00083375,47.6,52.4
E00083376,51.3,48.7
E00083378,50.3,49.7
E00083379,49.2,50.8
E00083380,53.6,46.4
E00083381,49.4,50.6
E00083382,50.9,49.1
E00083383,50.7,49.3
E00083384,52.5,47.5
E00083386,50,50
E00083414,54,46
E00083415,44.9,55.1
E00083416,51,49
E00083417,50.9,49.1
E00083418,52.1,47.9
E00083419,52.4,47.6
E00083420,52.8,47.2
E00083421,53.4,46.6
E00083422,57.9,42.1
E00083423,50,50
E00083424,52.3,47.7
E00083425,53.3,46.7
E00083426,49.3,50.7
E00083427,54.2,45.8
E00083499,53.2,46.8
E00083500,52.9,47.1
E00083502,49.4,50.6
E00083506,50.5,49.5
E00083512,48.8,51.2
E00083513,53.3,46.7
E00083514,48.3,51.7
E00083516,52.1,47.9
E00083518,51.7,48.3
E00083522,54,46
E00083523,50.7,49.3
E00083524,48,52
E00083525,47.5,52.5
E00083526,53.7,46.3
E00083527,53.3,46.7
E00083528,59,41
E00083529,49.2,50.8
E00083530,51.2,48.8
E00083531,51.4,48.6
E00083532,57.1,42.9
E00083533,28.4,71.6
E00083534,54.5,45.5
E00083535,50.2,49.8
E00083536,54,46
E00083537,53.9,46.1
E00083538,48.7,51.3
E00083539,55.8,44.2
E00083540,48.8,51.2
E00083541,49.8,50.2
E00083542,51,49
E00083543,52.7,47.3
E00083544,52.8,47.2
E00083545,56.7,43.3
E00083546,52.4,47.6
E00083547,52.5,47.5
E00083548,50.5,49.5
E00083549,46.8,53.2
E00083550,53.7,46.3
E00083551,52.8,47.2
E00083552,51.9,48.1
E00083553,51,49
E00083554,50.4,49.6
E00083555,34.8,65.2
E00083556,51.9,48.1
E00083557,50,50
E00083558,52.4,47.6
E00083559,62.8,37.2
E00083560,50.9,49.1
E00083561,52,48
E00083562,49.3,50.7
E00083563,56.5,43.5
E00083564,52.8,47.2
E00083565,51.2,48.8
E00083566,49.5,50.5
E00083567,50.8,49.2
E00083568,45.4,54.6
E00083569,56,44
E00083570,51.2,48.8
E00083571,46.7,53.3
E00083572,51.5,48.5
E00083573,56.5,43.5
E00083574,54.8,45.2
E00083575,51.4,48.6
E00083576,52,48
E00083577,51.7,48.3
E00083578,54.7,45.3
E00083579,53.7,46.3
E00083580,51.8,48.2
E00083581,51.7,48.3
E00083582,49.1,50.9
E00083583,50.5,49.5
E00083584,52.3,47.7
E00083585,55.9,44.1
E00083586,51.9,48.1
E00083587,54.6,45.4
E00083588,49.5,50.5
E00083589,51.3,48.7
E00083590,50,50
E00083591,57.1,42.9
E00083592,52.7,47.3
E00083593,53.7,46.3
E00083594,52.4,47.6
E00083595,52.2,47.8
E00083596,56.6,43.4
E00083597,48.7,51.3
E00083598,50.5,49.5
E00083599,53.6,46.4
E00083600,54.6,45.4
E00083601,49.2,50.8
E00083602,52.7,47.3
E00083603,49.5,50.5
E00083604,46.7,53.3
E00083627,54,46
E00083628,51.7,48.3
E00083629,50,50
E00083630,51.9,48.1
E00083631,51.8,48.2
E00083632,51.2,48.8
E00083633,51.6,48.4
E00083634,53.3,46.7
E00083635,47.1,52.9
E00083636,55.8,44.2
E00083637,51,49
E00083638,52.7,47.3
E00083639,54.8,45.2
E00083640,49.6,50.4
E00083641,51.7,48.3
E00083642,49.5,50.5
E00083643,43.7,56.3
E00083644,49.6,50.4
E00083645,53.9,46.1
E00083647,48.5,51.5
E00083648,50.2,49.8
E00083650,50.2,49.8
E00083651,54,46
E00083652,51.5,48.5
E00083653,52.8,47.2
E00083654,50,50
E00083655,53.6,46.4
E00083656,51.8,48.2
E00083657,52.3,47.7
E00083680,47.5,52.5
E00083681,48.7,51.3
E00083682,53.1,46.9
E00083683,51.2,48.8
E00083684,52.6,47.4
E00083685,48.5,51.5
E00083686,49.8,50.2
E00083687,49.9,50.1
E00083688,50.3,49.7
E00083689,50.3,49.7
E00083690,54.5,45.5
E00083691,50.7,49.3
E00083692,49.6,50.4
E00083693,52.3,47.7
E00083694,48.5,51.5
E00083740,55,45
E00083741,47.8,52.2
E00083742,50.7,49.3
