areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00081774,84.8,1.8,13.4
E00081775,91.5,2.8,5.7
E00081776,92.8,2.4,4.8
E00081777,92.8,0.9,6.3
E00081779,90.7,2.1,7.2
E00081780,89.2,2.4,8.5
E00081781,94.5,0.7,4.8
E00081783,92.1,2.2,5.7
E00081784,89.7,3.5,6.8
E00081785,82.8,4.3,12.9
E00081786,88.9,1.7,9.4
E00081787,93,0.6,6.4
E00081788,91.5,3.5,5
E00081789,88.2,2.2,9.6
E00082111,92.2,1.9,5.8
E00082113,88.5,5.2,6.3
E00082114,90.6,1.1,8.3
E00082115,99,0,1
E00082117,89.3,3.4,7.4
E00082118,93.1,3,3.9
E00083128,63.1,5.9,31
E00083139,65.3,7.9,26.8
E00083141,62.4,1.3,36.3
E00083142,73.6,7.2,19.2
E00083144,53,3.5,43.5
E00083145,49.2,3.2,47.7
E00083146,63.9,4.2,31.9
E00083148,70.7,2.8,26.4
E00083150,70.2,3,26.8
E00083151,69,3.1,27.9
E00083153,66.8,7,26.2
E00083189,80.9,1.8,17.3
E00083208,69.5,3.7,26.8
E00083209,66.3,2.5,31.2
E00083210,69.1,0.8,30.1
E00083211,79.1,2.9,18
E00083212,80.6,3.6,15.9
E00083213,70.6,2,27.4
E00083214,71.6,2,26.4
E00083217,75.7,3,21.3
E00083218,70,4.5,25.6
E00083219,79.1,1.9,19
E00083220,74.1,2.6,23.3
E00083222,83.3,2.3,14.4
E00083223,86,1.3,12.7
E00083231,74.5,3.2,22.3
E00083258,79.2,7.1,13.7
E00083259,70.3,4.2,25.5
E00083260,78.8,3,18.2
E00083261,78.1,1.8,20.2
E00083262,89.5,0.6,9.9
E00083263,79.1,5.1,15.8
E00083264,78.7,5.2,16
E00083265,83.6,4.1,12.3
E00083266,82.4,4.3,13.4
E00083267,79,3,18
E00083268,68.9,0.6,30.5
E00083269,88.4,3,8.6
E00083270,70.7,9.2,20.1
E00083271,81.4,1.5,17.1
E00083272,78.4,3.3,18.3
E00083273,82.7,2,15.3
E00083274,70.1,4.7,25.2
E00083275,82.2,3.1,14.7
E00083276,82,2.1,15.8
E00083278,72.9,1.5,25.6
E00083279,79.2,2.6,18.3
E00083312,90.2,2.3,7.6
E00083313,87.3,3.6,9.1
E00083314,76.7,2.4,20.9
E00083315,78.4,3.6,18.1
E00083316,73.9,4.6,21.6
E00083317,77.3,3,19.7
E00083318,80.3,2.9,16.8
E00083319,80.7,6.3,13
E00083320,81,3.4,15.6
E00083321,76.1,2.4,21.5
E00083322,79.5,7.6,12.9
E00083323,81.8,6.7,11.5
E00083324,82.3,4.3,13.4
E00083325,78.3,0.3,21.4
E00083326,87.4,1.6,11
E00083327,75.9,5.6,18.4
E00083328,84.3,2.7,13.1
E00083329,72.4,1.9,25.8
E00083330,78.5,3.9,17.6
E00083331,77.7,4,18.3
E00083332,72.9,4.9,22.2
E00083333,85.6,2.2,12.1
E00083334,78.7,3.6,17.8
E00083335,78.2,3.9,17.8
E00083337,70.2,5.6,24.2
E00083338,77.4,2.6,20
E00083339,83.1,3.3,13.6
E00083340,76.8,4.9,18.3
E00083342,90,2.1,8
E00083343,86.6,1.1,12.3
E00083344,93.8,2.1,4.2
E00083345,76.4,1.9,21.7
E00083347,78.2,6.9,14.9
E00083349,79.8,8,12.3
E00083350,75.3,4,20.7
E00083351,83.1,2.5,14.4
E00083352,72,4.9,23.1
E00083353,79.3,5.2,15.6
E00083354,68.1,0.7,31.3
E00083356,82.9,3.6,13.5
E00083357,85.7,1.9,12.4
E00083358,62.8,7.3,29.9
E00083359,78.1,2.8,19.2
E00083360,72,2.3,25.8
E00083362,65.4,2.6,32
E00083363,63.3,3.3,33.4
E00083364,62.6,0.7,36.7
E00083367,52.2,5.4,42.4
E00083368,62.5,1.7,35.8
E00083369,55.5,4.5,40
E00083370,48.7,3.8,47.4
E00083371,67.6,2.8,29.6
E00083372,64.9,3.8,31.4
E00083373,88.9,1.5,9.7
E00083374,61.8,5.2,33
E00083375,79.2,1.8,19
E00083376,60.8,1.5,37.7
E00083378,71.1,4.9,24
E00083379,85.6,3.1,11.3
E00083380,76.6,3.4,20
E00083381,74,3.8,22.1
E00083382,84.5,4.4,11.1
E00083383,88.3,3.2,8.5
E00083384,84.8,4.5,10.7
E00083386,85.5,6.3,8.2
E00083414,94.4,1,4.7
E00083415,83.1,3.4,13.4
E00083416,92,3.1,4.8
E00083417,87.2,1.8,11
E00083418,91.6,1,7.3
E00083419,84.6,2.6,12.8
E00083420,80.5,3.4,16.1
E00083421,92,1.2,6.8
E00083422,77.3,3.3,19.3
E00083423,94.7,1.2,4.1
E00083424,89.4,3,7.6
E00083425,88.2,4.2,7.6
E00083426,86.1,4.7,9.2
E00083427,94.9,1,4.2
E00083499,90.9,2.2,6.9
E00083500,92.9,2.5,4.6
E00083502,90.8,0.8,8.4
E00083506,90,1.5,8.5
E00083512,92.5,2.7,4.8
E00083513,94.5,2.3,3.1
E00083514,87.1,5.2,7.7
E00083516,90.3,2.1,7.7
E00083518,89.6,1.5,8.9
E00083522,96,0.4,3.6
E00083523,71.2,7.1,21.7
E00083524,75.7,6.1,18.2
E00083525,66.9,6.8,26.3
E00083526,68.6,5.1,26.3
E00083527,73,7.4,19.6
E00083528,86.3,1.6,12
E00083529,82.3,3.2,14.5
E00083530,79.3,6,14.7
E00083531,84.9,0.6,14.5
E00083532,73.1,5.1,21.7
E00083533,87.8,3.2,9
E00083534,74,7.2,18.8
E00083535,79.9,5.1,15
E00083536,77.6,3.6,18.8
E00083537,82.4,2.2,15.4
E00083538,70.7,3.5,25.7
E00083539,83.1,5.6,11.2
E00083540,72.6,8.5,18.9
E00083541,78.8,4.6,16.6
E00083542,63.5,6.1,30.4
E00083543,82.7,3.3,14
E00083544,79.2,4.9,16
E00083545,82.8,6.9,10.3
E00083546,80.7,1.4,17.9
E00083547,72.4,5.3,22.3
E00083548,81.2,5.3,13.6
E00083549,83.1,5.6,11.3
E00083550,86.4,3.7,9.9
E00083551,85.8,5,9.3
E00083552,90.8,3.5,5.7
E00083553,85.9,4.3,9.9
E00083554,88.6,1.2,10.3
E00083555,86.9,2,11.1
E00083556,85.1,2.6,12.3
E00083557,85,4,11.1
E00083558,84.6,2.2,13.1
E00083559,90.3,2.8,6.9
E00083560,86.2,4.7,9.1
E00083561,89.6,2.6,7.8
E00083562,85.7,2.7,11.6
E00083563,87.9,2.6,9.5
E00083564,86.1,3.6,10.3
E00083565,89,3.4,7.7
E00083566,91.1,1.6,7.2
E00083567,89.4,1.1,9.5
E00083568,92.1,1.7,6.3
E00083569,83.3,4.1,12.6
E00083570,88.7,3.5,7.7
E00083571,87.4,1.6,10.9
E00083572,74.6,5.1,20.3
E00083573,84.7,3.6,11.7
E00083574,87.6,2.1,10.2
E00083575,81.2,3.1,15.7
E00083576,92.5,1.6,5.9
E00083577,90.7,5.1,4.2
E00083578,87.4,2.3,10.4
E00083579,88.6,1.5,9.8
E00083580,91.1,2.7,6.2
E00083581,86.5,4.6,8.9
E00083582,78.2,8.2,13.6
E00083583,85.5,4.1,10.4
E00083584,89.3,2.3,8.3
E00083585,87.3,2.3,10.5
E00083586,85.4,3.3,11.3
E00083587,93.7,0,6.3
E00083588,86.3,4.1,9.6
E00083589,84.8,3,12.2
E00083590,85.3,2.4,12.2
E00083591,89.6,2.2,8.2
E00083592,79,1.4,19.7
E00083593,75.7,3.5,20.8
E00083594,93.7,0.4,6
E00083595,89.6,4.6,5.9
E00083596,90.4,1.2,8.4
E00083597,83.5,4.1,12.4
E00083598,88.8,2.7,8.5
E00083599,86,2.3,11.6
E00083600,88.1,2.6,9.4
E00083601,89.1,1.9,9
E00083602,92.2,0.9,6.9
E00083603,92,1.3,6.7
E00083604,93.3,0.7,6
E00083627,89.4,4.1,6.5
E00083628,80.2,2.6,17.2
E00083629,86.1,3.7,10.2
E00083630,91.6,1.8,6.6
E00083631,88.7,3.2,8
E00083632,90.9,1.3,7.8
E00083633,86,2.9,11.1
E00083634,86.7,2.1,11.2
E00083635,84.8,4.5,10.7
E00083636,83.8,4.7,11.6
E00083637,89.2,2.8,8
E00083638,91.2,3.7,5.1
E00083639,88.1,3.2,8.7
E00083640,78.6,4.6,16.8
E00083641,85.9,4.3,9.8
E00083642,87.8,2.3,9.8
E00083643,81.7,5.3,12.9
E00083644,93.3,0.7,6
E00083645,85.5,3,11.4
E00083647,75.5,3.1,21.4
E00083648,90.9,0.9,8.2
E00083650,92.3,1.6,6
E00083651,88,3.6,8.3
E00083652,94.6,0.7,4.7
E00083653,91.1,2.1,6.8
E00083654,93.1,1.4,5.4
E00083655,89.6,4.5,5.9
E00083656,92.6,1.3,6.1
E00083657,88.6,2.7,8.7
E00083680,84.5,2.8,12.7
E00083681,86.3,3.6,10.1
E00083682,91.6,1.6,6.7
E00083683,86.3,3.2,10.4
E00083684,86.2,3.3,10.4
E00083685,95,1.5,3.5
E00083686,85,2.7,12.3
E00083687,85.8,4.3,9.9
E00083688,92.2,2.2,5.6
E00083689,91.3,2,6.6
E00083690,95.5,1.6,2.8
E00083691,86,3.3,10.7
E00083692,90.9,1.7,7.4
E00083693,91,3.9,5.1
E00083694,96,0.6,3.4
E00083740,90.3,2.3,7.4
E00083741,90.9,4.4,4.7
E00083742,93.6,0.9,5.5
E00083743,89.1,3.6,7.3
E00083744,88.8,2.2,9.1
E00083745,90,0.9,9.1
E00083746,79.2,6.6,14.2
E00083747,90.2,3.4,6.3
E00083748,89.9,1.5,8.6
E00083749,90.6,1.8,7.6
E00083750,89.4,3.4,7.3
E00083751,87.1,3.7,9.2
E00083752,94.4,2,3.6
E00083753,92.9,0.5,6.5
E00083754,90.7,1.6,7.8
E00083755,91.5,2.5,6
E00083781,91.7,2,6.3
E00083782,85.9,2.7,11.4
E00083783,90,3.8,6.2
E00083784,92.1,1.7,6.2
E00083785,77.2,7,15.7
E00083786,78.6,5.4,16.1
E00083787,74.8,5,20.2
E00083788,88.1,2.8,9.2
E00083789,89.8,2.3,7.9
E00083790,81.5,6.9,11.6
E00083791,89.3,2.1,8.6
E00083792,82.2,4.9,12.9
E00083793,89.5,1.7,8.7
E00083794,79.6,0.9,19.5
E00083795,78.9,4.3,16.8
E00083796,87.6,3.8,8.6
E00083821,87.5,3.1,9.4
E00083827,90.7,3.4,5.9
E00083838,87.9,2.7,9.4
E00083839,92,2.5,5.5
E00083840,84.8,3.8,11.4
E00083841,86.6,2.4,11
E00083842,92.3,3,4.7
E00083843,86.1,2.4,11.5
E00083844,84.1,1.9,14
E00083845,84.1,8.1,7.8
E00083846,84.5,1.6,13.9
E00083847,91.2,0,8.8
E00083852,85.8,2.5,11.7
E00083853,86.9,2.7,10.4
E00083854,85.2,5.6,9.2
E00083855,84.8,5.1,10.1
E00083856,86.3,3.1,10.6
E00083857,89,1.9,9.1
E00089887,93.7,1.1,5.2
E00089888,92.8,2.1,5.1
E00156380,92.3,2.6,5.1
E00156383,79.7,2.6,17.7
E00156384,87,1.7,11.3
E00156385,87.6,5.1,7.4
E00156388,89.6,1.6,8.8
E00156389,85.1,3.2,11.6
E00156391,86.4,2.5,11.1
E00156393,92.2,0.7,7.1
E00156395,83.7,0,16.3
E00156398,88.3,1.2,10.5
E00156400,67.9,4.5,27.7
E00156401,82.3,4.6,13.1
E00156402,86.4,2.6,11
E00156403,78.7,2.9,18.4
E00156404,87.7,3.7,8.7
E00156405,72.6,1.5,25.8
E00156407,77.6,3.7,18.7
E00156408,86.5,1.2,12.4
E00156409,73.7,4.4,21.9
E00156410,85.4,1.6,13
E00156411,80.3,3.7,16
E00156412,80.4,4.2,15.4
E00156413,75.9,2.2,22
E00156414,83.7,6,10.3
E00156415,80.9,9.4,9.7
E00156416,83.5,3.9,12.6
E00156417,82.3,5.2,12.5
E00156418,87.8,1.3,11
E00156419,89.7,2.5,7.8
E00156420,90.6,2.3,7.1
E00156421,85.1,3.6,11.3
E00156423,69,5.9,25.1
E00156424,79.2,2.6,18.1
E00156426,83.2,5.6,11.2
E00156427,79.7,3,17.3
E00156429,81,2.6,16.5
E00156430,82.8,3,14.2
E00156431,89.6,2.6,7.8
E00156432,81.8,3.1,15.1
E00156433,84.5,3,12.4
E00156434,80.8,4.8,14.4
E00156435,76.4,5.3,18.3
E00156436,82.9,3.2,13.9
E00156437,83.6,1.4,15
E00156438,72,6.4,21.5
E00156439,83.3,2,14.7
E00156441,88.5,3.3,8.1
E00156442,89,0.4,10.6
E00156443,91.4,2.1,6.5
E00156444,86.4,2.6,11
E00156445,84.4,2.2,13.5
E00156446,83.3,1.7,15.1
E00156447,77.6,4.8,17.6
E00156486,88.6,2.4,9
E00156488,91.3,2.7,6
E00156489,88.6,1.9,9.4
E00156490,90.6,1.3,8.2
E00156491,90.5,3.5,6.1
E00156492,92.4,2.2,5.4
E00156493,94.2,2.1,3.7
E00156494,94.8,2.6,2.6
E00156495,80.1,2.8,17.1
E00156496,96.3,1.5,2.2
E00156500,70.3,2,27.8
E00156501,90.7,2.9,6.4
E00156502,90.8,0.5,8.6
E00156503,69.6,6,24.4
E00156504,87.1,3.2,9.7
E00156506,88.3,2.2,9.6
E00156507,92.1,0.9,7
E00156508,69.7,3,27.3
E00156509,75.9,4.5,19.7
E00156510,74.7,6.3,19
E00156511,58.3,6,35.7
E00156512,61.1,5.7,33.1
E00156513,82.2,5.8,12
E00156514,68.3,5.5,26.3
E00156518,81.3,4.4,14.3
E00166692,42.9,4.5,52.6
E00166694,80.1,0.5,19.4
E00166695,56.8,4.7,38.5
E00166696,61.7,2.6,35.7
E00166697,78,1.1,20.9
E00166699,73.4,6.2,20.4
E00166701,75.8,3.8,20.3
E00166702,78.9,3.2,17.9
E00166703,85.2,1.3,13.5
E00166704,75.5,3.3,21.2
E00166705,70.3,2.9,26.8
E00166706,72.8,1.5,25.7
E00166708,62.3,5.1,32.6
E00166711,71,4.1,24.9
E00166714,74.7,3.4,21.9
E00166719,87.1,1.9,10.9
E00166720,86,2.4,11.6
E00166723,88.2,2.8,9
E00166724,79.8,4.9,15.2
E00166726,80.1,8.5,11.4
E00167793,88.3,4.3,7.4
E00167794,78.4,6.2,15.4
E00167795,49.2,2.9,47.9
E00167798,83.7,2.1,14.2
E00180568,81.3,5.4,13.3
E00180586,91.3,2.8,6
E00180588,65,6.2,28.9
E00180615,65.8,4.3,29.9
E00180634,73.7,6.9,19.4
E00180639,75.5,6.3,18.2
E00188337,82,6.1,11.9
E00188339,57,3.3,39.8
E00188348,78,6.5,15.6
E00188356,73.3,4.5,22.1
E00188359,77,11.6,11.4
E00188375,46.2,4.7,49.2
E00188380,80,3.5,16.5
E00188398,33.7,3.6,62.7
E00188409,79.4,2.5,18.1
E00188410,49.7,8.9,41.4
E00188413,63.5,3.5,33
E00188414,73.5,1.6,24.9
E00188421,73.4,4.4,22.1
E00188423,67.8,4.1,28.1
E00188435,42.4,4.2,53.4
E00188452,73.6,6.7,19.7
E00188454,71.7,4.7,23.7
E00188456,76.9,2.2,20.9
E00188457,52.4,2.9,44.7
E00188471,35.4,2.4,62.2
E00188510,73.2,10.5,16.2
E00188514,61.7,6.8,31.6
E00188522,59.6,8.6,31.8
E00188528,88,3.1,8.9
