areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00069551,7.1,49,41.8,2,0
E00069552,48.2,41.2,9.6,0.9,0
E00069553,59.2,24.8,16,0,0
E00069554,64.1,32.4,3.5,0,0
E00069556,10.3,53.6,35.1,1,0
E00069557,52.4,23.8,23,0.8,0
E00069558,61.2,26.1,10.4,1.5,0.7
E00069559,51.9,29.6,16.7,1.9,0
E00069565,66.7,29.8,3.6,0,0
E00069566,52.8,28.6,15.5,1.2,1.9
E00069567,56.4,21.8,20.1,1.1,0.6
E00069633,57.9,27.9,13.1,1.1,0
E00131493,56.5,27.9,14.9,0.6,0
E00133530,66.1,23.7,8.5,1.7,0
E00133532,71.2,23.1,3.8,1.9,0
E00133533,66.3,27.7,6,0,0
E00133536,61.1,28.4,9.1,1.4,0
E00133537,73.7,16.8,9,0,0.6
E00133553,54.5,38.2,7.3,0,0
E00133554,42,38.4,19.6,0,0
E00133558,50.7,41.1,8.2,0,0
E00133559,34.9,45.7,17.1,2.3,0
E00133560,77.7,18.8,3.6,0,0
E00133561,69.7,23.9,6.4,0,0
E00133562,83.5,13.8,1.8,0,0.9
E00133563,69.7,25.7,3.7,0.9,0
E00133564,55.8,29.8,13.9,0.5,0
E00133565,41.1,42.3,16.6,0,0
E00133566,46.3,41.3,12.4,0,0
E00133567,22.8,39.7,35.3,2.2,0
E00133568,32.4,44.6,20.9,2.2,0
E00133569,36.4,51.7,8.5,3.4,0
E00133570,16.4,37.7,45.1,0.8,0
E00133571,19.3,43,35.5,2.2,0
E00133572,25.3,33.7,40.4,0.6,0
E00133573,20.3,32.2,46.2,1.4,0
E00133575,22.7,54.7,22.7,0,0
E00133576,39.8,46,13,1.2,0
E00133578,32.8,51.9,15.3,0,0
E00133580,62.1,24.3,12.9,0.7,0
E00133581,76.8,19.2,4,0,0
E00133582,69.7,24.6,4.9,0.8,0
E00133583,49.6,38.5,10.3,1.7,0
E00133584,59.3,31.5,9.3,0,0
E00133585,35.8,48.8,13.6,1.9,0
E00133586,54,37.9,8.1,0,0
E00133587,61.6,30.4,6.4,1.6,0
E00133589,68.9,27,2.7,0.7,0.7
E00133590,9.7,46.2,40.9,3.2,0
E00133591,43.3,38.3,17,1.4,0
E00133592,47.5,37.5,15,0,0
E00133593,74,21.1,4.9,0,0
E00133594,58.6,28.4,10.3,1.7,0.9
E00133595,22.4,38.5,35.3,3.8,0
E00133596,66.1,27.8,5.2,0,0.9
E00133597,55,35.5,9.5,0,0
E00133621,48.5,36.9,13.8,0.8,0
E00133624,13.4,30.9,48.5,7.2,0
E00133626,36.4,34.5,24.5,4.5,0
E00133627,31.6,41.4,23.6,2.9,0.6
E00133628,39.6,30.9,23,5.8,0.7
E00133629,26.8,37.5,30.4,5.4,0
E00133630,30.9,41.5,22,4.9,0.8
E00133631,30.8,24.3,42.1,2.8,0
E00133632,21.6,36.9,37.8,3.6,0
E00133633,23.3,43.3,27.5,3.3,2.5
E00133634,21.1,45,26.6,6.4,0.9
E00133635,13,30.8,50,6.3,0
E00133652,47.1,39.5,12.2,1.2,0
E00133653,48.1,37.2,14,0.8,0
E00133654,77.4,20.9,0.9,0.9,0
E00133655,63.3,26.7,10,0,0
E00133656,63,30.4,6.5,0,0
E00133661,75.7,19,5.3,0,0
E00133662,55.2,33.5,11.3,0,0
E00133663,54.4,30.9,14.7,0,0
E00133664,74.1,19.8,4.9,1.2,0
E00133665,67.9,25.7,6.4,0,0
E00133666,46.7,22.4,29,1.9,0
E00133667,25.7,35.7,34.3,4.3,0
E00133669,22.9,45.8,26,4.6,0.8
E00133670,9,48.4,39.4,1.9,1.3
E00133671,17.4,47.8,31.9,1.4,1.4
E00133672,54.4,32.8,10.4,2.4,0
E00133673,7.3,31.5,56,5.2,0
