areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00051385,3.2,29.2,67.6
E00051397,6.9,20.7,72.4
E00051399,5.7,19.5,74.8
E00051402,8.1,19.8,72.1
E00051462,3.8,15.4,80.8
E00051468,1.5,28.9,69.6
E00051475,0.8,46.5,52.7
E00051478,3.9,15.6,80.5
E00051481,1.5,22.3,76.2
E00051482,2.9,24.1,73
E00051483,0.7,30.1,69.2
E00051486,4.3,21.6,74.1
E00159026,1.8,22.7,75.5
E00159027,4.4,27.7,67.9
E00159028,0.8,15,84.2
E00159029,7.2,17.4,75.4
E00159031,4.1,20.4,75.5
E00159354,0.6,14.5,84.9
E00159355,0.7,33.8,65.4
E00159356,1.9,24.3,73.8
E00159357,0,25.7,74.3
E00159361,2.6,22.2,75.2
E00159363,3.2,30.4,66.4
E00159364,2.9,22.2,74.9
E00159365,3.3,17.9,78.9
E00159366,3.4,23.9,72.6
E00159367,0.8,40.3,58.9
E00159370,1.9,30.8,67.3
E00159371,3.7,40.5,55.8
E00159424,4.6,26,69.5
E00159425,4.3,20.3,75.4
E00159426,2.3,15.6,82
E00159428,6.3,23.4,70.3
E00159430,1.4,25,73.6
E00159431,3.1,22.5,74.4
E00159432,6.1,22.8,71.1
E00159434,0,17.7,82.3
E00159435,2.3,33.8,63.9
E00159498,1.9,24.3,73.8
E00159499,2.2,16.2,81.6
E00159500,5.2,20.9,73.9
E00159502,7.6,22.1,70.3
E00159503,3.6,27.9,68.5
E00159504,1.7,38.7,59.7
E00159505,6.3,22.2,71.5
E00159506,3.7,40.4,55.9
E00159507,3.9,22.9,73.2
E00159508,4.7,20.6,74.8
E00159509,3.2,36.3,60.5
E00159513,5.3,22.8,71.9
E00159514,10.6,14.6,74.8
E00159515,4.3,21.6,74.1
E00159516,6.9,25.9,67.2
E00159620,4.8,31.7,63.5
E00159628,0.7,29.2,70.1
E00159631,0.8,21.2,78
E00159635,5,17.5,77.5
E00159636,4.8,21,74.2
E00159638,4.4,17,78.5
E00159650,5.9,16.3,77.8
E00159652,5.7,37.7,56.6
E00159653,4.6,41.2,54.2
E00159654,7.1,33.6,59.3
E00159655,2.3,43.2,54.5
E00159656,1.9,18.3,79.8
E00159657,1.8,27.5,70.6
E00159659,6.4,23.2,70.4
E00159661,2.4,35.5,62.1
E00159663,3,36.3,60.7
E00159664,6.2,31.7,62.1
E00159666,5,24.3,70.8
E00159685,6.4,52.1,41.4
E00159690,3,45.5,51.5
E00159691,4,34.4,61.6
E00159692,1.8,31.1,67.1
E00159705,4.3,24.3,71.4
E00159707,10.6,25.5,63.8
E00159708,5.3,60.1,34.6
E00159709,1.9,60.8,37.3
E00159710,5.4,42.9,51.7
E00159711,1.5,56.5,42
E00159712,0,50.5,49.5
E00159715,2.6,48.7,48.7
E00159716,3.5,57,39.5
E00159717,5.6,58.5,35.9
E00159719,5.1,44.1,50.8
E00159720,0.7,42.1,57.2
E00159721,4.7,50,45.3
E00159722,7.2,27.9,64.9
E00159723,6.5,24.1,69.4
E00159724,6.7,17.6,75.6
E00159725,5.5,21.8,72.7
E00159726,10.5,25.4,64
E00159728,8.5,13.1,78.5
E00159731,9.2,16.8,73.9
E00159732,5.8,19.2,75
E00159733,2.3,23.4,74.2
E00159734,1.9,38.9,59.3
E00172315,2.8,23.1,74.1
E00172316,3.4,28.1,68.5
E00172317,7.7,33,59.3
E00172318,12.8,42.1,45.1
E00172322,5.3,31.9,62.8
E00172323,3.6,22.3,74.1
E00172326,5.8,55.4,38.8
E00172327,5.5,33.9,60.6
E00172328,0.9,20.5,78.6
E00172329,3.7,27.5,68.8
E00172330,2.7,31.9,65.5
E00172332,4.6,19.4,75.9
E00172333,0,17.9,82.1
E00172334,4.6,15.6,79.8
E00186845,3.3,35.4,61.3
E00186864,0.8,18.9,80.3
E00186946,2.1,10.6,87.2
E00186977,6.4,12.3,81.4
