areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00051385,96.4,1.2,2.4
E00051397,97.2,1.2,1.6
E00051399,98.1,0.3,1.6
E00051402,96.7,0,3.3
E00051462,92.7,1.6,5.7
E00051468,93.2,1.7,5.1
E00051475,97.8,0.7,1.5
E00051478,95.3,0.6,4.2
E00051481,96.9,0.6,2.5
E00051482,94.6,3.6,1.8
E00051483,96.9,0,3.1
E00051486,93.9,1.7,4.4
E00159026,96.1,0.4,3.5
E00159027,95.7,0.6,3.7
E00159028,96.5,1.6,1.9
E00159029,96.1,1.7,2.2
E00159031,98.4,0,1.6
E00159354,91.9,4.3,3.8
E00159355,90.5,3.2,6.3
E00159356,93.7,5.1,1.2
E00159357,93.1,3,3.9
E00159361,91.8,1,7.2
E00159363,90.6,0.8,8.6
E00159364,95.9,1.6,2.6
E00159365,92.5,1.6,5.9
E00159366,91.7,3,5.3
E00159367,90.7,4,5.3
E00159370,95.9,1.4,2.8
E00159371,82.2,3.9,13.9
E00159424,98.2,0.7,1.1
E00159425,96.1,0.6,3.3
E00159426,96.5,1.5,2
E00159428,97.4,0,2.6
E00159430,96,2.2,1.9
E00159431,95.6,0.3,4.1
E00159432,96.5,1.1,2.5
E00159434,92.3,3.5,4.2
E00159435,93.1,0.9,6
E00159498,97.9,0.4,1.7
E00159499,97,0.9,2.1
E00159500,93.6,1.9,4.5
E00159502,94.9,2,3.1
E00159503,97.4,0.4,2.2
E00159504,95.3,1.7,3
E00159505,94.7,1.8,3.4
E00159506,96.7,0.4,3
E00159507,97,0.5,2.6
E00159508,94.8,0.4,4.8
E00159509,96.4,0.8,2.8
E00159513,96.5,0.8,2.7
E00159514,94.5,1.7,3.8
E00159515,97.9,1,1
E00159516,93.9,0.7,5.4
E00159620,87.5,1.2,11.3
E00159628,94.1,2.5,3.4
E00159631,96.8,0,3.2
E00159635,93.3,4.7,2
E00159636,92.1,0.3,7.5
E00159638,93.3,4.4,2.3
E00159650,95.7,1.2,3.1
E00159652,88.3,3.1,8.6
E00159653,93.1,3.3,3.7
E00159654,91.3,1.2,7.5
E00159655,90.9,3.3,5.8
E00159656,96.6,2.1,1.3
E00159657,92.9,1.8,5.3
E00159659,94.1,0.7,5.2
E00159661,95.2,0.4,4.4
E00159663,89.3,1.8,8.9
E00159664,88.5,1.7,9.8
E00159666,95,0.8,4.2
E00159685,67.6,3,29.4
E00159690,89.9,3,7.1
E00159691,92.7,1.5,5.8
E00159692,96.5,1.3,2.1
E00159705,95.1,0.4,4.5
E00159707,89.2,2.8,8
E00159708,80.3,5.5,14.2
E00159709,91.6,1.6,6.8
E00159710,93.9,1.9,4.2
E00159711,81.9,1.4,16.7
E00159712,92.4,4.1,3.5
E00159715,82.3,3.3,14.4
E00159716,84.5,3.6,11.9
E00159717,89.8,0.4,9.7
E00159719,93.4,1.2,5.5
E00159720,89.6,1.8,8.6
E00159721,86,1.5,12.5
E00159722,95.2,2.2,2.6
E00159723,84,4.3,11.7
E00159724,94.2,3.5,2.3
E00159725,94.9,1.8,3.3
E00159726,95.4,1.3,3.3
E00159728,86.3,5.2,8.4
E00159731,98.1,0.3,1.6
E00159732,94.2,1.9,3.8
E00159733,87.3,0.9,11.8
E00159734,90.6,1.3,8
E00172315,92,1.6,6.4
E00172316,83.1,7.2,9.7
E00172317,82.2,5.8,12
E00172318,75,4.5,20.5
E00172322,88.5,3.7,7.8
E00172323,84.3,3.1,12.5
E00172326,74.6,4.8,20.6
E00172327,92.9,2.1,5
E00172328,95.2,1,3.8
E00172329,92.5,1.5,6
E00172330,87.2,2.3,10.5
E00172332,97,1,2
E00172333,91.9,4.8,3.2
E00172334,86.8,6.6,6.6
E00186845,95.8,0.3,4
E00186864,89.9,3.1,7
E00186946,92.4,3,4.5
E00186977,89.8,3.7,6.5
