areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00064333,42.3,45.6,8.7,3.4
E00064334,47.6,33.9,14.5,4
E00064335,41.5,49.6,8.1,0.7
E00064336,42.5,47,9.7,0.7
E00064337,53.9,37,6.5,2.6
E00064338,37.2,49.6,11.5,1.8
E00064339,33.3,44.7,16.7,5.3
E00064340,27.9,57.4,14.7,0
E00064341,32.3,53.1,9.4,5.2
E00064342,42.1,45.2,12.7,0
E00064343,31.4,55.1,11.9,1.7
E00064344,34.9,47.6,9.5,7.9
E00064345,40.8,46.9,11.5,0.8
E00064346,41.8,49.5,8.8,0
E00064347,46.3,42.2,11.6,0
E00064348,40.1,46.7,10.9,2.2
E00064349,32.9,47.9,18.5,0.7
E00064350,40.9,46.7,10.2,2.2
E00064351,39.4,43.9,13.5,3.2
E00064353,52.2,37,8.7,2.2
E00064354,46.5,42.7,9.2,1.6
E00064355,45.4,40.3,11.8,2.5
E00064356,29.9,56,12.7,1.5
E00064357,21.1,51.1,22.2,5.6
E00064358,45.2,31.7,18.3,4.8
E00064359,9.2,56.1,29.6,5.1
E00064360,23,57.4,18.9,0.8
E00064362,15.3,47.4,29.2,8
E00064363,16.1,42.9,29.5,11.6
E00064365,22.9,53.5,21,2.5
E00064366,25.8,46.1,18,10.2
E00064367,27.6,44,24.1,4.3
E00064368,44.7,40.2,12.1,3
E00064369,40.5,40.5,13.5,5.4
E00064370,43,47.5,8.2,1.3
E00064371,27.2,45.6,21.3,5.9
E00064372,29.9,45.5,21.6,3
E00064373,33.8,45.9,15.5,4.7
E00064374,29.9,46.5,18.8,4.9
E00064375,22.8,56.7,16.5,3.9
E00064376,26.1,53.2,19.8,0.9
E00064377,27.4,48.8,20.1,3.7
E00064378,16.5,55.7,24.1,3.8
E00064379,18.2,49.2,27.3,5.3
E00064380,22.8,48,22.8,6.3
E00064381,26.6,49,23.1,1.4
E00064382,20.6,53.7,22.8,2.9
E00064383,21.2,57.6,15.2,6.1
E00064384,19.5,54.9,23.3,2.3
E00064385,22.7,45.5,23.5,8.3
E00064386,21.6,58.4,18.4,1.6
