geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02003184,30.3,30.9,17.6,21.2
E02003185,25.4,33.6,18.9,22.1
E02003186,28.7,30.9,19.1,21.3
E02003187,33.4,32.6,15.9,18.1
E02003188,47.4,33.6,11.1,7.9
E02003189,41.2,33.2,12.9,12.6
E02003190,50.3,30.2,10.9,8.6
E02003191,34,40.6,11.4,14
E02003192,44.1,33.7,13.1,9.2
E02003202,32.2,36.2,15.3,16.3
E02003203,28.2,35.8,17.5,18.5
E02003204,30.8,36.4,15.7,17
E02003205,24.6,36.2,16.3,22.8
E02003206,29.2,37,15,18.8
E02003207,26.7,34.3,16.1,22.9
E02003208,42.2,33.4,13.2,11.2
E02003209,31.3,36.4,15.4,16.8
E02003210,36.9,36.1,12.5,14.5
E02003211,39.1,43.3,8.8,8.8
E02003584,52,29.7,10.3,8
E02003585,31.8,43.4,12.5,12.2
E02003586,32.4,36.9,14.9,15.8
E02003587,34.3,34.1,15.7,15.8
E02003588,30.5,35.4,16.2,17.9
E02003589,38.4,32.7,14.1,14.8
E02003590,33,44.6,11.7,10.7
E02003591,29.7,36.9,15.7,17.7
E02003592,36.2,44.6,9.8,9.4
E02003593,28,46.5,12.3,13.2
E02003594,34.6,38,13.6,13.8
E02003595,29.7,44.5,12.8,13
E02003596,41.8,35.9,10.9,11.4
E02003597,30.2,43.3,12,14.6
E02003598,39.3,39,11.1,10.7
E02004242,32.2,44.1,11.9,11.8
E02004265,31.7,38.7,14.5,15.2
E02004266,25.3,40.2,14.1,20.4
E02004267,27.3,45.5,12.8,14.4
E02004268,35.1,40.9,12.5,11.4
E02004275,28.1,45.4,12.7,13.7
E02004276,40.5,39.7,10.6,9.3
E02004278,32.7,35.9,14.3,17.1
E02004279,26,43.8,13.8,16.5
E02004280,29,41.3,14.1,15.6
E02004281,33,36,15.5,15.5
E02004282,29.5,46.4,12.3,11.8
E02004283,27.9,38.3,14.7,19.1
E02004284,48.5,33,9.4,9
E02004285,35.9,33.7,15.7,14.7
E02004286,28.8,39.2,15.5,16.5
E02004287,28.3,38.6,16.2,16.9
E02004288,35.9,36.4,13.3,14.5
E02004289,28.9,41.5,14.5,15.2
E02004801,33.2,46.7,9.2,11
E02006574,33,42.1,11.5,13.4
E02006883,50.4,34.3,9.8,5.5
E02006885,46.6,38.3,9,6
E02007006,47,34.1,10.9,7.9
E02007007,30.4,38.6,14.5,16.4
