geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02003184,21.4,45.7,23.7,9.2
E02003185,14,41.3,33.8,10.9
E02003186,23.4,46.3,23.4,7
E02003187,25.7,45.5,22.1,6.7
E02003188,40.4,44.5,12.2,2.8
E02003189,21.6,46.9,24.1,7.4
E02003190,38.8,47,12.1,2.1
E02003191,14.8,45.4,30.4,9.3
E02003192,38.4,47.5,11.8,2.3
E02003202,17.5,45.3,28,9.1
E02003203,16.9,43.3,29.7,10.1
E02003204,16.8,42.7,29.6,10.9
E02003205,13.2,39.7,32.6,14.5
E02003206,13.9,39.3,35.4,11.3
E02003207,16.3,43.7,29.6,10.5
E02003208,32.8,48.5,14.7,4
E02003209,17.6,45.5,26.8,10.1
E02003210,14.9,43.2,30.8,11.1
E02003211,15.9,47.1,26.9,10.1
E02003584,38.7,42.5,14.3,4.5
E02003585,15,41.8,30.4,12.8
E02003586,20.6,43.2,25.8,10.4
E02003587,26.4,45.1,21.5,7
E02003588,21,43.7,25.7,9.7
E02003589,32,42.7,18.9,6.4
E02003590,13.1,45.8,29.8,11.4
E02003591,19,44.4,27,9.6
E02003592,18.6,47.3,24.8,9.2
E02003593,10.4,38.8,33.2,17.5
E02003594,21.7,46.9,22.7,8.8
E02003595,15.4,42.8,28.6,13.2
E02003596,30.3,42.6,19.9,7.2
E02003597,11,38.6,32.2,18.2
E02003598,23.2,44.9,24,7.9
E02004242,12,44.5,33.1,10.4
E02004265,16,42.8,28.5,12.7
E02004266,8.6,39.8,36,15.6
E02004267,8.8,36.7,35.4,19.1
E02004268,18.8,46.7,25.6,8.9
E02004275,8.5,40.6,36.7,14.2
E02004276,20.6,48.7,22.6,8.1
E02004278,18.1,44.4,27.1,10.3
E02004279,8.1,37.2,37.1,17.6
E02004280,11.9,42.2,32.6,13.3
E02004281,18.9,43.5,27.5,10.1
E02004282,13.4,44.2,30.2,12.2
E02004283,16,41.3,30.6,12.1
E02004284,37.3,44.8,14,3.9
E02004285,26.1,41.4,24.2,8.4
E02004286,17.8,40.9,28.9,12.4
E02004287,16.7,43.1,28,12.2
E02004288,23.4,46,23.7,7
E02004289,17.2,45.6,28.3,8.8
E02004801,8.9,43.7,33.8,13.6
E02006574,16.8,44.6,27.5,11.2
E02006883,32.4,51.1,14.5,2
E02006885,28.6,51.2,16.7,3.5
E02007006,32.2,45.9,17.8,4.1
E02007007,17.3,47.8,27,8
