geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02003184,13.4,19.8,57.8,9
E02003185,12.5,21.7,55.7,10.1
E02003186,10.6,20.8,59.7,8.8
E02003187,12.9,20.7,56.8,9.6
E02003188,12.7,16.4,61.7,9.2
E02003189,11.4,20.5,57.4,10.7
E02003190,11.2,17.7,62.3,8.8
E02003191,13.3,21.7,54.6,10.4
E02003192,13.4,17.5,60.7,8.3
E02003202,12.5,20.2,58.5,8.7
E02003203,9.4,20.1,62.4,8.1
E02003204,9.8,18.9,61.1,10.2
E02003205,10.6,21.2,59.1,9
E02003206,12.5,19.8,55.7,12.1
E02003207,8.9,19.8,60.6,10.7
E02003208,10.4,18.7,62.1,8.8
E02003209,10.8,20.2,59.4,9.6
E02003210,12,19.4,55.1,13.4
E02003211,13.1,18.6,52.7,15.6
E02003584,11.8,25.4,53.8,9
E02003585,11.3,25.4,53,10.3
E02003586,11.6,25.9,53.8,8.7
E02003587,10.5,26.9,54.5,8.2
E02003588,10.1,23.6,58.9,7.4
E02003589,10.7,24.5,57.6,7.2
E02003590,16.3,25.6,46.6,11.6
E02003591,10.8,24.7,55.9,8.6
E02003592,16.2,27.2,47,9.6
E02003593,14,24.6,49,12.4
E02003594,13.9,26.5,50.8,8.8
E02003595,14.5,24.8,51.8,9
E02003596,14.4,26.2,50.1,9.3
E02003597,15.6,24.1,48.7,11.6
E02003598,15.5,26.5,48.8,9.2
E02004242,13.7,22.4,52.8,11.1
E02004265,13.1,23.5,51.7,11.6
E02004266,9.5,19.6,56.9,14
E02004267,15.9,23,46.4,14.6
E02004268,15.8,24.9,48.5,10.7
E02004275,17.3,23.3,46.4,13.1
E02004276,17.3,24.6,50.4,7.6
E02004278,11.8,22.8,55.3,10.1
E02004279,12.3,22.4,52.7,12.6
E02004280,10.6,22.5,56.2,10.8
E02004281,10.6,23.6,57.3,8.5
E02004282,13.4,23.3,54.8,8.5
E02004283,11.5,23.7,54.9,9.9
E02004284,12.8,22.3,53.3,11.6
E02004285,11,22,57.6,9.4
E02004286,10.9,22.7,57.3,9.1
E02004287,12.8,22.5,54.3,10.4
E02004288,12.6,25.3,52.3,9.8
E02004289,10.6,24.2,56.2,9
E02004801,17.2,21.8,49.2,11.7
E02006574,13.8,21.3,54.7,10.2
E02006883,8.3,16,65.5,10.2
E02006885,11.2,15.7,61.9,11.2
E02007006,10.4,20.5,59.6,9.5
E02007007,12.3,23.3,55.1,9.4
