geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02003184,79,2.9,18.1
E02003185,92.1,1.8,6.1
E02003186,76.3,3.4,20.2
E02003187,81.6,2.8,15.5
E02003188,69.5,3.9,26.7
E02003189,90.4,1.9,7.7
E02003190,68.6,3.8,27.6
E02003191,93.3,1.6,5.2
E02003192,68.8,3.3,27.9
E02003202,86.8,2.5,10.7
E02003203,89.9,1.7,8.5
E02003204,92.3,1.6,6.1
E02003205,94.1,1.3,4.7
E02003206,90.5,2.3,7.1
E02003207,94.5,1.1,4.4
E02003208,85.2,2.3,12.5
E02003209,93.7,1.2,5.1
E02003210,92.8,1.6,5.6
E02003211,91.4,2,6.6
E02003584,93.5,1.3,5.2
E02003585,96.3,1.1,2.6
E02003586,96,1.2,2.8
E02003587,96.2,0.9,3
E02003588,95.6,0.8,3.6
E02003589,94.5,0.9,4.6
E02003590,96.4,0.9,2.7
E02003591,95.8,0.7,3.5
E02003592,96.4,1,2.6
E02003593,96.7,1,2.3
E02003594,96.2,0.6,3.1
E02003595,97.1,0.8,2.1
E02003596,95.6,0.9,3.5
E02003597,96.2,1.2,2.6
E02003598,95.4,1,3.5
E02004242,96.6,1.1,2.3
E02004265,97,0.7,2.3
E02004266,95.4,1,3.6
E02004267,95.7,1.4,2.8
E02004268,94.3,1.5,4.2
E02004275,95.5,1.4,3.2
E02004276,94.9,1.1,4
E02004278,95.4,1.5,3.1
E02004279,96.7,0.8,2.6
E02004280,96.6,0.8,2.7
E02004281,96.7,0.9,2.4
E02004282,96.8,0.9,2.3
E02004283,96.7,0.9,2.4
E02004284,91.9,1.3,6.8
E02004285,95.1,1.1,3.7
E02004286,96.4,1,2.5
E02004287,96.9,0.8,2.3
E02004288,95.4,1.2,3.4
E02004289,97.9,0.5,1.7
E02004801,95.4,1.5,3.1
E02006574,94.7,0.8,4.5
E02006883,77.7,3.2,19.2
E02006885,76.2,3.5,20.3
E02007006,91.4,1.6,6.9
E02007007,92.4,2,5.6
