geography_code,heating_type_3a-001,heating_type_3a-002
E02003184,1.6,98.4
E02003185,1,99
E02003186,1.9,98.1
E02003187,1.7,98.3
E02003188,3.1,96.9
E02003189,1.4,98.6
E02003190,4.2,95.8
E02003191,0.9,99.1
E02003192,3.6,96.4
E02003202,1.7,98.3
E02003203,1.4,98.6
E02003204,1.2,98.8
E02003205,0.9,99.1
E02003206,1.1,98.9
E02003207,1.3,98.7
E02003208,1.8,98.2
E02003209,0.8,99.2
E02003210,1.3,98.7
E02003211,0.8,99.2
E02003584,3.3,96.7
E02003585,1.8,98.2
E02003586,2.5,97.5
E02003587,2.5,97.5
E02003588,2.3,97.7
E02003589,3.5,96.5
E02003590,1.3,98.7
E02003591,2.2,97.8
E02003592,1.8,98.2
E02003593,3.9,96.1
E02003594,2.5,97.5
E02003595,1.3,98.7
E02003596,1.9,98.1
E02003597,3,97
E02003598,3.5,96.5
E02004242,0.8,99.2
E02004265,1.2,98.8
E02004266,1.3,98.7
E02004267,2.4,97.6
E02004268,1.5,98.5
E02004275,2.5,97.5
E02004276,2,98
E02004278,1,99
E02004279,0.9,99.1
E02004280,1.7,98.3
E02004281,1.5,98.5
E02004282,0.6,99.4
E02004283,0.9,99.1
E02004284,3.3,96.7
E02004285,2.1,97.9
E02004286,2.1,97.9
E02004287,1.1,98.9
E02004288,1.9,98.1
E02004289,1.7,98.3
E02004801,0.8,99.2
E02006574,1.5,98.5
E02006883,3.1,96.9
E02006885,3.1,96.9
E02007006,1.1,98.9
E02007007,0.7,99.3
