geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02003184,12.1,44,4.6,36.5,2.8
E02003185,13.7,42.1,5.8,35.7,2.8
E02003186,16.8,41.8,5.2,33.7,2.5
E02003187,14.4,41,4.9,36.6,3
E02003188,12.6,44.2,4,36.1,3.2
E02003189,13.9,38.9,5,38.9,3.3
E02003190,19,38.3,5.9,33.1,3.8
E02003191,13.6,38.3,6.3,38.8,2.9
E02003192,12.2,45.4,3.9,35.1,3.4
E02003202,13.4,42.4,6.4,35.1,2.6
E02003203,15.8,43.3,6.7,31.2,3
E02003204,17.1,42.3,6.6,31.2,2.7
E02003205,17.2,45.4,7.4,27.3,2.6
E02003206,10.5,38.6,4.6,44.2,2.2
E02003207,20.5,47.6,6.8,22.3,2.8
E02003208,18.7,40,5.6,32.5,3.2
E02003209,20.4,44.9,7.1,24.6,2.9
E02003210,10.9,37.3,5.1,44.1,2.7
E02003211,14,33.9,5.5,43.3,3.3
E02003584,19.1,44.6,6.4,27.3,2.6
E02003585,16.3,41.6,8.7,30.4,3
E02003586,17.3,45.6,7.4,26.8,2.9
E02003587,19.4,48,6.7,23.3,2.6
E02003588,19.3,47.4,7.7,22.6,2.9
E02003589,18.3,48.8,6.8,23.6,2.5
E02003590,17.1,39.1,7.5,33.2,3.1
E02003591,16.9,46.2,7.4,26.8,2.7
E02003592,19.5,40.9,7.5,28.3,3.8
E02003593,15.5,41,7.5,33.5,2.6
E02003594,22.6,44.7,7.6,22.4,2.8
E02003595,21.2,42.3,8.7,24.4,3.5
E02003596,22.5,43.5,7.3,23.1,3.6
E02003597,16.9,40.8,7.4,31.6,3.2
E02003598,20.4,41.1,7.2,28.1,3.1
E02004242,15.8,39.8,7.2,34.1,3.1
E02004265,19,42.3,7.2,28.5,2.9
E02004266,14.2,46.5,6.5,30.1,2.7
E02004267,14.3,39.5,6,37.6,2.5
E02004268,17.3,40.6,7.3,31.6,3.1
E02004275,13.7,41.3,6.3,36,2.6
E02004276,19.5,39.5,6.4,31.7,2.9
E02004278,13.3,41.4,6.2,36.8,2.3
E02004279,14.9,41.8,7.3,33.1,3.1
E02004280,16.5,44.4,7.7,28.9,2.5
E02004281,18,46.8,6.3,26.3,2.7
E02004282,14.6,41.5,7,33.6,3.3
E02004283,17.3,45.1,7.6,27,3
E02004284,19,43.6,6.5,27.8,3.1
E02004285,19.1,46.7,7.5,23.7,3
E02004286,15.4,45,6.9,29.8,2.8
E02004287,16.1,48.2,7.7,25.3,2.7
E02004288,17.6,47.2,7,25.1,3.1
E02004289,16.7,48.9,8.5,23,2.8
E02004801,13.3,37.2,6.3,40.3,2.8
E02006574,24.3,41.1,7.7,23,4
E02006883,14.5,35.9,4.7,40.7,4.2
E02006885,12.9,34.5,4.5,45,3.1
E02007006,15.4,38.4,5.3,37.7,3.2
E02007007,13,41.5,5.8,37,2.7
