geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02003184,6.6,2,5.4,81.3,4.7
E02003185,1.9,0.8,2.6,93.5,1.2
E02003186,5,2.8,5.1,83.4,3.8
E02003187,3.7,1.5,4,89.1,1.7
E02003188,6.9,2.9,5.8,80.8,3.6
E02003189,1.5,1,2.7,93.9,0.9
E02003190,3.5,1.9,4.9,87.1,2.5
E02003191,1.6,0.4,2.2,95.2,0.6
E02003192,8.9,3.4,5.1,79.2,3.4
E02003202,4,1.2,3.4,89.9,1.5
E02003203,3.5,0.6,2.6,91.9,1.4
E02003204,2.4,0.4,1.7,94.4,1.1
E02003205,3.7,0.1,1,94.5,0.6
E02003206,3,0.6,2.6,92.6,1.1
E02003207,1.4,0.8,1.7,95.8,0.2
E02003208,5.5,1.8,2.6,88.8,1.3
E02003209,1.6,0.4,1.2,96,0.7
E02003210,2.2,0.3,2.2,94.3,0.9
E02003211,2.6,0.5,2,93.9,1
E02003584,1.8,0.4,2.1,95.3,0.3
E02003585,0.8,0.2,1.2,97.3,0.3
E02003586,1.2,0.3,1.2,97.1,0.2
E02003587,1.3,0.3,1.5,96.6,0.3
E02003588,2.2,1.4,1.2,94.8,0.3
E02003589,3.8,0.3,1.2,94.3,0.5
E02003590,0.7,0.1,1.1,97.8,0.3
E02003591,1.3,0.3,1.1,97.1,0.2
E02003592,0.7,0.3,0.8,97.9,0.3
E02003593,0.3,0.1,0.8,98.5,0.3
E02003594,0.9,0.2,1.2,97.4,0.3
E02003595,0.4,0.1,0.9,98.4,0.2
E02003596,1,0.3,1.1,97.2,0.3
E02003597,0.3,0.1,1,98.4,0.2
E02003598,0.7,0.2,1.5,97.4,0.1
E02004242,0.7,0.3,0.9,97.9,0.2
E02004265,0.7,0.1,1.1,97.6,0.4
E02004266,1.5,1,1.4,95.6,0.6
E02004267,0.4,0.1,0.9,98.2,0.4
E02004268,0.8,0.2,1.3,97,0.7
E02004275,0.7,0.2,1.2,97.8,0.2
E02004276,1,0.1,1.2,97.3,0.4
E02004278,2,0.6,1.5,95.4,0.6
E02004279,0.5,0.1,1,98.1,0.3
E02004280,0.8,0.2,1,97.9,0.1
E02004281,0.7,0.1,1.4,97.5,0.3
E02004282,1.2,0.1,0.9,97.4,0.4
E02004283,1.1,0.1,1.6,96.9,0.3
E02004284,2.6,0.6,1.6,94.7,0.6
E02004285,0.8,0.2,1.7,96.8,0.6
E02004286,0.6,0.1,1.1,98,0.2
E02004287,0.5,0.1,1,98.1,0.3
E02004288,1.2,1.8,1.9,94.4,0.7
E02004289,0.5,0.1,1,98.3,0.2
E02004801,0.7,0.2,1,97.8,0.4
E02006574,0.8,0.3,1.2,97.4,0.3
E02006883,4.3,1.7,4.3,87.3,2.4
E02006885,4.2,1.5,4.1,87.8,2.4
E02007006,3.6,0.7,1.9,92.9,0.9
E02007007,3.9,0.8,1.8,93.3,0.3
