geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02003184,28.3,49.8,21.9
E02003185,13.6,65.5,20.9
E02003186,21.6,51.4,27
E02003187,16.4,60.2,23.4
E02003188,34,44,22
E02003189,12.4,69.4,18.3
E02003190,18.9,59,22.1
E02003191,8.7,78.5,12.8
E02003192,31.6,45.7,22.7
E02003202,16,66.8,17.2
E02003203,14.7,65.3,20.1
E02003204,11.4,69.3,19.4
E02003205,11.4,71,17.5
E02003206,13,69.8,17.2
E02003207,12.6,66.4,21
E02003208,12.4,68,19.6
E02003209,12.1,68.2,19.8
E02003210,10.2,77.2,12.6
E02003211,7.4,80.7,11.9
E02003584,13.7,67.4,18.9
E02003585,8.7,80.2,11.1
E02003586,9.9,71,19.1
E02003587,11.4,67.9,20.7
E02003588,10.1,69.6,20.3
E02003589,12.6,65.5,21.9
E02003590,7.6,80,12.5
E02003591,10.2,72,17.8
E02003592,7.7,79.2,13.1
E02003593,9.2,78.8,12
E02003594,10.8,70,19.2
E02003595,9.4,77.1,13.5
E02003596,10.5,73,16.5
E02003597,9.8,76.3,14
E02003598,9.2,75.8,15
E02004242,7.6,80.6,11.7
E02004265,10.6,75.6,13.8
E02004266,14.4,72.3,13.3
E02004267,9.6,80.4,10
E02004268,11.5,76.6,11.9
E02004275,9.8,78.3,11.9
E02004276,9.1,78.7,12.2
E02004278,10.3,76,13.7
E02004279,10.3,77,12.7
E02004280,10.2,74.8,15
E02004281,13.3,69.9,16.8
E02004282,7.5,82.2,10.3
E02004283,10.2,72.9,17
E02004284,11.5,70.3,18.2
E02004285,10.7,69.1,20.2
E02004286,12.4,72.4,15.2
E02004287,12.4,72.6,15
E02004288,12.3,70.2,17.5
E02004289,11.6,74.6,13.8
E02004801,7.6,84.3,8.2
E02006574,9.7,74,16.3
E02006883,12.7,70.2,17.1
E02006885,15.8,70,14.2
E02007006,9.5,76.1,14.4
E02007007,10.3,74.2,15.5
