areacd,heating_type_3a-001,heating_type_3a-002
E02003965,1,99
E02003966,2.2,97.8
E02003967,2.1,97.9
E02003968,1.4,98.6
E02003969,1.5,98.5
E02003970,1,99
E02003971,1,99
E02003972,1.2,98.8
E02003973,1.9,98.1
E02003974,1,99
E02003975,1,99
E02003976,1.8,98.2
E02003977,2.9,97.1
E02003987,1.7,98.3
E02003989,0.9,99.1
E02003990,0.7,99.3
E02003991,1,99
E02003992,2.1,97.9
E02003993,1,99
E02003994,1.7,98.3
E02003995,1.4,98.6
E02003996,2.2,97.8
E02003997,1.6,98.4
E02003998,1.1,98.9
E02003999,0.9,99.1
E02004000,1.3,98.7
E02004001,1,99
E02004002,0.6,99.4
E02004003,1.4,98.6
E02004004,0.7,99.3
E02004005,1.5,98.5
E02004006,0.9,99.1
E02004007,2.6,97.4
E02004012,2.8,97.2
E02004015,2.3,97.7
E02004016,2.1,97.9
E02004021,2.7,97.3
E02004022,3.2,96.8
E02004026,2.1,97.9
E02004027,1.3,98.7
E02004028,1.3,98.7
