areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02003965,97.8,1.6,0.3,0.2,0.2
E02003966,97.3,1.8,0.4,0.3,0.2
E02003967,97.9,1.5,0.2,0.3,0.2
E02003968,97.5,1.7,0.4,0.2,0.2
E02003969,96.9,2.3,0.4,0.2,0.2
E02003970,95.3,3.2,0.7,0.5,0.3
E02003971,95.5,3.1,0.6,0.6,0.2
E02003972,97.2,1.8,0.5,0.3,0.2
E02003973,96.7,1.9,0.6,0.5,0.3
E02003974,97.6,1.7,0.4,0.2,0.2
E02003975,98,1.4,0.4,0.1,0.1
E02003976,92,4.4,1.5,1,1.1
E02003977,97.7,1.5,0.4,0.3,0.2
E02003987,96.5,2.4,0.5,0.2,0.4
E02003989,94.2,3.8,0.9,0.5,0.5
E02003990,93.8,3.9,0.9,0.9,0.5
E02003991,97.4,1.8,0.5,0.1,0.1
E02003992,86.5,5.8,2.8,2.4,2.6
E02003993,96.4,2.8,0.3,0.3,0.2
E02003994,90.5,4.9,1.5,1.3,1.8
E02003995,94.1,3.3,1.4,0.7,0.5
E02003996,89.1,4.8,2.1,2.1,1.9
E02003997,89.9,5.6,2.3,1.4,0.8
E02003998,93.6,3.9,1.3,0.8,0.5
E02003999,95.7,2.6,0.7,0.5,0.4
E02004000,97.9,1.4,0.2,0.3,0.2
E02004001,94.9,2.6,0.7,0.9,0.8
E02004002,96.5,2.2,0.4,0.4,0.5
E02004003,97.5,1.5,0.4,0.2,0.3
E02004004,96.9,1.9,0.2,0.7,0.2
E02004005,98.1,1.3,0.3,0.2,0.2
E02004006,96.9,2,0.4,0.3,0.5
E02004007,97.3,2,0.2,0.3,0.2
E02004012,94.6,3,0.6,0.9,0.9
E02004015,88.5,4.7,2.6,2.5,1.7
E02004016,87.3,5.9,3.2,2.1,1.4
E02004021,95.4,2.9,0.6,0.6,0.5
E02004022,96.4,2.5,0.6,0.3,0.2
E02004026,94.5,3.6,0.8,0.7,0.5
E02004027,94.8,3.5,0.7,0.6,0.4
E02004028,96.7,2.3,0.4,0.3,0.3
