areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02003965,53.3,2.2,44.5
E02003966,57.6,1.5,40.8
E02003967,55.5,2,42.5
E02003968,55.1,2.1,42.8
E02003969,53.2,2.8,44
E02003970,57,1.6,41.3
E02003971,53.3,1.7,45
E02003972,56.5,2.7,40.8
E02003973,52.3,3.8,44
E02003974,53.9,2.5,43.6
E02003975,58.1,1.7,40.2
E02003976,53.9,1.7,44.4
E02003977,61.3,2.2,36.5
E02003987,58.3,2.2,39.4
E02003989,56.3,2,41.7
E02003990,59.5,1.8,38.7
E02003991,58,1.2,40.8
E02003992,57.6,3.9,38.5
E02003993,55.8,1.3,42.9
E02003994,57.9,3.3,38.8
E02003995,56.6,3.5,40
E02003996,64.3,3.5,32.2
E02003997,56.6,3.4,40
E02003998,55.1,3.6,41.3
E02003999,60.4,1.4,38.3
E02004000,53.8,3.1,43.1
E02004001,52.4,3.2,44.4
E02004002,57.6,1.8,40.5
E02004003,55.6,2.4,42
E02004004,55.3,3.1,41.6
E02004005,54.3,2.6,43.1
E02004006,53.8,1.7,44.5
E02004007,52.3,2.3,45.5
E02004012,58.5,1.6,39.9
E02004015,54.6,1.9,43.5
E02004016,58.5,2.1,39.4
E02004021,56.5,1.1,42.4
E02004022,56.4,1.5,42.1
E02004026,58.2,2.3,39.5
E02004027,47.1,1.7,51.2
E02004028,53,1.7,45.3
