areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02003965,48.9,51.1
E02003966,57.4,42.6
E02003967,50.9,49.1
E02003968,48.8,51.2
E02003969,38.4,61.6
E02003970,52.6,47.4
E02003971,55.3,44.7
E02003972,45.9,54.1
E02003973,35.6,64.4
E02003974,44.3,55.7
E02003975,51.8,48.2
E02003976,50.5,49.5
E02003977,49.3,50.7
E02003987,51,49
E02003989,50.7,49.3
E02003990,54.1,45.9
E02003991,58.7,41.3
E02003992,31.8,68.2
E02003993,57.6,42.4
E02003994,35.5,64.5
E02003995,36.8,63.2
E02003996,32.3,67.7
E02003997,36.3,63.7
E02003998,38.3,61.7
E02003999,54.6,45.4
E02004000,49.6,50.4
E02004001,39.8,60.2
E02004002,51.4,48.6
E02004003,47,53
E02004004,42,58
E02004005,45.9,54.1
E02004006,56.1,43.9
E02004007,46.9,53.1
E02004012,56.2,43.8
E02004015,44.9,55.1
E02004016,48.8,51.2
E02004021,56.8,43.2
E02004022,56.6,43.4
E02004026,43.2,56.8
E02004027,54.6,45.4
E02004028,58.3,41.7
