areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02003965,77.4,1.1,21.5
E02003966,82.4,1.5,16.1
E02003967,76,1.1,22.9
E02003968,80.8,1.4,17.9
E02003969,69.4,2.4,28.2
E02003970,84.1,2.2,13.6
E02003971,83.7,2.2,14.1
E02003972,78.8,1.5,19.7
E02003973,71.1,1.8,27.1
E02003974,76.4,1.1,22.5
E02003975,85.5,0.8,13.7
E02003976,81.8,5,13.2
E02003977,82.4,1,16.6
E02003987,74.3,2.3,23.4
E02003989,82.3,3,14.7
E02003990,83.6,3.5,12.9
E02003991,84.8,1.1,14.1
E02003992,74.3,9.8,15.9
E02003993,86,1.4,12.6
E02003994,70.2,6.6,23.2
E02003995,71.5,4.7,23.8
E02003996,73.1,8,18.9
E02003997,65.2,8.4,26.4
E02003998,69,4.5,26.4
E02003999,84.6,2.3,13.2
E02004000,75.8,1.2,23
E02004001,77.5,3.2,19.3
E02004002,83.4,1.8,14.8
E02004003,77.7,1.1,21.2
E02004004,74,1.4,24.7
E02004005,77.8,0.8,21.4
E02004006,82.9,1.6,15.6
E02004007,76.1,1.1,22.7
E02004012,83.5,3,13.5
E02004015,79.8,8.9,11.3
E02004016,79,10.2,10.9
E02004021,84,2.8,13.2
E02004022,83.4,1.6,15
E02004026,80.6,3.2,16.2
E02004027,81.9,3.1,15
E02004028,86.7,1.6,11.7
