areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02003965,23.4,41.9,7.6,24.4,2.7
E02003966,15.6,38.6,6.4,36.9,2.5
E02003967,21.4,42.2,7.3,27,2
E02003968,21.8,43.2,7.5,24.9,2.5
E02003969,30.4,43.6,7.7,15.5,2.8
E02003970,13.8,35.5,6.1,42.5,2.1
E02003971,14.9,33.8,6.1,43.2,2.1
E02003972,20.5,44.4,8.7,24,2.4
E02003973,27.7,44,8.2,16.9,3.2
E02003974,24,44.6,8.5,20.2,2.6
E02003975,17.1,42.1,8.7,29.4,2.6
E02003976,16.2,37.1,6.8,37.4,2.5
E02003977,17.1,43.9,9.7,27.2,2
E02003987,23,43,7.4,24.1,2.5
E02003989,18,41.6,7.3,30.9,2.2
E02003990,14.6,40.9,6.4,35.6,2.5
E02003991,18.2,43.5,8.6,27.2,2.6
E02003992,17,42.9,6.1,31.2,2.9
E02003993,13.1,38.9,6.5,38.9,2.6
E02003994,23.2,41.9,7.3,24.8,2.9
E02003995,26.7,43.6,8.3,18.7,2.6
E02003996,19.9,45.6,6.3,26.1,2.1
E02003997,28.9,44.8,7.1,16.4,2.7
E02003998,27.8,44.3,6.8,18.5,2.6
E02003999,15.8,42.5,7.6,31.8,2.2
E02004000,23.1,42.1,8.5,23.6,2.6
E02004001,22.7,40.3,7.9,26.7,2.4
E02004002,17.7,42.2,8.5,29,2.6
E02004003,22,42.3,7.5,25.9,2.3
E02004004,27.4,43.9,7.8,18.8,2.1
E02004005,23,44.9,8.4,21.3,2.5
E02004006,14.1,38.3,7.1,37.7,2.8
E02004007,21.1,43.4,8.9,24.2,2.5
E02004012,13.8,36.7,6.1,41.2,2.2
E02004015,13,38.7,6.3,39.9,2
E02004016,14.3,38.7,7.2,37.3,2.6
E02004021,11.9,35.9,6.5,43.4,2.3
E02004022,11.8,35.4,7.8,42.9,2.1
E02004026,14.5,39.6,7.6,36.4,1.9
E02004027,13.3,36,7.6,40.5,2.6
E02004028,12.8,37.3,9.5,38.3,2.1
