areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02003965,98.4,0.3,1.3
E02003966,97.8,0.6,1.6
E02003967,98.1,0.6,1.3
E02003968,98.2,0.5,1.3
E02003969,97.6,0.5,1.8
E02003970,95.9,1.4,2.6
E02003971,95.9,1.7,2.4
E02003972,97.9,0.4,1.7
E02003973,97.8,0.4,1.8
E02003974,98.7,0.3,1
E02003975,98.9,0.5,0.6
E02003976,93.7,1.2,5.1
E02003977,98.1,0.5,1.4
E02003987,97,0.4,2.6
E02003989,96.2,0.8,3
E02003990,95.6,0.8,3.7
E02003991,98.5,0.4,1.1
E02003992,88.7,1.3,10
E02003993,97.6,0.8,1.6
E02003994,92.6,1.1,6.3
E02003995,95.1,0.8,4.1
E02003996,91.1,1,8
E02003997,91.2,1.1,7.7
E02003998,95.2,0.7,4.1
E02003999,97,0.6,2.4
E02004000,98.4,0.3,1.3
E02004001,96.1,0.9,3
E02004002,97.6,0.5,1.9
E02004003,98.3,0.4,1.3
E02004004,98.2,0.3,1.5
E02004005,98.6,0.4,0.9
E02004006,97.7,0.5,1.8
E02004007,98.1,0.6,1.3
E02004012,95.1,1.3,3.7
E02004015,90.1,1.4,8.6
E02004016,89.1,1.8,9.1
E02004021,96,1.1,2.9
E02004022,96.3,1.2,2.6
E02004026,95.2,1.3,3.5
E02004027,95.8,1,3.2
E02004028,97.4,0.5,2.1
