areacd,disability_3a-001,disability_3a-002
E02003491,16.8,83.2
E02003492,21.5,78.5
E02003493,16.4,83.6
E02003494,15.5,84.5
E02003495,18,82
E02003496,20.3,79.7
E02003497,13.5,86.5
E02003498,24.7,75.3
E02003499,24.9,75.1
E02003500,12.8,87.2
E02003501,13.5,86.5
E02003502,20.1,79.9
E02003503,19.2,80.8
E02003504,15.8,84.2
E02003505,18.6,81.4
E02003506,13.8,86.2
E02003507,20.6,79.4
E02003508,16.6,83.4
E02003509,18.1,81.9
E02003510,16.6,83.4
E02003511,15.9,84.1
E02003512,18.6,81.4
E02003513,19.7,80.3
E02003514,17.4,82.6
E02003515,28.6,71.4
E02003516,17.1,82.9
E02003517,18.9,81.1
E02003518,19.5,80.5
E02003519,17.6,82.4
E02003520,23.6,76.4
E02003521,22,78
E02003522,19.8,80.2
E02003523,17.7,82.3
E02004380,17.1,82.9
E02004383,18.9,81.1
E02004384,19.3,80.7
E02004385,20.7,79.3
E02006373,14.5,85.5
E02006374,15.7,84.3
E02006391,11.3,88.7
E02006392,16.3,83.7
E02006437,16.9,83.1
E02006438,15.8,84.2
E02006448,13.8,86.2
E02006449,15.5,84.5
E02006450,12.2,87.8
E02006451,14.5,85.5
E02006453,14.8,85.2
E02006534,18.8,81.2
E02006535,15.5,84.5
E02006536,18.6,81.4
E02006537,21.4,78.6
E02006538,17.3,82.7
E02006539,21.8,78.2
E02006540,22.3,77.7
E02006541,20.7,79.3
E02006542,16.9,83.1
E02006543,18.6,81.4
E02006544,18,82
E02006545,18.2,81.8
E02006546,19,81
E02006547,18.9,81.1
E02006548,18.8,81.2
E02006549,19.7,80.3
E02006550,21.7,78.3
E02006551,23.5,76.5
E02006552,23.6,76.4
E02006553,16,84
E02006554,20.2,79.8
E02006555,21.1,78.9
E02006556,17.6,82.4
E02006557,20.2,79.8
E02006558,23.1,76.9
E02006562,12.9,87.1
E02006565,15.6,84.4
E02006575,15.2,84.8
E02006576,11.6,88.4
E02006577,17.9,82.1
E02006578,13.1,86.9
E02006579,14.8,85.2
E02006580,16.5,83.5
E02006581,15.3,84.7
E02006582,10.1,89.9
E02006583,15.8,84.2
E02006584,17.6,82.4
E02006585,16.4,83.6
E02006586,13.6,86.4
E02006587,17.3,82.7
E02006588,13.5,86.5
E02006589,13.3,86.7
E02006590,15.9,84.1
E02006591,15.7,84.3
E02006592,14.7,85.3
E02006593,17.4,82.6
E02006594,13.5,86.5
E02006595,13,87
E02006596,12.5,87.5
E02006597,13.6,86.4
E02006598,15.3,84.7
E02006599,14.3,85.7
E02006600,18.4,81.6
E02006601,17.4,82.6
E02006602,13.1,86.9
E02006603,16.7,83.3
E02006604,15.4,84.6
E02006605,13.2,86.8
E02006607,14.1,85.9
E02006608,14,86
E02006609,13.7,86.3
E02006610,14.7,85.3
E02006611,13.2,86.8
E02006612,14.8,85.2
E02006613,16.2,83.8
E02006614,13,87
E02006615,13.5,86.5
E02006616,14.7,85.3
E02006617,18.1,81.9
E02006618,15.3,84.7
E02006619,13.9,86.1
E02006620,15.4,84.6
E02006621,18.6,81.4
E02006622,19.2,80.8
E02006623,20.4,79.6
E02006624,13.1,86.9
E02006625,15.9,84.1
E02006626,18.8,81.2
E02006627,17.8,82.2
E02006628,18.2,81.8
E02006629,20.8,79.2
E02006630,26,74
E02006631,20.8,79.2
E02006632,18.3,81.7
E02006633,19.7,80.3
