areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02003491,24.3,31.7,18.5,25.5
E02003492,24.5,26.2,18.9,30.4
E02003493,27.4,34.9,18.1,19.6
E02003494,23.5,34.6,17.7,24.3
E02003495,25.2,34.5,19.6,20.7
E02003496,27.8,32.1,17.1,23.1
E02003497,20.4,34.5,18.2,26.8
E02003498,33.8,27.1,17.8,21.3
E02003499,21.9,27.8,19.8,30.5
E02003500,19.9,29.3,21,29.9
E02003501,29.8,36.5,16.7,17
E02003502,28.6,32,19.1,20.3
E02003503,24.1,28.6,20.6,26.7
E02003504,34.5,36.4,13.9,15.2
E02003505,32.5,34,14.1,19.4
E02003506,27,32.7,19.2,21.1
E02003507,23.9,37,16.9,22.2
E02003508,24.5,32.1,18.9,24.6
E02003509,42.8,35.5,12.5,9.2
E02003510,37.9,35.4,14.4,12.2
E02003511,28.9,29.4,18.7,23
E02003512,32.7,32,15.5,19.8
E02003513,35.6,30.8,14.9,18.8
E02003514,47,37,9.7,6.3
E02003515,32.1,27.5,18,22.3
E02003516,48.4,36.8,9.1,5.7
E02003517,43.1,35.5,11.8,9.7
E02003518,49.6,33.8,9.5,7.1
E02003519,50.7,36.4,8.1,4.9
E02003520,47.2,33.3,9.9,9.7
E02003521,50,34.2,9.1,6.7
E02003522,42.9,33.9,11.9,11.4
E02003523,31.1,40.7,14.3,14
E02004380,25.9,39.6,15.1,19.4
E02004383,30.2,33.3,17.6,18.9
E02004384,30.4,35,16.1,18.6
E02004385,31.9,37.2,14.1,16.8
E02006373,26.9,37.1,15.1,20.8
E02006374,29.5,36.2,15.7,18.5
E02006391,21.3,33.7,20.2,24.8
E02006392,32.8,33,16.9,17.3
E02006437,27,36.6,16.1,20.2
E02006438,24.7,36.6,16.5,22.1
E02006448,22.5,35.6,18,24
E02006449,30.8,33.8,14.8,20.5
E02006450,23.1,37,16,24
E02006451,29.1,38.3,14,18.6
E02006453,27.6,38.3,14.9,19.2
E02006534,24.7,33.4,18,23.9
E02006535,25.2,37.4,15,22.3
E02006536,22.6,38.1,17.1,22.2
E02006537,30.3,30.6,18.4,20.7
E02006538,36.1,36.1,12.9,14.8
E02006539,29.8,35.3,16.3,18.6
E02006540,33.2,36.5,15.3,15.1
E02006541,38.3,34.6,13.2,13.9
E02006542,34,39.2,12.7,14.1
E02006543,27.8,41.9,15.5,14.8
E02006544,24.7,39.1,16.6,19.6
E02006545,24.9,32.7,18.5,24
E02006546,28,37.4,16.7,18
E02006547,27.2,37,16.7,19.1
E02006548,29.3,36.6,16.8,17.3
E02006549,31,47.8,10.9,10.4
E02006550,30.4,38.4,14.9,16.4
E02006551,39.4,45,8.4,7.2
E02006552,46.4,30.1,11.2,12.4
E02006553,25.4,37.7,17.8,19.1
E02006554,33.8,41.1,12.2,12.9
E02006555,30.7,33.6,16.6,19.1
E02006556,27.4,39.8,13.6,19.1
E02006557,26.8,30.7,18,24.5
E02006558,45.9,31.5,11.3,11.3
E02006562,21.7,41.2,16.2,20.9
E02006565,30.5,40.5,14,15.1
E02006575,22.2,24,18.8,34.9
E02006576,21.7,34.4,19.3,24.6
E02006577,28.4,28.6,17.9,25.1
E02006578,28.7,30.8,18.5,21.9
E02006579,26.3,32.2,17.8,23.7
E02006580,24.4,34,17.3,24.3
E02006581,30.2,31.6,16.2,21.9
E02006582,18.9,34.2,19.6,27.3
E02006583,26.2,32.9,18.8,22
E02006584,25.1,28.1,19.2,27.6
E02006585,24.9,27.8,17.7,29.7
E02006586,16.8,26.5,20.3,36.4
E02006587,29.8,31.3,16,22.9
E02006588,30.3,35.4,16.5,17.9
E02006589,23.1,38.6,17,21.3
E02006590,30.1,36.3,15.4,18.2
E02006591,33.1,33.5,15.4,18
E02006592,22.7,39.1,15.6,22.6
E02006593,38.7,31.9,14.3,15.2
E02006594,25.7,35.2,17.9,21.2
E02006595,22.3,42,15.5,20.3
E02006596,24,34.6,17.9,23.5
E02006597,26.5,35.7,16.8,21
E02006598,23.6,40.6,16.6,19.2
E02006599,23,51.4,11.6,14
E02006600,34.7,39.5,12.7,13.1
E02006601,30.6,38,14.9,16.6
E02006602,19.3,42.4,16.8,21.5
E02006603,32.4,38.1,12.9,16.6
E02006604,34.5,33.2,15.3,17
E02006605,23,36.8,18.1,22.1
E02006607,24.1,37.7,15.8,22.4
E02006608,24.6,37.7,16.3,21.5
E02006609,23.9,39.7,16.2,20.1
E02006610,25.8,37.2,16.3,20.7
E02006611,24.7,36,16.3,22.9
E02006612,36.4,33.1,14.3,16.2
E02006613,30.9,32.8,14.8,21.5
E02006614,24.9,35,17.2,22.9
E02006615,21.7,35.1,20.2,23
E02006616,24.3,36.8,18.4,20.6
E02006617,34.8,31.9,15.6,17.7
E02006618,22.4,39,17,21.6
E02006619,24.4,34.6,16.4,24.6
E02006620,28,36.1,14.6,21.3
E02006621,25.7,44.9,13.9,15.5
E02006622,30.1,36.8,15.1,18.1
E02006623,30.2,34.7,16.6,18.4
E02006624,21.5,36.5,17.2,24.8
E02006625,27.9,30.8,18.6,22.6
E02006626,23.1,30.7,21.6,24.7
E02006627,31,35.4,16.8,16.8
E02006628,35.8,29.4,17.1,17.7
E02006629,32.6,31.8,15.8,19.8
E02006630,50.1,30.6,10.6,8.6
E02006631,50.3,30.7,10.5,8.5
E02006632,36.3,37.3,12.5,13.9
E02006633,30.2,41.9,12.8,15.1
