areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02003491,15.7,43.3,4.7,33.9,2.3
E02003492,12.9,64.7,2.6,17.5,2.4
E02003493,12.6,37.1,4.5,43.4,2.5
E02003494,10.5,34.9,3,49.9,1.6
E02003495,18.8,46.6,6.4,25.4,2.7
E02003496,20.9,40.3,5.1,30.4,3.4
E02003497,10.3,34.9,3.8,49,2
E02003498,18.7,45.7,4.2,29,2.4
E02003499,22.1,47.6,4.4,23.3,2.6
E02003500,6.7,33.4,2.3,56.3,1.2
E02003501,8.4,29.6,2.1,58.2,1.7
E02003502,18.2,42.5,5.9,30.8,2.7
E02003503,17.2,40.2,4.8,34.9,2.8
E02003504,6.9,32.2,2.2,57.2,1.5
E02003505,5.9,41.7,1.8,48.8,1.8
E02003506,9.2,32.1,2.6,54.4,1.7
E02003507,20.4,40.3,5.8,30.1,3.4
E02003508,6.7,42.8,2.3,46.6,1.6
E02003509,10.4,31.5,2.9,53.1,2.1
E02003510,8.5,28.6,2.6,58.4,1.9
E02003511,12.2,36.1,3.7,45.7,2.3
E02003512,6.8,39,1.9,50.9,1.4
E02003513,14.7,31.1,3,48.3,2.8
E02003514,6.2,30.9,1.7,59.5,1.7
E02003515,27.8,41.2,4.8,23.6,2.6
E02003516,7.8,29.3,3.1,57.7,2.1
E02003517,7.9,34.1,2.4,52.6,3
E02003518,11.4,29.9,3.1,53.3,2.3
E02003519,7.3,30.2,3,57.3,2.2
E02003520,13.9,35.9,3.2,45,2.1
E02003521,11.2,32,2.7,52,2.1
E02003522,13.5,31.3,3.4,49,2.8
E02003523,13.7,36.5,4.7,42.3,2.8
E02004380,11,37.3,4,45.8,1.9
E02004383,10,32,3.4,53,1.7
E02004384,17.4,43.2,5.7,31,2.7
E02004385,21.3,44.1,7.5,23.7,3.5
E02006373,11.8,38.6,4.5,42.6,2.5
E02006374,15.7,42.7,5.9,33.7,2
E02006391,10.9,43.6,4.6,38.4,2.5
E02006392,16.8,42.3,5.4,31.9,3.6
E02006437,14.2,41,4.8,37.4,2.6
