areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02003491,3.8,1,3.5,89.7,2
E02003492,8.6,4.9,5.4,77.6,3.5
E02003493,4.6,1.3,4.2,87.6,2.3
E02003494,3,0.9,3.9,90.5,1.7
E02003495,2.5,1.1,2.9,91.3,2.3
E02003496,5.4,2.4,4.6,81.5,6.1
E02003497,6.8,0.8,5.2,83.2,4.1
E02003498,6.4,4,5.8,80.5,3.3
E02003499,4.3,2.7,4.3,85.5,3.2
E02003500,3,1.2,5.3,88.9,1.5
E02003501,4.4,1.3,4.9,86.9,2.5
E02003502,2.2,1.7,3.5,89.8,2.8
E02003503,5.7,1.2,4.4,84.4,4.3
E02003504,3.8,1.3,4.9,87.7,2.3
E02003505,4.4,2,5.3,85.6,2.7
E02003506,3.4,1.5,5.7,87.1,2.3
E02003507,3.7,1.2,3.1,90.3,1.7
E02003508,4,2,5.4,86.8,1.8
E02003509,4.7,2.4,5.4,83.1,4.5
E02003510,4.6,1.4,5.4,84.5,4.2
E02003511,4.2,1.3,4.7,86.2,3.5
E02003512,3.6,2.1,6.2,86.2,2
E02003513,3.4,1.7,3.8,86.2,4.9
E02003514,4.2,1.6,5.3,86.7,2.2
E02003515,5.4,3,4.2,84,3.5
E02003516,4.2,1.5,4.7,85.8,3.8
E02003517,9.2,2.3,5.9,78.4,4.2
E02003518,4.1,1.6,5.3,85.8,3.2
E02003519,4.8,1.9,5.3,84.4,3.6
E02003520,7.7,3.4,6,78,4.9
E02003521,4.5,2.1,5,86.3,2.1
E02003522,7.2,4.7,4.6,80,3.5
E02003523,2.9,0.7,2.9,91.7,1.8
E02004380,1.2,0.7,2.5,94.9,0.6
E02004383,2.1,1.2,3.1,92.8,0.8
E02004384,3.3,1,3.2,91.5,1
E02004385,2.7,0.9,2.3,93.3,0.8
E02006373,1.2,0.3,1.9,96.2,0.4
E02006374,1.8,0.6,1.3,95.9,0.4
E02006391,6.4,2.4,3.1,86.7,1.3
E02006392,7.9,3.4,3.4,84.1,1.2
E02006437,1.9,0.7,2.6,94.3,0.5
E02006438,3.2,1,2.2,92.9,0.7
E02006448,2.5,0.4,2.3,94.1,0.6
E02006449,1.5,0.3,2.3,95.3,0.6
E02006450,1.7,0.5,2.7,94.6,0.5
E02006451,2,0.7,1.8,95,0.5
E02006453,1.8,0.4,1.7,95.8,0.3
E02006534,2,0.9,2.8,92,2.3
E02006535,1.4,0.4,2.2,95.1,0.8
E02006536,2.2,0.6,2,94.6,0.6
E02006537,2.9,1.2,3.1,91,1.8
E02006538,1.9,0.7,3.5,93.3,0.6
E02006539,2.3,0.8,1.9,94.6,0.4
E02006540,1.9,0.6,1.9,94.6,0.9
E02006541,2.4,1.1,2,93.8,0.7
E02006542,0.9,0.4,1.6,96.8,0.4
E02006543,0.5,0.1,2,96.9,0.4
E02006544,1.4,0.3,1.4,96.4,0.5
E02006545,2.2,0.8,1.9,94.7,0.5
E02006546,1.5,0.6,1.8,95.9,0.3
E02006547,2.4,1.4,1.7,94.1,0.5
E02006548,0.9,0.5,1.6,96.8,0.2
E02006549,1.1,0.4,1,96.9,0.6
E02006550,1.5,0.5,1.5,96.4,0.2
E02006551,0.9,0.6,0.8,97.4,0.3
E02006552,3.9,0.8,2.6,91.7,0.9
E02006553,2.4,0.6,1.4,94.9,0.8
E02006554,0.6,0.3,1,97.8,0.3
E02006555,1.6,0.5,1.5,95.3,1
E02006556,1.1,0.3,1.4,96.8,0.3
E02006557,2.4,0.5,1.5,94.7,0.9
E02006558,2.6,0.8,2,93,1.5
E02006562,0.5,0.3,1.8,97.2,0.1
E02006565,1.1,0.3,1.2,97.1,0.4
E02006575,32,4.8,3.9,56.2,3.2
E02006576,13.7,3.1,4.4,76.7,2.1
E02006577,13.3,4.2,3.6,76.1,2.8
E02006578,21.6,5.4,4.2,64.5,4.2
E02006579,16.9,3.5,4.3,72.5,2.7
E02006580,9.6,3.5,3.9,81.3,1.8
E02006581,15.8,5.3,4.5,71.4,3.1
E02006582,8.3,2.3,3.4,84.1,1.9
E02006583,10.5,3.2,3.5,81,1.7
E02006584,12.5,5.4,4.6,75.2,2.3
E02006585,12,3.2,3.9,78.7,2.2
E02006586,17.7,7.5,4.4,67.2,3.1
E02006587,12.6,6.9,4.5,73.2,2.8
E02006588,6,2.2,3.2,87.7,0.9
E02006589,3.7,0.4,2,93.3,0.6
E02006590,2.3,0.9,2.5,93.4,1
E02006591,4,1.2,2.8,91.2,0.8
E02006592,2.8,0.3,1.1,95.5,0.2
E02006593,5.5,1.2,3,89.3,1.1
E02006594,4.3,0.9,3,91.1,0.7
E02006595,2.8,3.5,3,90,0.7
E02006596,1.7,0.5,1.5,95.7,0.6
E02006597,1.8,0.6,2.2,95.1,0.3
E02006598,0.9,0.2,1.6,97,0.4
E02006599,0.6,0.2,1.3,97.4,0.5
E02006600,1,0.5,1.4,96.7,0.3
E02006601,1.9,0.6,1.8,94.9,0.8
E02006602,0.8,0.2,1.3,97.4,0.3
E02006603,0.9,0.3,1.3,97.1,0.5
E02006604,4.5,1.6,2.6,90.3,1
E02006605,4.3,1,2.7,91.4,0.6
E02006607,2.5,0.7,2.6,93.7,0.6
E02006608,1.7,0.5,1.8,95.6,0.4
E02006609,1.3,0.4,1.8,96.1,0.4
E02006610,2.1,0.9,2.1,94.4,0.5
E02006611,1.9,0.5,2,95.1,0.5
E02006612,6.8,1.4,3.3,87.1,1.4
E02006613,6.1,1.1,2.9,88.6,1.3
E02006614,3.8,1.4,3,90.7,1
E02006615,3.7,0.9,2.3,92.3,0.8
E02006616,3.4,1,2.5,92.4,0.7
