areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02003491,17.9,43.1,29.1,9.9
E02003492,31.7,39.4,20.5,8.4
E02003493,16.6,44.4,29.7,9.3
E02003494,16.1,47.7,28.4,7.8
E02003495,18,46,27,8.9
E02003496,24.9,43.9,23.7,7.5
E02003497,10.8,40.8,35.4,13
E02003498,44.4,40.2,11.8,3.6
E02003499,33.3,40.7,18.1,7.9
E02003500,20.1,55.4,20.7,3.7
E02003501,25.5,49.4,20.3,4.8
E02003502,25.6,46.6,22.4,5.4
E02003503,21.9,43.3,26.8,8
E02003504,37.9,49.5,10.7,1.9
E02003505,48.4,40.9,9.2,1.5
E02003506,27.2,55.4,15,2.4
E02003507,19.8,42.1,27.5,10.5
E02003508,34.5,49,13.8,2.7
E02003509,45.2,44.1,9.3,1.3
E02003510,39.4,47.1,11.2,2.3
E02003511,26.2,48.9,20.9,4
E02003512,44.1,44.6,9.3,1.9
E02003513,31.3,45.9,19.2,3.6
E02003514,60.6,32.9,5.8,0.7
E02003515,44.2,40.8,12.2,2.8
E02003516,51.8,40.6,6.5,1.1
E02003517,66,28,5.4,0.6
E02003518,43,45.4,9.8,1.8
E02003519,60.7,33.6,5,0.7
E02003520,61.1,32.2,5.5,1.1
E02003521,53.8,38.1,7.2,1
E02003522,40.5,45.7,12,1.8
E02003523,19.1,45.5,27,8.4
E02004380,8.1,39.4,35.8,16.8
E02004383,22.2,51.1,21,5.8
E02004384,17.2,43.3,28.5,11
E02004385,20.7,43.4,26.1,9.8
E02006373,6.6,33.4,36.9,23.1
E02006374,8.7,33,33.5,24.7
E02006391,8.4,39.7,38.2,13.7
E02006392,20.7,44.8,25.5,8.9
E02006437,9.4,37.9,33.7,18.9
E02006438,7.5,31.7,36.4,24.4
E02006448,10.8,40.1,36.5,12.5
E02006449,10.6,37.2,36.3,15.9
E02006450,6.2,30.9,40.7,22.1
E02006451,10.4,38.7,36.8,14.1
E02006453,8.4,31.8,38.8,20.9
E02006534,14.8,42.1,31.9,11.1
E02006535,12.3,45.8,32.3,9.6
E02006536,10.6,39.9,35.9,13.6
E02006537,24.6,44.3,24,7.1
E02006538,20,48.2,24.5,7.3
E02006539,17.8,42.3,29,10.9
E02006540,19.8,44,27.5,8.7
E02006541,23.8,46.3,22,7.9
E02006542,12.5,40.4,32,15
E02006543,9.3,40.3,34.1,16.3
E02006544,9.1,37.7,36.6,16.6
E02006545,17,41.3,32,9.7
E02006546,14.1,40.8,32.8,12.3
E02006547,10.3,42.1,34.5,13.1
E02006548,13.9,44.8,30.2,11.1
E02006549,11.5,45.6,31.4,11.4
E02006550,17.1,45.2,27.2,10.5
E02006551,17.4,47,26.3,9.3
E02006552,31,47.7,17,4.2
E02006553,13.3,41.9,33.6,11.2
E02006554,13.4,42.5,31.6,12.5
E02006555,24.6,42,24.7,8.7
E02006556,12,40.4,33.3,14.2
E02006557,24.1,40.3,25.2,10.5
E02006558,36.7,44.6,14.4,4.3
E02006562,5.2,27.4,40.1,27.3
E02006565,8.5,37.2,34.4,20
E02006575,21.8,41.8,26.8,9.6
E02006576,10.6,41.1,36.6,11.7
E02006577,23.6,40.8,27,8.5
E02006578,31.2,44.6,18.2,5.9
E02006579,19.1,44.7,26.9,9.3
E02006580,16.9,40.4,32.4,10.3
E02006581,27.6,43.1,22.5,6.8
E02006582,6.5,39.1,39.2,15.2
E02006583,16.8,41.5,30.9,10.8
E02006584,21,42.4,28.8,7.8
E02006585,22.9,40.8,26.5,9.8
E02006586,18,42.9,28.6,10.4
E02006587,25.3,44.5,22.3,7.8
E02006588,11.9,40.3,34.9,12.9
E02006589,7.9,38.9,38.9,14.3
E02006590,13.4,42.7,32.4,11.5
E02006591,17.2,45.9,28,8.9
E02006592,6,27.9,40.7,25.3
E02006593,26.6,46.7,21,5.7
E02006594,11.2,40.3,37.7,10.7
E02006595,7.5,35.2,38.6,18.7
E02006596,7.6,34.4,41.2,16.9
E02006597,9.5,37.5,37.2,15.8
E02006598,5.2,31.8,39.8,23.3
E02006599,5.5,31.9,39.7,22.8
E02006600,13.7,41.5,31.9,12.8
E02006601,11,38.7,34.9,15.4
E02006602,4.9,28.1,43.3,23.7
E02006603,9.8,39.7,35.3,15.2
E02006604,19.4,44.8,27.3,8.5
E02006605,7.5,33.1,40.4,19.1
E02006607,9.8,39.7,35.6,14.9
E02006608,7.9,34.6,38.1,19.4
E02006609,6.6,33.7,39,20.7
E02006610,6.8,37.1,37.9,18.2
E02006611,9.6,45.3,35.1,10
E02006612,19.1,51.7,23.9,5.4
E02006613,18,48.4,25.4,8.2
E02006614,9.9,44.4,33.4,12.3
E02006615,8.7,39.5,37.7,14
E02006616,12.2,43,33.1,11.7
E02006617,25.1,42.6,24,8.3
E02006618,8.7,40,36.1,15.2
E02006619,7.2,36.2,37.6,19.1
E02006620,12.7,42.9,33.1,11.3
E02006621,9.3,37.6,35.4,17.7
E02006622,16.3,40.8,31.8,11.1
E02006623,17.6,43.9,29.2,9.2
E02006624,10.3,36,38.7,15
E02006625,17.9,42.9,30.6,8.7
E02006626,14.9,42.9,32.8,9.4
E02006627,17.3,45.4,27.9,9.3
E02006628,27.7,47.4,19.5,5.5
E02006629,25.8,48,20.2,6
E02006630,34.5,47.7,14.3,3.5
E02006631,41.8,44.9,10.9,2.4
E02006632,18.9,48.4,24.7,8.1
E02006633,15.8,43.2,30.7,10.2
