areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02003491,90.1,9.9
E02003492,79.2,20.8
E02003493,85.2,14.8
E02003494,87.5,12.5
E02003495,91.1,8.9
E02003496,82.4,17.6
E02003497,81.9,18.1
E02003498,81.9,18.1
E02003499,85.7,14.3
E02003500,86.5,13.5
E02003501,79.8,20.2
E02003502,88.3,11.7
E02003503,85.5,14.5
E02003504,81.2,18.8
E02003505,79.2,20.8
E02003506,83.2,16.8
E02003507,89.3,10.7
E02003508,83.7,16.3
E02003509,73,27
E02003510,73.8,26.2
E02003511,83.1,16.9
E02003512,82.2,17.8
E02003513,80.1,19.9
E02003514,72.8,27.2
E02003515,84.4,15.6
E02003516,70.5,29.5
E02003517,67.9,32.1
E02003518,75.4,24.6
E02003519,69.5,30.5
E02003520,70.1,29.9
E02003521,77,23
E02003522,70.1,29.9
E02003523,86.7,13.3
E02004380,91.5,8.5
E02004383,88.6,11.4
E02004384,89.6,10.4
E02004385,89.3,10.7
E02006373,90.5,9.5
E02006374,91.8,8.2
E02006391,85.4,14.6
E02006392,79.2,20.8
E02006437,91.2,8.8
E02006438,91.1,8.9
E02006448,87.4,12.6
E02006449,90.5,9.5
E02006450,86.7,13.3
E02006451,89.2,10.8
E02006453,90,10
E02006534,91.3,8.7
E02006535,93.3,6.7
E02006536,93.3,6.7
E02006537,90.1,9.9
E02006538,90.6,9.4
E02006539,93.7,6.3
E02006540,93.4,6.6
E02006541,90.8,9.2
E02006542,91,9
E02006543,94.4,5.6
E02006544,92.7,7.3
E02006545,88.5,11.5
E02006546,93,7
E02006547,92.7,7.3
E02006548,93.1,6.9
E02006549,92.9,7.1
E02006550,92.4,7.6
E02006551,92.9,7.1
E02006552,81.1,18.9
E02006553,86.8,13.2
E02006554,93.7,6.3
E02006555,82.1,17.9
E02006556,93.3,6.7
E02006557,81.9,18.1
E02006558,72,28
E02006562,91.5,8.5
E02006565,91.2,8.8
E02006575,62.7,37.3
E02006576,79.9,20.1
E02006577,75.9,24.1
E02006578,59,41
E02006579,73.3,26.7
E02006580,80.9,19.1
E02006581,68.1,31.9
E02006582,84.4,15.6
E02006583,79.3,20.7
E02006584,75.3,24.7
E02006585,78.3,21.7
E02006586,67.1,32.9
E02006587,74.2,25.8
E02006588,84.3,15.7
E02006589,89.3,10.7
E02006590,88.5,11.5
E02006591,87.3,12.7
E02006592,90.3,9.7
E02006593,82.1,17.9
E02006594,87,13
E02006595,88.6,11.4
E02006596,93,7
E02006597,91.9,8.1
E02006598,93.4,6.6
E02006599,93,7
E02006600,92.9,7.1
E02006601,91.5,8.5
E02006602,93.4,6.6
E02006603,93.8,6.2
E02006604,83.3,16.7
E02006605,89.1,10.9
E02006607,89.7,10.3
E02006608,92.2,7.8
E02006609,90.2,9.8
E02006610,89.1,10.9
E02006611,89.5,10.5
E02006612,80.6,19.4
E02006613,84.9,15.1
E02006614,86.8,13.2
E02006615,90,10
E02006616,89.9,10.1
E02006617,83.8,16.2
E02006618,91.2,8.8
E02006619,92.4,7.6
E02006620,92.4,7.6
E02006621,93.6,6.4
E02006622,92.2,7.8
E02006623,92.4,7.6
E02006624,92,8
E02006625,89,11
E02006626,89.3,10.7
E02006627,88.9,11.1
E02006628,84.9,15.1
E02006629,85.1,14.9
E02006630,82.8,17.2
E02006631,76.2,23.8
E02006632,88.3,11.7
E02006633,91.6,8.4
