areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02003491,88.6,11.4,0
E02003492,82.1,17.9,0
E02003493,72.8,27,0.2
E02003494,80,20,0
E02003495,90.2,9.7,0
E02003496,64.9,35.1,0
E02003497,82.3,17.7,0.1
E02003498,51.1,48.8,0.1
E02003499,83.4,16.5,0
E02003500,78.3,21.7,0
E02003501,52.9,47.1,0
E02003502,75.2,24.8,0
E02003503,85.6,14.4,0
E02003504,34.4,65.6,0
E02003505,40.1,59.9,0
E02003506,65.9,34.1,0
E02003507,91.8,8.2,0
E02003508,72.9,27,0
E02003509,17.9,82,0
E02003510,22.8,77.2,0
E02003511,64,35.9,0.1
E02003512,58.9,41,0.1
E02003513,40.9,59,0.1
E02003514,12.8,87.2,0.1
E02003515,61.8,38.2,0.1
E02003516,4.3,95.7,0
E02003517,32.3,67.5,0.2
E02003518,13,87,0
E02003519,9.1,90.8,0.1
E02003520,21,79,0.1
E02003521,21.6,78.4,0
E02003522,29.5,69.6,0.9
E02003523,79,21,0
E02004380,88.7,11.1,0.2
E02004383,81.3,18.6,0.1
E02004384,82.6,17.3,0.1
E02004385,79.2,20.7,0.1
E02006373,88,11,1
E02006374,82.4,10.9,6.8
E02006391,89,10.5,0.4
E02006392,56.2,43.7,0.1
E02006437,83.8,14,2.2
E02006438,88,7.5,4.5
E02006448,89.4,10.6,0
E02006449,85,13.8,1.2
E02006450,86.4,11.3,2.3
E02006451,82.4,17.4,0.1
E02006453,87.2,11.5,1.3
E02006534,91.4,8.6,0.1
E02006535,90.6,9.3,0.1
E02006536,94.4,5.6,0
E02006537,70.3,29.6,0.1
E02006538,58.8,40.3,0.9
E02006539,84.8,15.1,0.1
E02006540,74.6,18.5,6.9
E02006541,63.7,36.3,0.1
E02006542,82.3,15.8,1.9
E02006543,94.2,5.1,0.7
E02006544,88.5,8.9,2.6
E02006545,78,19.6,2.4
E02006546,87.2,12.4,0.3
E02006547,86,7.1,6.8
E02006548,88.8,10.6,0.6
E02006549,91.1,8.3,0.6
E02006550,85.3,14.6,0
E02006551,71.2,28.7,0.1
E02006552,37.4,60.1,2.5
E02006553,85.1,11.9,3
E02006554,83.7,16,0.3
E02006555,67.1,32.9,0.1
E02006556,88.3,11.5,0.2
E02006557,70,30,0
E02006558,29,70.8,0.1
E02006562,91.5,8.2,0.3
E02006565,87.3,12.7,0.1
E02006575,85.3,14.6,0.1
E02006576,80.8,19.2,0
E02006577,69.2,30.8,0
E02006578,51.5,48.4,0.1
E02006579,77.9,22.1,0
E02006580,81.6,18.4,0
E02006581,58.8,41.2,0
E02006582,89.1,10.9,0
E02006583,79.3,20.7,0
E02006584,70.5,29.5,0
E02006585,81.7,18.3,0
E02006586,90.1,9.9,0
E02006587,70.1,29.9,0
E02006588,67.7,31.9,0.5
E02006589,93.8,6.2,0
E02006590,73.8,25.9,0.2
E02006591,70.2,29.8,0
E02006592,89.8,9,1.2
E02006593,52,47.9,0.1
E02006594,82.8,17.1,0.1
E02006595,89.2,10.4,0.4
E02006596,86.7,11.5,1.8
E02006597,84.3,14.3,1.3
E02006598,91.3,6.9,1.8
E02006599,94.7,4.2,1.1
E02006600,77.5,22.4,0.1
E02006601,86.1,13.2,0.7
E02006602,93.7,5.3,1
E02006603,86,11.1,2.9
E02006604,59,40.9,0.1
E02006605,88.6,11.4,0.1
E02006607,85.5,14.4,0.1
E02006608,84.8,8.4,6.8
E02006609,90.4,9.5,0.1
E02006610,85.4,14.2,0.4
E02006611,88.8,11.1,0.1
E02006612,51,48.9,0.1
E02006613,73.9,26.1,0
E02006614,80.9,19,0.1
E02006615,92.6,7.4,0.1
E02006616,87.7,12.1,0.2
E02006617,68.4,31.4,0.2
E02006618,95,4.9,0
E02006619,88.7,10.8,0.5
E02006620,86,13.9,0.2
E02006621,94.2,5.8,0
E02006622,77.6,22.4,0
E02006623,83.2,16.8,0
E02006624,83.4,16.6,0
E02006625,77.1,22.9,0
E02006626,88.4,11.6,0
E02006627,70.6,29.3,0
E02006628,60.9,39.1,0
E02006629,70,30,0.1
E02006630,18,82,0
E02006631,26.2,73.7,0.1
E02006632,50.7,49.3,0
E02006633,78.8,21.2,0
