areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02003491,60.5,3.1,36.4
E02003492,30.5,8.9,60.6
E02003493,57.9,2.5,39.7
E02003494,60.8,3.1,36.1
E02003495,62,3.4,34.5
E02003496,53.8,3.6,42.7
E02003497,59.6,2.3,38.1
E02003498,47.1,6.5,46.4
E02003499,49.3,5.6,45.1
E02003500,66.9,4.3,28.8
E02003501,65.7,3.8,30.5
E02003502,59.5,3.9,36.5
E02003503,59.1,3.5,37.4
E02003504,66.6,4.5,28.9
E02003505,58.7,7.1,34.2
E02003506,70.3,4,25.7
E02003507,56.3,3.4,40.4
E02003508,59.3,6.5,34.2
E02003509,67.8,3.9,28.3
E02003510,66.3,3.6,30.1
E02003511,64.8,3.1,32.1
E02003512,59.4,6.8,33.8
E02003513,56.2,3.2,40.6
E02003514,69.3,4.9,25.8
E02003515,49.3,4.7,46.1
E02003516,70.2,5.5,24.4
E02003517,59,6.2,34.8
E02003518,62.4,3.6,34
E02003519,69.7,5.9,24.4
E02003520,55.8,5.8,38.4
E02003521,58.5,4,37.5
E02003522,58.3,4.2,37.5
E02003523,52.2,2.5,45.3
E02004380,55.3,2.2,42.5
E02004383,55.2,2.9,41.9
E02004384,55.8,3.2,41
E02004385,53.6,2.7,43.7
E02006373,60.2,2.3,37.5
E02006374,58.8,2.1,39.1
E02006391,68.8,2.6,28.6
E02006392,62,3.9,34
E02006437,57.6,2.4,40.1
E02006438,58.3,2.5,39.2
E02006448,61.6,2.6,35.8
E02006449,58.7,2.1,39.2
E02006450,60.9,2.3,36.8
E02006451,54.9,1.9,43.2
E02006453,53.6,1.9,44.5
E02006534,58.1,2.7,39.2
E02006535,57,2.5,40.5
E02006536,58.9,2.4,38.7
E02006537,55.9,3.2,40.9
E02006538,57.5,2.6,39.9
E02006539,55,2.7,42.3
E02006540,52.5,3.1,44.4
E02006541,54.6,2.5,42.9
E02006542,53.5,1.7,44.8
E02006543,53.4,2.4,44.1
E02006544,56.9,2.1,41
E02006545,62.4,3.5,34.1
E02006546,54,2.5,43.5
E02006547,53.2,3.3,43.5
E02006548,58.1,2.8,39.1
E02006549,39,2.1,58.9
E02006550,49,2.4,48.6
E02006551,34.1,1.6,64.4
E02006552,54.7,4.6,40.6
E02006553,62.5,2.7,34.9
E02006554,48.2,1.9,49.8
E02006555,58.3,3.1,38.6
E02006556,51.6,2,46.3
E02006557,59.5,3.6,36.9
E02006558,53.1,3.3,43.5
E02006562,56.1,2.2,41.8
E02006565,53.9,2.2,43.9
E02006575,59,5.8,35.2
E02006576,68.1,3.6,28.3
E02006577,60.7,4.1,35.1
E02006578,64.9,5.4,29.7
E02006579,63.5,4,32.5
E02006580,61.1,4.9,34
E02006581,61.6,5.5,32.8
E02006582,68.1,4.3,27.6
E02006583,61.7,3.8,34.5
E02006584,62.6,5.7,31.7
E02006585,60.1,5.2,34.7
E02006586,64.7,6.4,28.9
E02006587,61,6.3,32.8
E02006588,66.3,3.2,30.5
E02006589,62.2,2.2,35.6
E02006590,61.7,2.6,35.7
E02006591,62.9,2.7,34.4
E02006592,58.7,2,39.3
E02006593,60.2,3.1,36.7
E02006594,66.6,2.7,30.7
E02006595,55.9,2.2,41.9
E02006596,66.4,2.4,31.2
E02006597,64.5,2.3,33.3
E02006598,59.8,2.5,37.7
E02006599,46,1.4,52.6
E02006600,52.3,2.2,45.5
E02006601,54.9,2.4,42.7
E02006602,58.9,2.3,38.8
E02006603,53.5,1.9,44.6
E02006604,64.2,2.7,33.1
E02006605,61.4,2.8,35.8
E02006607,59.7,2.2,38.1
E02006608,58.9,2.4,38.7
E02006609,58.4,1.8,39.7
E02006610,63.2,2.1,34.7
E02006611,57.6,2.1,40.3
E02006612,65.6,2.7,31.7
E02006613,64.5,2.5,33
E02006614,64.6,2.3,33
E02006615,69,2,29
E02006616,64.6,2.4,32.9
E02006617,61.6,2.8,35.6
E02006618,57.3,2,40.7
E02006619,61.2,2.5,36.3
E02006620,57.1,2.2,40.7
E02006621,49.5,2.1,48.4
E02006622,55.4,2.5,42.1
E02006623,56.1,2.6,41.3
E02006624,61.9,3,35.1
E02006625,67.7,2.8,29.5
E02006626,64,3.3,32.8
E02006627,60.5,2.7,36.7
E02006628,65.1,4,30.9
E02006629,58,3.7,38.3
E02006630,52.6,2.8,44.6
E02006631,60.8,4.4,34.8
E02006632,54.9,2.1,43
E02006633,47.4,2.1,50.5
