areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02003491,86.8,4.7,8.5
E02003492,75.8,14.6,9.6
E02003493,86.2,7.8,6
E02003494,87.2,6.7,6
E02003495,83.8,4.4,11.7
E02003496,79.6,8.2,12.2
E02003497,88.1,8.4,3.4
E02003498,74.7,11.1,14.2
E02003499,76.3,8.6,15.1
E02003500,87.3,8.2,4.6
E02003501,83.3,12,4.6
E02003502,80.7,6.7,12.6
E02003503,82.8,7.1,10.1
E02003504,82.5,12.9,4.6
E02003505,80.7,14,5.4
E02003506,83.6,9.6,6.8
E02003507,83,5.3,11.7
E02003508,82.8,11.5,5.8
E02003509,75.5,18.1,6.4
E02003510,76.6,18.1,5.3
E02003511,82.2,9.6,8.2
E02003512,82.4,11.9,5.7
E02003513,82.1,10.8,7.2
E02003514,75.6,20.2,4.2
E02003515,70.7,8.5,20.9
E02003516,73.8,21.7,4.5
E02003517,71.1,24.1,4.8
E02003518,78,15.5,6.4
E02003519,72.8,23,4.2
E02003520,71.4,19.8,8.9
E02003521,77.1,15.2,7.6
E02003522,72.9,19.7,7.4
E02003523,86.5,7.1,6.4
E02004380,88.5,3.9,7.5
E02004383,84.7,5.5,9.8
E02004384,85.2,5.4,9.4
E02004385,81.6,5.9,12.5
E02006373,87.5,4.9,7.6
E02006374,87.9,3.7,8.4
E02006391,86.2,7.7,6
E02006392,76.4,13.9,9.7
E02006437,85.6,4.3,10.2
E02006438,88.8,3.8,7.4
E02006448,86.8,6,7.2
E02006449,86,4.9,9.2
E02006450,86.9,6.4,6.8
E02006451,85.7,5.7,8.6
E02006453,87,4.9,8.1
E02006534,84.4,3.9,11.7
E02006535,87.9,3,9.2
E02006536,84.7,3.2,12.1
E02006537,79.3,5.2,15.5
E02006538,86.6,4.9,8.5
E02006539,81,3.2,15.7
E02006540,81.7,3.3,15
E02006541,79.3,5.4,15.3
E02006542,86.2,4.3,9.5
E02006543,85.3,2.3,12.4
E02006544,83.5,3.9,12.5
E02006545,72.9,8.9,18.2
E02006546,83.9,3.6,12.5
E02006547,80.2,4.4,15.5
E02006548,82.4,4,13.6
E02006549,87.2,2.8,10
E02006550,80,4.6,15.3
E02006551,86.9,3.2,9.9
E02006552,68.4,13.9,17.7
E02006553,75.2,10.3,14.5
E02006554,84.9,3.2,11.9
E02006555,66.4,16,17.5
E02006556,84.9,4.1,11
E02006557,66.5,15.7,17.7
E02006558,60,24,16
E02006562,88.4,3.2,8.3
E02006565,83.2,4.2,12.6
E02006575,69.1,21.2,9.8
E02006576,82.2,10.8,7
E02006577,72.8,15.6,11.7
E02006578,61.7,29.9,8.4
E02006579,74.9,16.3,8.8
E02006580,77.4,11,11.7
E02006581,68,21.5,10.5
E02006582,86.7,8,5.4
E02006583,78.9,12.2,8.9
E02006584,71.2,15,13.7
E02006585,74.2,13.7,12
E02006586,67.6,20.4,11.9
E02006587,71.2,15.4,13.4
E02006588,82.2,9.2,8.6
E02006589,88.1,5.2,6.7
E02006590,84.2,6.1,9.7
E02006591,83.2,7.2,9.6
E02006592,85.6,5.8,8.6
E02006593,76.1,11.7,12.2
E02006594,84.7,6.7,8.6
E02006595,88.3,6,5.8
E02006596,87.9,3.4,8.7
E02006597,85.6,3.6,10.7
E02006598,87.7,3.3,9
E02006599,91.1,2.9,6
E02006600,83.2,3.3,13.4
E02006601,85.7,3.9,10.4
E02006602,88.2,3,8.8
E02006603,89.1,2.8,8.1
E02006604,79.2,10.9,10
E02006605,87.6,5.5,6.9
E02006607,87.1,5.2,7.7
E02006608,89.3,3.7,7.1
E02006609,87.5,4.7,7.7
E02006610,86.2,5.5,8.3
E02006611,88,4.9,7.1
E02006612,80.8,11.7,7.5
E02006613,78.6,8,13.4
E02006614,85.3,6.9,7.8
E02006615,84.8,5.4,9.9
E02006616,83.4,5.7,10.9
E02006617,76.5,10.8,12.8
E02006618,87.5,4.6,7.9
E02006619,87.9,3.7,8.4
E02006620,88.9,3.4,7.6
E02006621,86.9,2.6,10.5
E02006622,84.5,3.7,11.8
E02006623,78.9,4.2,16.9
E02006624,89.7,3.5,6.9
E02006625,83.3,6,10.7
E02006626,78.9,5.4,15.7
E02006627,82.3,6.1,11.6
E02006628,77.7,9.7,12.6
E02006629,75.9,7.9,16.2
E02006630,74,11,14.9
E02006631,71,17.1,11.9
E02006632,85.5,6,8.5
E02006633,86.3,4,9.7
