areacd,heating_type_3a-001,heating_type_3a-002
E02003491,1.1,98.9
E02003492,1.2,98.8
E02003493,0.8,99.2
E02003494,0.9,99.1
E02003495,1,99
E02003496,1.3,98.7
E02003497,0.7,99.3
E02003498,1.7,98.3
E02003499,1.1,98.9
E02003500,1,99
E02003501,1.5,98.5
E02003502,2.1,97.9
E02003503,1.4,98.6
E02003504,1.9,98.1
E02003505,2.8,97.2
E02003506,1.6,98.4
E02003507,0.9,99.1
E02003508,1.7,98.3
E02003509,3.5,96.5
E02003510,2.4,97.6
E02003511,1.3,98.7
E02003512,1.9,98.1
E02003513,1.8,98.2
E02003514,4.7,95.3
E02003515,1.3,98.7
E02003516,4.6,95.4
E02003517,4.3,95.7
E02003518,2.9,97.1
E02003519,5.2,94.8
E02003520,4.3,95.7
E02003521,4.1,95.9
E02003522,2.1,97.9
E02003523,1,99
E02004380,0.9,99.1
E02004383,1.3,98.7
E02004384,1.1,98.9
E02004385,2.1,97.9
E02006373,1.4,98.6
E02006374,1.4,98.6
E02006391,0.9,99.1
E02006392,1.4,98.6
E02006437,1,99
E02006438,1.2,98.8
E02006448,0.7,99.3
E02006449,0.8,99.2
E02006450,0.7,99.3
E02006451,0.6,99.4
E02006453,0.6,99.4
E02006534,1.4,98.6
E02006535,0.7,99.3
E02006536,1,99
E02006537,1.9,98.1
E02006538,1.7,98.3
E02006539,1.7,98.3
E02006540,1.5,98.5
E02006541,2.1,97.9
E02006542,1.2,98.8
E02006543,1.4,98.6
E02006544,1.1,98.9
E02006545,1.4,98.6
E02006546,0.6,99.4
E02006547,1.2,98.8
E02006548,1.6,98.4
E02006549,0.4,99.6
E02006550,1.3,98.7
E02006551,0.9,99.1
E02006552,5.1,94.9
E02006553,1.3,98.7
E02006554,1,99
E02006555,1.5,98.5
E02006556,0.7,99.3
E02006557,1.7,98.3
E02006558,2.6,97.4
E02006562,1,99
E02006565,2,98
E02006575,1.1,98.9
E02006576,1,99
E02006577,0.8,99.2
E02006578,2,98
E02006579,1.4,98.6
E02006580,1.7,98.3
E02006581,1.9,98.1
E02006582,0.3,99.7
E02006583,0.7,99.3
E02006584,0.9,99.1
E02006585,1,99
E02006586,1.5,98.5
E02006587,2.1,97.9
E02006588,1.2,98.8
E02006589,0.5,99.5
E02006590,1.1,98.9
E02006591,1,99
E02006592,1.1,98.9
E02006593,1.2,98.8
E02006594,0.8,99.2
E02006595,0.8,99.2
E02006596,0.9,99.1
E02006597,1,99
E02006598,1.6,98.4
E02006599,0.5,99.5
E02006600,1.1,98.9
E02006601,0.8,99.2
E02006602,1,99
E02006603,1.3,98.7
E02006604,1.6,98.4
E02006605,0.5,99.5
E02006607,0.5,99.5
E02006608,0.5,99.5
E02006609,1.1,98.9
E02006610,0.8,99.2
E02006611,0.4,99.6
E02006612,1.4,98.6
E02006613,0.7,99.3
E02006614,0.6,99.4
E02006615,0.9,99.1
E02006616,0.9,99.1
E02006617,1.2,98.8
E02006618,0.3,99.7
E02006619,1.1,98.9
E02006620,0.5,99.5
E02006621,0.4,99.6
E02006622,1.5,98.5
E02006623,1.3,98.7
E02006624,1.2,98.8
E02006625,1.5,98.5
E02006626,1.3,98.7
E02006627,1.2,98.8
E02006628,1.9,98.1
E02006629,2.2,97.8
E02006630,3.1,96.9
E02006631,3.5,96.5
E02006632,1.5,98.5
E02006633,0.8,99.2
