areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00048206,19.1,43.5,28.7,8.7
E00048207,13.3,52.4,25.2,9.1
E00048208,35.6,31.3,31.3,1.8
E00048233,6.3,38.1,36.5,19
E00048235,13.5,31,41.3,14.3
E00048236,11.6,51.9,29.5,7
E00048237,8.9,38.5,37.3,15.4
E00048238,12.6,47.9,26.9,12.6
E00048239,13.5,35.1,39.6,11.7
E00048240,25.2,32.1,32.8,9.9
E00048241,9.2,42,37.8,10.9
E00048242,30.1,44.7,22.3,2.9
E00048243,28.8,53.8,14.4,3
E00048244,25.2,45.5,25.2,4.1
E00048245,27,30.5,31.9,10.6
E00048246,18.9,52.1,24.3,4.7
E00048247,14.5,41.3,34.1,10.1
E00048318,16.8,46.2,26.1,10.9
E00048319,35.7,40.8,16.3,7.1
E00048321,15.6,48.7,29.2,6.5
E00048322,21.4,42.9,24.5,11.2
E00048324,30.2,45.7,22.5,1.6
E00048326,24,47.1,22.1,6.7
E00048327,16,57,23,4
E00048330,46.1,33.9,15.7,4.3
E00048331,35.2,33.6,18.4,12.8
E00048332,28.8,40.4,29.8,1
E00048334,16.8,45.8,28.2,9.2
E00048335,10.9,37.5,38.3,13.3
E00048337,17.9,50.9,23.6,7.5
E00048338,23.1,42.9,30.8,3.3
E00048339,16.2,51.4,27.9,4.5
E00048340,18.8,50.7,21.7,8.7
E00048341,43.6,45.7,10.7,0
E00048343,9.9,36.4,34.7,19
E00048344,17.9,47,29.1,6
E00048345,23.4,43.8,24.8,8
E00048346,23.7,39.2,30.9,6.2
E00048347,63.9,30.3,5.2,0.6
E00048348,9.4,47.9,37.6,5.1
E00048349,14.2,46.2,34,5.7
E00048350,30.3,35.8,27.5,6.4
E00048352,12.8,46.6,31.8,8.8
E00048353,29.7,38.1,27.1,5.1
E00048354,26.9,45.4,23.1,4.6
E00048356,17.7,54.9,21.2,6.2
E00048359,37.8,39.9,16.8,5.6
E00048360,22.9,52.9,20,4.3
E00048361,48.6,41.9,8.6,1
E00048366,15.1,47.4,29.6,7.9
E00048367,10.1,34.8,38.4,16.7
E00048369,28.6,47.6,13.1,10.7
E00048370,24.3,50,21.5,4.2
E00048371,9.5,32.1,42.3,16.1
E00048372,17.4,46.4,34.1,2.2
E00048373,21.8,48.6,24.6,4.9
E00048374,3.9,43.1,41.8,11.1
E00048375,14.8,43.7,34.1,7.4
E00048376,9.8,38.4,27.7,24.1
E00048377,9.2,28.4,40.4,22
E00048378,10.7,31.3,38.9,19.1
E00048379,20.6,24.7,30.9,23.7
E00048380,4.7,24.3,43,28
E00048381,6.7,35.2,44.8,13.3
E00048382,15.4,26.9,43.3,14.4
E00048383,5.9,41.2,39.5,13.4
E00048384,12.8,50.4,33.3,3.4
E00048385,22.7,48.1,23.4,5.8
E00048386,8,32.8,42.4,16.8
E00048387,10.4,38.4,40,11.2
E00048388,6.5,34.8,43.5,15.2
E00048389,25.9,48.2,17.9,8
E00048390,12.3,30,41.5,16.2
E00048391,43.1,47.7,9.2,0
E00048392,7.7,30.8,46.2,15.4
E00048393,14.3,35.7,39.7,10.3
E00048394,9.1,29.8,46.3,14.9
E00048395,16.1,36.4,41.5,5.9
E00048396,29.7,50.3,16.6,3.4
