geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00144344,96.3,0,3.7,0
E00144345,89.1,0,10.9,0
E00144346,89.4,0,10.2,0.4
E00144347,93,0.8,5.7,0.5
E00144348,92.2,0.5,6.5,0.8
E00144351,96.3,0.4,3.3,0
E00144352,93.3,0,6.7,0
E00144355,97.4,0,2.6,0
E00144356,95.2,0.5,4.3,0
E00144357,87.7,1.6,9.6,1.1
E00144358,93.5,0,6.2,0.3
E00144359,94.5,0,5.5,0
E00144360,95.9,0,3.9,0.2
E00144361,91.1,0.7,8.2,0
E00144362,91.3,0.7,8,0
E00144363,92.6,0,7.4,0
E00144365,91.6,0.4,7,1.1
E00144366,93.3,0.4,5.6,0.7
E00144367,88.2,0.6,10.6,0.6
E00144368,90.3,0,9.7,0
E00144369,81.4,0,17.6,1
E00144370,93.7,0,6.3,0
E00144371,86.5,0,13.5,0
E00144372,88.1,0.3,10.8,0.7
E00144373,90.7,0,9.3,0
E00144374,96.7,0,1.6,1.6
E00144375,93.2,0,6.6,0.3
E00144376,88.6,0.3,11.2,0
E00144377,79.6,0,18.3,2.2
E00144378,82.2,0.3,15.4,2.1
E00144379,73.1,0,25.1,1.8
E00144380,76.8,0,22.2,1
E00144381,92,0,5.9,2.1
E00144382,90.8,0.5,8.2,0.5
E00144383,89.8,0,9.9,0.3
E00144385,87.5,1,11.5,0
E00144388,85,0.3,14.7,0
E00144389,92.9,0.4,6.3,0.4
E00144390,98.1,0,1.9,0
E00144391,88.5,0.5,10.3,0.7
E00144432,88.4,0.9,10.4,0.3
E00144433,88.2,0,9.1,2.8
E00144434,90.9,0.8,7.7,0.5
E00144435,76.9,0.4,20.2,2.5
E00144436,81.2,2.9,14.9,1.1
E00144437,83.9,0,15,1.1
E00144438,91.4,0,8.6,0
E00144439,90.8,1.8,7.4,0
E00144440,90.5,0.8,8.7,0
E00144441,83.7,1.3,14.7,0.3
E00144442,91,1,8.1,0
E00144443,92.7,0.3,7,0
E00144444,90.9,1.6,5.9,1.6
E00144445,91,0,9,0
E00144446,84.8,2.1,12.8,0.3
E00144448,83.7,2.1,13.2,1
E00144449,86.6,0.3,12.1,0.9
E00144450,80.1,1,18.4,0.5
E00144451,87.1,0,11.2,1.6
E00144452,92.8,0.5,5.8,0.9
E00144453,88.3,1.1,9.2,1.4
E00144463,88.4,0.3,11.4,0
E00144464,89.4,0.7,10,0
E00144465,88.6,0.7,10.2,0.5
E00144466,87.8,1.1,10.6,0.5
E00144467,90.2,0,8.9,0.9
E00144468,93.7,0,6.3,0
E00144469,90,0.8,8.8,0.4
E00144470,87.5,0,12.5,0
E00144472,94.2,0.4,4.5,0.9
E00144473,94,0,5.5,0.5
E00144474,92.3,0,6.4,1.3
E00144475,92.5,0,7.2,0.4
E00144491,88.1,0.7,11.3,0
E00144492,92,0.3,7.8,0
E00144493,90.8,1.1,8.1,0
E00144494,89.9,0.7,8.8,0.7
E00144495,90.5,0.2,9.3,0
E00144496,96.1,0,2.1,1.8
E00144497,92.3,1.1,6.7,0
E00144498,96.4,0,3.6,0
E00144499,94.8,1,4.1,0
E00144500,93.8,0,6.2,0
E00144501,88.4,0,11.6,0
E00144502,94.1,0.3,5.6,0
E00144503,94.9,0,4.7,0.4
E00144504,85.3,0.8,12.8,1.2
E00144505,88.7,0.3,10.7,0.3
E00144506,94,0,6,0
E00144508,89,0,10.6,0.4
E00144510,92.7,0,5.9,1.4
E00144511,94.4,0,5.6,0
E00144512,90,1.2,8.4,0.4
E00144513,92.6,0.4,6.6,0.4
E00144514,90,0.5,9.5,0
E00144515,78.4,1,20.6,0
E00144516,93,0,5.1,1.9
E00144517,91.5,0,8.5,0
E00144518,89.8,0.8,6.6,2.7
E00144519,97.1,0,2.9,0
E00144520,95.1,0.4,4.5,0
E00144540,90.6,0.6,7.4,1.4
E00144541,95.4,0,4.6,0
E00144542,90.8,0,9.2,0
E00144544,94,0,5.6,0.4
E00144545,96.4,0,3.3,0.3
E00144546,95.7,0,3.8,0.4
E00144555,90.2,1,8.4,0.4
E00144556,89.6,0,10.4,0
E00144557,94.6,0.7,4.7,0
E00144558,93,0.2,6.5,0.3
E00144559,76,0.2,23.5,0.3
E00144560,91.3,0,8.7,0
E00144561,95.2,0,4.8,0
E00144562,92.9,0,6,1.1
E00144563,94,0.5,5.4,0
E00144564,94.5,0,5.5,0
E00144675,95,0.3,4.3,0.3
E00144676,94.2,0,5.8,0
E00144677,90.2,1.3,8,0.5
