geography_code,in_full_time_education-001,in_full_time_education-002
E00106917,17.6,82.4
E00106918,13,87
E00106919,15.7,84.3
E00106920,17.4,82.6
E00106921,16.7,83.3
E00106922,18.1,81.9
E00106923,17.9,82.1
E00106924,19.9,80.1
E00107168,17.5,82.5
E00107174,16.8,83.2
E00107406,20.7,79.3
E00107407,14.5,85.5
E00107408,17.5,82.5
E00107409,17.7,82.3
E00107410,20.4,79.6
E00107412,15,85
E00107413,13.5,86.5
E00107414,13.3,86.7
E00107415,18.1,81.9
E00107416,15.6,84.4
E00107417,17.9,82.1
E00107418,19.2,80.8
E00107419,14.1,85.9
E00107420,10.1,89.9
E00107421,17.9,82.1
E00107431,14.5,85.5
E00107432,3.9,96.1
E00107433,10.2,89.8
E00107434,15.7,84.3
E00107435,24.5,75.5
E00107439,23,77
E00107440,15.8,84.2
E00107441,17.6,82.4
E00107442,18.8,81.2
E00107443,17.7,82.3
E00107444,16.7,83.3
E00107445,17.9,82.1
E00107446,20.4,79.6
E00107447,19.9,80.1
E00107449,12.4,87.6
E00107450,17.9,82.1
E00107451,20.8,79.2
E00107452,11.6,88.4
E00107453,16.6,83.4
E00107454,17.4,82.6
E00107455,17.8,82.2
E00107456,17.6,82.4
E00107457,18.3,81.7
E00107458,13.5,86.5
E00107459,17.8,82.2
E00107460,20.7,79.3
E00107461,20.8,79.2
E00107462,17.2,82.8
E00107463,18.4,81.6
E00107464,10.6,89.4
E00107465,23,77
E00107466,12.7,87.3
E00107467,20.5,79.5
E00107468,24.4,75.6
E00107469,17.6,82.4
E00107470,20.6,79.4
E00107471,16.6,83.4
E00107472,13.4,86.6
E00107473,20,80
E00107474,23.4,76.6
E00107475,26,74
E00107476,13.4,86.6
E00107477,19,81
E00107478,14.8,85.2
E00107479,20.5,79.5
E00107480,11.8,88.2
E00107481,18.2,81.8
E00107482,16.6,83.4
E00107483,13.9,86.1
E00107484,11.8,88.2
E00107485,15.5,84.5
E00107486,13.6,86.4
E00107487,10.1,89.9
E00107488,11.3,88.7
