areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00094978,0,0,0,98.9,1.1
E00094979,0.3,0,0,97.8,1.9
E00094980,0,0,0,99.8,0.2
E00094981,0.4,1,1.2,97.5,0
E00094982,0,0,0,98.2,1.8
E00094983,0,0,0,97.3,2.7
E00095068,0,0,0.9,99.1,0
E00095069,0,0,0,100,0
E00095070,0.4,0.4,0.9,98.2,0
E00095071,0.2,0.4,0.4,96.8,2.2
E00095072,0.9,0.5,4,92.2,2.4
E00095073,0,0.2,1,97.7,1
E00095074,0.3,0,2.3,94.8,2.6
E00095075,0.5,0,2.3,97.1,0.2
E00095076,0.3,0,1.3,97.1,1.3
E00095077,0,0,0,100,0
E00095078,0,0,1.2,98.4,0.4
E00095079,1.3,0,2,96.7,0
E00095122,0.3,0.3,2.2,96,1.2
E00095123,1,0,1,97.9,0
E00095124,0.5,0.5,1.5,97,0.5
E00095125,2.6,0.4,0.4,96.6,0
E00095126,0,0,0.4,97.6,2
E00095127,1.1,0,2,95.2,1.7
E00095128,0.7,0,1.3,96.7,1.3
E00095129,0,0.2,1.5,97,1.2
E00095130,0.6,0,0.9,95.9,2.5
E00095131,0.7,0.2,1.5,95.9,1.7
E00095132,0.4,0.4,1.1,98.2,0
E00095133,9.1,0,1.7,89.2,0
E00095134,0,0.4,0.9,98.7,0
E00095135,0,0,4.1,94.5,1.4
E00095137,0,0,0,98.4,1.6
E00095138,0,0,0.6,97.2,2.3
E00095139,0.2,0,0.2,98.4,1.1
E00095140,2,0.3,0,96.8,0.9
E00095141,0.5,0,0,98.9,0.5
E00095142,0.5,0,1.5,97.3,0.7
E00095143,0,0,0,98.3,1.7
E00095144,0,0,2,95.4,2.6
E00095146,0.3,0.3,0,98.8,0.6
E00095147,0.3,0.3,1.1,96.8,1.6
E00095148,0.6,0,2.2,97.1,0
E00095172,0.5,0.5,0,97,2
E00095173,0,0,1.9,98.1,0
E00095174,0.9,0.3,3.6,93.2,2.1
E00095175,0.7,0,3.3,94.8,1.1
E00095176,0,0.3,2,97.7,0
E00095177,0,0.3,0.3,99.1,0.3
E00095178,0,0.3,0.6,99.1,0
E00095179,0,0,0.7,97.7,1.7
E00095180,0.4,0.4,2.8,94.3,2.1
