areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00090866,100,0,0
E00090867,95.7,4.3,0
E00090868,97.7,2.3,0
E00090870,93.8,5.3,1
E00090871,100,0,0
E00090872,94.8,5.2,0
E00090873,98.5,0,1.5
E00090874,83.7,16.3,0
E00090875,91.7,8.3,0
E00090876,98.1,1.9,0
E00090877,100,0,0
E00090878,98.1,1,1
E00090879,100,0,0
E00090880,79.2,20.1,0.7
E00090881,100,0,0
E00090882,78.8,21.2,0
E00090883,95.6,4.4,0
E00090884,52.3,46.8,0.9
E00090899,98.3,0.6,1.2
E00090900,98.8,1.2,0
E00090901,96.9,0,3.1
E00090902,98.3,1.7,0
E00090903,99.3,0.7,0
E00090904,95.7,4.3,0
E00090905,99,1,0
E00090906,98.6,1.4,0
E00090907,95.6,2.2,2.2
E00090908,99.2,0.8,0
E00090909,100,0,0
E00090910,98.3,1.7,0
E00090918,57.1,42.3,0.5
E00090919,87.4,11.8,0.8
E00090920,70,29.4,0.6
E00090921,79.2,13.4,7.4
E00090922,98.5,1.5,0
E00090923,77.1,22.9,0
E00090924,67.9,32.1,0
E00090925,94.2,2.2,3.6
E00090926,98.4,1.6,0
E00090927,97.1,1.9,1
E00090928,99.3,0.7,0
E00090929,98.1,1.2,0.6
E00090930,32.5,67.5,0
E00090931,26.7,73.3,0
E00090932,92,7.1,0.9
E00090933,79.4,20.6,0
E00090934,97.5,2.5,0
E00090935,66.4,33.6,0
E00090937,95,4.2,0.8
E00090939,94.6,4.8,0.6
E00090941,100,0,0
E00090942,100,0,0
E00090943,98.3,0,1.7
E00090945,87.1,12.3,0.6
E00090946,99,1,0
E00090947,72,28,0
E00090948,90,10,0
E00090949,98.4,1.6,0
E00090950,86,14,0
E00090951,78.9,21.1,0
E00090953,99.3,0.7,0
E00090954,95.3,4.7,0
E00090956,97.3,2,0.7
E00090957,77.1,22.9,0
E00090958,98.9,0.6,0.6
E00090960,61.9,38.1,0
E00090961,69.3,30.7,0
E00090962,90.5,9.5,0
E00090963,66.9,33.1,0
E00090964,74.2,25.8,0
E00090965,100,0,0
E00090966,51.4,48.6,0
E00090967,90.4,9.6,0
E00090968,88.2,11,0.8
E00090969,94.9,5.1,0
E00090970,93.6,6.4,0
E00090984,97.1,2.2,0.7
E00090985,65,35,0
E00090986,99.3,0,0.7
E00090987,98.8,1.2,0
E00090988,74.5,4.3,21.3
E00090989,95,3.1,1.9
E00090990,99.2,0.8,0
E00090991,100,0,0
E00090992,99.1,0.9,0
E00090993,74.6,1.4,23.9
