areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00090866,92.8,0,6,1.2
E00090867,94,0,6,0
E00090868,93.4,0.3,5.7,0.6
E00090870,91.2,0,7.3,1.4
E00090871,92,0.4,6.5,1.1
E00090872,91.9,0.2,7.2,0.7
E00090873,90,0.3,9.7,0
E00090874,93.5,0.4,6.1,0
E00090875,90.1,0.3,9.3,0.3
E00090876,91.3,0.3,8.5,0
E00090877,92.2,0,7.8,0
E00090878,94.4,0,5.2,0.4
E00090879,90.7,0.7,8.6,0
E00090880,91.6,0,7.7,0.7
E00090881,84.2,0,15.4,0.4
E00090882,88,0.4,10.7,0.9
E00090883,89.7,0,10,0.4
E00090884,86.7,1.3,11.3,0.7
E00090899,92.8,0,7.2,0
E00090900,91.7,0.2,7.6,0.5
E00090901,93.9,0.3,4.8,0.9
E00090902,94.6,0,5.4,0
E00090903,95.5,0,4.2,0.3
E00090904,92.8,0.3,6.9,0
E00090905,89.2,0,10.4,0.4
E00090906,88.3,0,11.4,0.3
E00090907,90.7,0.6,7.8,0.9
E00090908,95.8,0,4.2,0
E00090909,96,0,4,0
E00090910,94.3,0.7,4.6,0.5
E00090918,90.8,0,7.9,1.3
E00090919,74.8,1.7,16.9,6.6
E00090920,82.7,0.4,13,3.9
E00090921,87.2,0,9.6,3.2
E00090922,87.3,0.4,11.6,0.8
E00090923,88,0,10.6,1.4
E00090924,84.4,0.8,11.6,3.2
E00090925,84.6,0,13.4,2
E00090926,86.1,1.2,11.9,0.8
E00090927,92.7,0,7.3,0
E00090928,90.4,0.3,8.6,0.8
E00090929,91,0.5,7.8,0.7
E00090930,94.3,0,5.7,0
E00090931,70.6,0,26.2,3.1
E00090932,87.3,0.9,10,1.7
E00090933,90.4,0,9.2,0.3
E00090934,87.1,0,11.6,1.3
E00090935,84.5,1.9,12.7,0.9
E00090937,83.8,0,16.2,0
E00090939,82.1,0.5,17.2,0.2
E00090941,92.6,0.4,7,0
E00090942,96.2,0.8,3,0
E00090943,90,0,10,0
E00090945,88.8,0,8.6,2.7
E00090946,91.9,0,8.1,0
E00090947,92.1,0,7.9,0
E00090948,91.5,0,7.7,0.8
