areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00090866,93.1,1.7,5.2
E00090867,96.3,1.3,2.3
E00090868,94.1,0.9,5
E00090870,92.9,1.8,5.3
E00090871,91.7,2.3,6
E00090872,94.1,1.6,4.3
E00090873,94.3,3.3,2.4
E00090874,92.3,1.6,6.1
E00090875,93.2,2,4.9
E00090876,94.1,2.2,3.6
E00090877,96.4,0,3.6
E00090878,93.7,4.5,1.9
E00090879,94.2,0.7,5.1
E00090880,96.6,1,2.4
E00090881,92,0.8,7.3
E00090882,96.5,1.3,2.2
E00090883,92.5,4.3,3.2
E00090884,95.3,1.3,3.3
E00090899,97.9,0.2,1.9
E00090900,95.9,0.5,3.7
E00090901,94.9,1.5,3.6
E00090902,95,0.4,4.7
E00090903,93.1,2.2,4.7
E00090904,94,3,3
E00090905,94.9,1.2,3.9
E00090906,96.7,1.3,2.1
E00090907,94.3,0.6,5.1
E00090908,95.5,2.2,2.2
E00090909,98.9,0.3,0.8
E00090910,94.8,2,3.2
E00090918,87.9,4.1,8
E00090919,82.1,4.3,13.6
E00090920,78.2,2.1,19.7
E00090921,80,2.7,17.3
E00090922,90.5,3.1,6.5
E00090923,87.9,1.9,10.1
E00090924,76.5,5.3,18.2
E00090925,86.7,1.6,11.6
E00090926,85.5,5.1,9.4
E00090927,82.6,0.6,16.8
E00090928,93.8,1.6,4.7
E00090929,90,1.2,8.8
E00090930,96.2,0,3.8
E00090931,71.9,6.3,21.9
E00090932,91.8,1.3,6.9
E00090933,87.6,1.3,11.1
E00090934,79.4,3.1,17.5
E00090935,78.5,2.3,19.2
E00090937,75.8,1.7,22.5
E00090939,85.5,4.4,10.1
E00090941,91.4,0.7,7.8
E00090942,94,1.9,4.2
E00090943,89,2,9
E00090945,85.8,2.9,11.3
E00090946,97.2,0.9,1.9
E00090947,85.9,1.6,12.5
E00090948,77.1,3.6,19.3
E00090949,85.3,3.2,11.6
E00090950,89.8,2.2,8
E00090951,96.9,0,3.1
E00090953,89.8,5.7,4.5
E00090954,88.8,3.6,7.6
E00090956,84.6,3.6,11.7
E00090957,86.5,3.4,10.1
E00090958,85.1,2.3,12.5
E00090960,86.5,1.2,12.3
E00090961,82.8,2.2,15
E00090962,90.7,4.6,4.6
E00090963,85.2,6.1,8.7
E00090964,84.6,5.7,9.8
E00090965,92,3.8,4.1
E00090966,87.5,2.6,9.9
E00090967,89.7,2.1,8.2
E00090968,85.7,6.8,7.5
E00090969,93.3,1.1,5.6
E00090970,91.5,2.3,6.2
E00090984,96.2,0,3.8
E00090985,87.8,3.4,8.9
E00090986,95.8,1.4,2.8
E00090987,94.8,2.8,2.4
E00090988,94.1,0.8,5
E00090989,95.7,1,3.3
E00090990,93.6,1.5,4.9
E00090991,93,1.1,5.9
E00090992,95.9,1.9,2.2
E00090993,95.7,1.3,3
E00090994,94.3,1.8,3.9
E00090995,94.4,1,4.6
E00090996,92.7,2.8,4.5
