areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00043609,44.6,8.7,46.7
E00043610,49.4,5,45.6
E00043611,53.4,4.9,41.7
E00043612,48.2,7.2,44.6
E00043613,33.5,6.6,59.9
E00043614,65.8,6.6,27.6
E00043615,57.9,2.8,39.3
E00043616,44.2,11.2,44.7
E00043617,38,5.5,56.5
E00043619,59.7,6.9,33.3
E00043620,43.6,2.6,53.8
E00043621,54.5,9.7,35.8
E00043622,55.1,8.1,36.8
E00043623,61.4,5.3,33.3
E00043624,52.5,9.9,37.7
E00043625,50.5,6.6,42.9
E00043626,51.8,7.3,40.9
E00043627,47.3,10.6,42
E00043628,50.6,6.9,42.5
E00043629,47.8,2.5,49.7
E00043630,52,2.3,45.7
E00043631,50.5,2.3,47.2
E00043632,44.4,9.1,46.5
E00043633,44,4.7,51.4
E00043634,42.7,9.5,47.8
E00043636,52,2.7,45.3
E00043663,52.6,4.8,42.6
E00043664,47.4,5.2,47.4
E00043665,63.5,5.7,30.9
E00043666,48.6,4.1,47.3
E00043667,53.6,3.6,42.9
E00043668,51,6.6,42.4
E00043669,65.4,2.6,31.9
E00043679,43.4,5.7,50.8
E00043680,48.1,6.4,45.5
E00043681,44.3,3.7,52.1
E00043682,39.6,6.5,53.9
E00043683,51.8,6.4,41.7
E00043684,48.8,6.2,45
E00043685,55.5,5.7,38.8
E00043686,50.4,3.5,46
E00043687,50,4.1,45.9
E00043688,47.8,2.8,49.4
E00043689,46.8,9.3,44
E00043691,52.6,4.2,43.2
E00043692,45.9,7.4,46.8
E00043693,40.5,12,47.5
E00043694,51.7,5.5,42.8
E00043695,39.8,8.6,51.6
E00043696,50.5,8.6,41
E00043697,44.4,6.8,48.8
E00043698,48.7,6.8,44.4
E00043699,46.3,2.8,50.9
E00043700,42.1,7.1,50.8
E00043701,46.8,9.3,43.9
E00043702,23.6,5.5,70.9
E00043703,56.5,6.5,37
E00043704,51.9,3.9,44.2
E00043705,45.8,7.8,46.4
E00043706,52.9,11.9,35.2
E00043707,50,8.4,41.6
E00043708,49.5,5.5,45
E00043709,36.9,6.9,56.2
E00043710,41.6,8.7,49.8
E00043711,56.1,1.7,42.3
E00043712,56.6,1.6,41.8
E00043713,48.9,3,48.1
E00043714,62.5,0,37.5
E00043715,53.8,3.8,42.5
E00043716,57.2,5.3,37.5
E00043717,50.7,5.7,43.6
