areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00047679,84.9,8,3.6,3.6
E00047680,90.9,6.7,1.2,1.2
E00047681,91.8,2.3,1.5,4.4
E00047682,88.1,6.7,3.1,2.1
E00047684,93.8,4.4,0.3,1.5
E00047685,88.7,8.6,1.7,1
E00047686,89.4,5.1,3.4,2.1
E00047687,91.9,5,1.1,1.9
E00047688,87.2,9.7,0.6,2.6
E00047689,89.9,5.9,1.7,2.4
E00047690,88.1,4.6,3.3,4
E00047691,88.7,6.4,1.2,3.8
E00047692,87.3,6.8,1,4.9
E00047693,88.1,2.6,4,5.3
E00047694,92.6,4,0.9,2.6
E00047695,94,3.5,0.6,1.9
E00047696,88.3,6.3,1.4,4
E00047697,86.1,8.2,2.5,3.3
E00047698,93.6,4,0.3,2.1
E00047700,93.6,4,0.6,1.8
E00047701,90,4.8,2.2,3
E00047702,88.5,8.3,1,2.2
E00047703,90.6,4.5,2.4,2.4
E00047704,87.9,4.8,2.2,5.1
E00047705,90.8,5.3,0.6,3.3
E00047707,90.6,4.1,1.2,4.1
E00047708,94,2,2.7,1.3
E00047709,88.6,6.6,2.5,2.2
E00047710,90.9,3,2.6,3.5
E00047711,95.8,2.1,0.9,1.2
E00047713,90.2,6.1,0.6,3.1
E00047763,90.9,6.3,1.6,1.3
E00047764,94,4,0.9,1.1
E00047765,92.3,6,0,1.8
E00047766,89.2,7.5,1.2,2.1
E00047767,89.5,5.8,0.7,4.1
E00047768,91.4,5.2,1,2.4
E00047769,92.9,2.1,2.1,2.9
E00047770,94.2,3.6,1.3,1
E00047771,85.6,7.6,2.7,4.1
E00047772,89.7,6.1,1.5,2.7
E00047773,93.3,4.3,0,2.3
E00047774,89.8,5.8,2.2,2.2
E00047775,90.1,7,1.7,1.2
E00047776,91.5,3.7,1.4,3.4
E00051759,88.7,3.4,2,5.9
E00051760,88.2,5.5,2.9,3.4
E00051761,86.1,3.8,2.1,8
E00051762,93.1,4.4,1.3,1.3
E00051765,90.9,5.2,2,2
E00051767,87.5,7.7,1.5,3.3
E00051768,91.1,4.8,1.3,2.9
E00051769,87.3,4.1,4.5,4.1
E00051771,86.9,7.5,1.9,3.8
E00051772,88.6,6.7,2.2,2.5
E00051773,88.9,6.5,1.5,3.1
E00051774,84,8.9,1.7,5.5
E00051775,89.4,3.6,2.6,4.4
E00051776,90.5,4.2,2.3,3
E00051777,90.1,5.5,1.6,2.8
