geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00048204,65.9,3.5,30.6
E00048205,48.3,1.9,49.8
E00048209,62.4,2.7,35
E00048210,64.1,3.1,32.9
E00048211,52.9,2.5,44.6
E00048213,52.9,4.6,42.4
E00048214,55.6,1.6,42.8
E00048215,31.9,3.7,64.4
E00048216,69.2,3.1,27.7
E00048217,54.5,4.3,41.2
E00048218,69.2,0,30.8
E00048219,57.6,6.1,36.2
E00048220,49.5,5.6,44.9
E00048221,67.4,1.1,31.5
E00048222,56.5,3.4,40.1
E00048223,60.9,4.1,35
E00048224,50.4,0.8,48.7
E00048225,62.2,1.1,36.6
E00048226,66.5,4.4,29.1
E00048227,60.7,2.6,36.7
E00048228,68.4,2.1,29.6
E00048229,60.1,2.9,37
E00048230,70.6,4.5,24.9
E00048231,56,3.8,40.2
E00048232,63.1,5.4,31.5
E00048234,57.9,0.8,41.3
E00048248,59.9,2.1,38
E00048249,57.1,1.8,41.1
E00048250,20.3,7.4,72.3
E00048251,58.7,2.6,38.7
E00048252,59,2.3,38.7
E00048422,48.9,4.5,46.6
E00048423,46.9,5.4,47.7
E00048432,58.5,8,33.5
E00048433,55.4,5.2,39.4
E00048436,50,4.7,45.3
E00048437,49.7,5.4,44.9
E00048438,55.3,4,40.7
E00048439,51.8,5.7,42.4
E00048440,51.2,4.8,43.9
E00048441,40.9,5.8,53.4
E00048442,53.2,5.3,41.5
E00048444,49.1,7.5,43.4
E00048446,50.1,4.1,45.7
E00048526,53.9,4.5,41.6
E00048527,31.3,3.4,65.3
E00048528,54.4,5.4,40.1
E00048532,58.6,5.7,35.7
E00048533,55.9,4.1,40
E00048534,52,6.5,41.5
E00048535,61.6,2.2,36.2
E00048536,61.5,3.1,35.4
E00048537,56,2.8,41.2
E00048538,56.6,5.1,38.4
E00048539,53.6,5.2,41.2
E00048540,63.8,2.4,33.8
E00048541,45,4.2,50.8
E00048542,60.5,4.9,34.6
E00048543,58.4,7.7,33.9
E00048544,58.8,5.7,35.5
E00048545,64.1,3.8,32.1
E00048546,60.5,5,34.5
E00048547,61.5,2.5,36.1
E00048548,63.7,4.4,31.9
E00048549,60.3,7.4,32.4
E00048550,65.3,2.4,32.3
E00048551,64,6.1,29.8
E00048552,60.1,3.4,36.5
E00048553,58.2,5.7,36
E00048554,59.8,1,39.2
E00048555,61.1,3.2,35.7
E00048556,55.1,6.5,38.4
E00048557,55.9,5,39.1
E00048558,52.6,4.9,42.5
E00048560,55.4,2.9,41.8
E00048561,62.9,3.7,33.3
E00048562,60.3,2.2,37.5
E00048563,53,3.2,43.8
E00048564,56,2.8,41.3
E00048565,53.7,4.9,41.4
E00048566,41.8,5.5,52.7
E00048567,58.7,3.8,37.5
E00048568,69.1,3,28
E00048569,60.3,5.3,34.4
E00048571,55.5,3.1,41.4
E00048572,64,4.4,31.6
E00048577,62.2,5,32.8
E00048578,72,4.4,23.6
E00048579,56.8,4,39.2
E00048580,58.5,5.1,36.4
E00048581,51.6,2.9,45.4
E00048582,64.7,4.7,30.6
E00048696,55.3,5.8,38.9
E00048697,58,5.6,36.4
E00048710,58.2,4.6,37.2
E00048711,64.3,1.1,34.6
E00048712,57.6,4.4,38
E00048713,57.9,7.9,34.2
E00048714,35.3,11.8,52.9
E00048715,60.9,4.3,34.8
E00048716,60.2,5.3,34.5
E00048717,57.6,5.3,37.1
E00048718,43.3,4.3,52.5
E00048719,56.6,4.7,38.8
E00048720,45.6,5.6,48.8
E00048722,49.3,6.5,44.2
E00048723,59.7,2.8,37.4
E00048724,63.6,4,32.3
E00048725,61.5,7.1,31.3
E00048726,57.7,3.7,38.6
E00158168,61.2,1.8,37
E00158169,57.3,1.7,41.1
E00158427,57.8,3.4,38.8
E00158428,65.8,5,29.3
E00158429,64.6,6.3,29.2
E00158432,52.8,2.1,45
E00158434,63.5,2.8,33.7
E00158437,61.1,2.7,36.2
E00158442,56.8,6.3,36.9
E00158443,31.9,0.8,67.2
E00158444,62.7,3.4,34
E00158445,55.1,2.9,42
E00158446,65.1,3.2,31.7
E00158447,67.4,5.6,27
E00158470,53.7,3.7,42.7
E00158471,59.9,5.2,34.9
E00158472,58.1,4.7,37.3
E00158474,62.3,4.9,32.7
E00158475,46.8,2.3,50.9
E00158477,29.5,2.4,68.1
E00158478,61.1,6.3,32.5
E00158479,45.3,5.9,48.8
E00158481,57.5,4.7,37.8
E00158482,55.6,6.6,37.8
E00158483,52.8,4.2,43
E00158484,42.3,8.5,49.2
E00158485,53.9,2.5,43.6
E00158487,66.4,6.9,26.7
E00158488,53.5,1.2,45.4
E00158489,62,1.9,36.1
E00158558,70.6,2.9,26.5
E00158559,41.9,1.8,56.3
E00158580,62,1.4,36.6
E00165813,56.1,4.7,39.2
E00165814,56.2,1.8,42
E00168294,74.1,0.4,25.6
E00168296,76,5.1,18.9
E00168298,61.3,5.4,33.3
E00168299,62.3,3.4,34.3
E00168300,77.6,3.4,19
E00168301,70.6,2.4,26.9
E00172158,54.7,7.7,37.6
E00172159,70,4.7,25.3
E00172160,53.2,6.6,40.2
E00172161,54.9,7.7,37.3
E00185041,75,6.3,18.7
E00185046,51.8,8.9,39.3
E00185054,72,5.7,22.3
E00185073,60.8,1.5,37.7
E00185080,69.9,4,26.1
E00185116,62.8,3.7,33.5
E00185117,53.3,8.8,37.9
E00185121,52.3,4,43.7
E00185127,82.9,2.7,14.4
E00186976,76.5,2.5,21
E00186999,67.2,6.5,26.4
