geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00048204,89.3,10.7
E00048205,91.4,8.6
E00048209,80.2,19.8
E00048210,80.7,19.3
E00048211,74.6,25.4
E00048213,71.4,28.6
E00048214,91.6,8.4
E00048215,92.8,7.2
E00048216,84.8,15.2
E00048217,81.3,18.7
E00048218,89.9,10.1
E00048219,86.5,13.5
E00048220,94,6
E00048221,91,9
E00048222,90.5,9.5
E00048223,94.3,5.7
E00048224,96.6,3.4
E00048225,87.4,12.6
E00048226,91.6,8.4
E00048227,93.1,6.9
E00048228,93.7,6.3
E00048229,82.3,17.7
E00048230,91.5,8.5
E00048231,89.9,10.1
E00048232,86.1,13.9
E00048234,96.7,3.3
E00048248,95.4,4.6
E00048249,95.9,4.1
E00048250,88.4,11.6
E00048251,96.7,3.3
E00048252,92.7,7.3
E00048422,57.8,42.2
E00048423,47.6,52.4
E00048432,62,38
E00048433,67.6,32.4
E00048436,53.2,46.8
E00048437,50.6,49.4
E00048438,54.3,45.7
E00048439,56.2,43.8
E00048440,46.5,53.5
E00048441,49.9,50.1
E00048442,52.1,47.9
E00048444,35.5,64.5
E00048446,48.3,51.7
E00048526,80.8,19.2
E00048527,73.1,26.9
E00048528,50,50
E00048532,80.2,19.8
E00048533,78.6,21.4
E00048534,63.5,36.5
E00048535,76.5,23.5
E00048536,69.3,30.7
E00048537,90.6,9.4
E00048538,76.5,23.5
E00048539,73.3,26.7
E00048540,89.5,10.5
E00048541,82,18
E00048542,62.2,37.8
E00048543,90.4,9.6
E00048544,77.5,22.5
E00048545,63.3,36.7
E00048546,89.3,10.7
E00048547,58.9,41.1
E00048548,79.7,20.3
E00048549,75.2,24.8
E00048550,90.6,9.4
E00048551,55.4,44.6
E00048552,67.5,32.5
E00048553,66.9,33.1
E00048554,75.7,24.3
E00048555,75.3,24.7
E00048556,62.7,37.3
E00048557,51.3,48.7
E00048558,64.4,35.6
E00048560,65.5,34.5
E00048561,74.9,25.1
E00048562,67.5,32.5
E00048563,73.3,26.7
E00048564,57.5,42.5
E00048565,81.3,18.7
E00048566,81.5,18.5
E00048567,80,20
E00048568,63.9,36.1
E00048569,81.1,18.9
E00048571,67.3,32.7
E00048572,68,32
E00048577,77.2,22.8
E00048578,74.4,25.6
E00048579,75.7,24.3
E00048580,65.1,34.9
E00048581,91.2,8.8
E00048582,84.9,15.1
E00048696,71.7,28.3
E00048697,72.8,27.2
E00048710,79.4,20.6
E00048711,68.1,31.9
E00048712,73.7,26.3
E00048713,73,27
E00048714,82.9,17.1
E00048715,59.6,40.4
E00048716,61.7,38.3
E00048717,71.1,28.9
E00048718,77.3,22.7
E00048719,53.3,46.7
E00048720,78.2,21.8
E00048722,77.9,22.1
E00048723,73.1,26.9
E00048724,72,28
E00048725,63.1,36.9
E00048726,68.1,31.9
E00158168,96.9,3.1
E00158169,94.4,5.6
E00158427,79.7,20.3
E00158428,77.3,22.7
E00158429,80.9,19.1
E00158432,93.2,6.8
E00158434,86.7,13.3
E00158437,89.1,10.9
E00158442,90.1,9.9
E00158443,90.3,9.7
E00158444,93.3,6.7
E00158445,93.1,6.9
E00158446,85.8,14.2
E00158447,81,19
E00158470,95.7,4.3
E00158471,92.1,7.9
E00158472,93,7
E00158474,87.7,12.3
E00158475,91.9,8.1
E00158477,95.4,4.6
E00158478,86.7,13.3
E00158479,89.3,10.7
E00158481,85.1,14.9
E00158482,84.7,15.3
E00158483,90.2,9.8
E00158484,94.7,5.3
E00158485,88.5,11.5
E00158487,88.7,11.3
E00158488,79.6,20.4
E00158489,91.9,8.1
E00158558,88.1,11.9
E00158559,89.1,10.9
E00158580,95,5
E00165813,70.7,29.3
E00165814,84.2,15.8
E00168294,90,10
E00168296,84.1,15.9
E00168298,95.5,4.5
E00168299,89.8,10.2
E00168300,84.8,15.2
E00168301,86.8,13.2
E00172158,76.2,23.8
E00172159,69.5,30.5
E00172160,47.5,52.5
E00172161,38.8,61.2
E00185041,74.5,25.5
E00185046,77.5,22.5
E00185054,81.1,18.9
E00185073,94.1,5.9
E00185080,86.6,13.4
E00185116,56.1,43.9
E00185117,55.5,44.5
E00185121,70.7,29.3
E00185127,65.2,34.8
E00186976,83.3,16.7
E00186999,78.4,21.6
