areacd,disability_3a-001,disability_3a-002
E00036144,28.2,71.8
E00036145,27.9,72.1
E00036166,22.4,77.6
E00036167,25.7,74.3
E00036168,23.5,76.5
E00036169,25.6,74.4
E00036170,22.6,77.4
E00036171,29.3,70.7
E00036213,13,87
E00036215,13.8,86.2
E00036216,15.7,84.3
E00036217,15.4,84.6
E00036218,14.4,85.6
E00036219,16.9,83.1
E00036292,12.8,87.2
E00036293,16.1,83.9
E00036294,11.7,88.3
E00036295,28.7,71.3
E00036296,15,85
E00036297,15.5,84.5
E00036298,16.9,83.1
E00036299,19.2,80.8
E00036300,19.5,80.5
E00036301,20.3,79.7
E00036302,19.8,80.2
E00036303,17.1,82.9
E00036304,16.6,83.4
E00036305,21.3,78.7
E00036306,23.3,76.7
E00036307,26.2,73.8
E00036308,20.2,79.8
E00036309,17.2,82.8
E00036310,25,75
E00036311,30.1,69.9
E00036312,25.3,74.7
E00036313,29.3,70.7
E00036314,28.5,71.5
E00036315,28.4,71.6
E00036316,22.7,77.3
E00036317,21.1,78.9
E00036318,14.5,85.5
E00036319,23.9,76.1
E00036321,14.2,85.8
E00036322,19,81
E00036323,17.4,82.6
E00036324,15.4,84.6
E00036325,14.6,85.4
E00036326,35.3,64.7
E00036327,16,84
E00036328,17.8,82.2
E00036329,14.5,85.5
E00036330,14.4,85.6
E00036331,17.5,82.5
E00036332,16.5,83.5
E00036333,13.2,86.8
E00036334,21.5,78.5
E00036335,23,77
E00036336,26.6,73.4
E00036337,22.8,77.2
E00092481,19,81
E00092482,18.2,81.8
E00092485,17.1,82.9
E00092488,21.9,78.1
E00092489,18.3,81.7
E00092492,17.2,82.8
E00092493,24.4,75.6
E00092494,17.4,82.6
E00092495,16.5,83.5
E00092609,17.6,82.4
E00092610,15.9,84.1
E00092611,24.5,75.5
E00092612,23.1,76.9
E00092613,13.5,86.5
E00092615,12.3,87.7
E00092649,19.7,80.3
E00092650,24.5,75.5
E00092651,16.9,83.1
E00092655,16.5,83.5
E00093451,24.5,75.5
E00093452,18.5,81.5
E00093453,18.2,81.8
E00093454,35.5,64.5
E00093455,24.6,75.4
E00093456,27.7,72.3
E00093457,20.4,79.6
E00093458,20,80
E00093459,22.3,77.7
E00093460,18,82
E00093461,18.2,81.8
E00093462,34,66
E00093463,32.4,67.6
E00093464,30.9,69.1
E00093465,32.4,67.6
E00093466,34.6,65.4
E00093467,24.4,75.6
E00093468,23.7,76.3
E00093469,20.5,79.5
E00093470,20.3,79.7
E00093471,25.3,74.7
E00093472,27.2,72.8
E00093473,20.6,79.4
E00093474,27.5,72.5
E00093475,21.4,78.6
E00093476,33.6,66.4
E00093477,24.1,75.9
E00093479,22.1,77.9
E00093480,24.4,75.6
E00093481,18.1,81.9
E00093482,16.9,83.1
E00093483,18.9,81.1
E00093484,13.7,86.3
E00093485,16.8,83.2
E00093486,16.7,83.3
E00093487,13.6,86.4
E00093488,14.6,85.4
E00093489,23.5,76.5
E00093490,17.3,82.7
E00093491,17.1,82.9
E00093492,10.1,89.9
E00093493,12.1,87.9
E00093494,13.3,86.7
E00093495,20.2,79.8
E00093496,13.4,86.6
E00093497,16.4,83.6
E00093498,13.5,86.5
E00093499,25.5,74.5
E00093500,21.7,78.3
E00093501,13.5,86.5
E00093502,12.4,87.6
E00093503,12.2,87.8
E00093504,14.9,85.1
E00093505,16.7,83.3
E00093506,19.4,80.6
E00093507,14,86
E00093508,21.3,78.7
E00093509,13.1,86.9
E00093547,18.4,81.6
E00093548,18.2,81.8
E00093549,27.1,72.9
E00093550,24.4,75.6
E00093551,24.1,75.9
E00093552,18,82
E00093553,24.6,75.4
E00093554,17.2,82.8
E00093555,20.8,79.2
E00093556,16,84
E00093557,33.9,66.1
E00093558,23.8,76.2
E00093559,26.7,73.3
E00093560,21.4,78.6
E00093561,19,81
E00093562,28,72
E00093563,24.5,75.5
E00093564,18.1,81.9
E00093565,24.3,75.7
E00093566,22,78
E00093567,19.8,80.2
E00093568,26.5,73.5
E00093569,19.4,80.6
E00093570,19.3,80.7
E00093571,34.9,65.1
E00093572,14.7,85.3
E00093573,25,75
E00093586,14.9,85.1
E00093587,31.3,68.7
E00093588,32.7,67.3
E00093589,24,76
E00093590,32.4,67.6
E00093591,25.8,74.2
E00093593,21.1,78.9
E00093594,43.8,56.2
E00093595,20.3,79.7
E00093596,20.5,79.5
E00093597,17.6,82.4
E00093598,26.8,73.2
E00093599,20.4,79.6
E00093600,35.7,64.3
E00093601,17.5,82.5
E00093602,20.9,79.1
E00093603,25.3,74.7
E00093604,21.8,78.2
E00093605,23.7,76.3
E00093606,29.8,70.2
E00093607,28.3,71.7
E00093608,25.9,74.1
E00093609,21.1,78.9
E00093610,31.3,68.7
E00093612,22.6,77.4
E00093613,31.3,68.8
E00093614,29,71
E00093615,28.9,71.1
E00093616,23.9,76.1
E00093617,30.3,69.7
E00093618,24.1,75.9
E00093619,29.9,70.1
E00093620,17.9,82.1
E00093622,20,80
E00093623,27.9,72.1
E00093624,18.2,81.8
E00093625,13.3,86.7
E00093626,14,86
E00093627,17.8,82.2
E00093628,33.3,66.7
E00093629,18.8,81.2
E00093630,15,85
E00093631,16.9,83.1
E00093632,21.3,78.7
E00093633,18.3,81.7
E00093634,13.9,86.1
E00093635,14.8,85.2
E00093636,18.2,81.8
E00093637,25.3,74.7
E00093638,18.6,81.4
E00093639,19.3,80.7
E00093640,16.5,83.5
E00093641,11.4,88.6
E00093642,15.2,84.8
E00093643,10.5,89.5
E00093644,30.7,69.3
E00093645,26.6,73.4
E00093646,21.2,78.8
E00093647,22.9,77.1
E00093648,25.4,74.6
E00093649,24,76
E00093650,11.6,88.4
E00093651,16.3,83.7
E00093652,15.4,84.6
E00093653,22.1,77.9
E00093654,15.8,84.2
E00093655,18.8,81.2
E00093656,10.3,89.7
E00093657,8.4,91.6
E00093658,12.4,87.6
E00093659,14.2,85.8
E00093660,11.7,88.3
E00093661,7.6,92.4
E00093662,10,90
E00093663,9.2,90.8
E00093664,19,81
E00093665,17.1,82.9
