areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00036144,55.7,18.9,14.2,11.3
E00036145,51.6,12.9,12.1,23.4
E00036166,37.9,14.4,31.8,15.9
E00036167,43.7,25.9,18.5,11.9
E00036168,45.2,20.6,20.6,13.5
E00036169,46,19.8,21.4,12.7
E00036170,41.5,21.2,21.2,16.1
E00036171,47,20,23,10
E00036213,32.8,24.2,32.8,10.2
E00036215,31.3,20.9,37.3,10.4
E00036216,38.3,28.6,23.4,9.7
E00036217,32.6,23.6,31.9,11.8
E00036218,30.1,28.7,27.9,13.2
E00036219,45.2,19.1,21.7,13.9
E00036292,28,23.8,38.3,9.8
E00036293,40.6,20,31.5,7.9
E00036294,40.5,17.3,29.8,12.5
E00036295,41.5,29.3,15.4,13.8
E00036296,33.8,17.7,43.1,5.4
E00036297,41,23.7,22.4,12.8
E00036298,38.7,22.1,28.2,11
E00036299,34.9,32.1,23.9,9.2
E00036300,41.1,28.4,16.8,13.7
E00036301,37.3,31.4,22.9,8.5
E00036302,36.4,32.2,23.1,8.3
E00036303,38.4,27.5,23.2,10.9
E00036304,30.4,34.5,25,10.1
E00036305,44.4,25.4,16.2,14.1
E00036306,41.5,22.3,23.8,12.3
E00036307,48.3,22.4,18.1,11.2
E00036308,33.9,21.5,28.1,16.5
E00036309,41.2,29.1,20.9,8.8
E00036310,26.7,22.7,36.7,14
E00036311,42.5,33,14.2,10.4
E00036312,40.2,31.8,12.1,15.9
E00036313,47.1,25.4,18.8,8.7
E00036314,33.9,20.5,26,19.7
E00036315,34,24.7,27.8,13.4
E00036316,37.9,28.4,18.1,15.5
E00036317,39.7,21.3,31.6,7.4
E00036318,37.6,16.1,32.9,13.4
E00036319,50.6,20.4,21.6,7.4
E00036321,39.5,25,24.3,11.2
E00036322,35.8,24.2,30.8,9.2
E00036323,38.1,15.3,33.9,12.7
E00036324,39.5,16,31.9,12.6
E00036325,39.7,21.8,29.5,9
E00036326,35.2,24.1,35.2,5.6
E00036327,41.5,18.9,27.4,12.3
E00036328,38.4,21.8,29.9,10
E00036329,37.9,21.4,35,5.7
E00036330,38.6,19.3,28.6,13.6
E00036331,33,24,31.8,11.2
E00036332,30.4,25.2,30.4,14.1
E00036333,36.4,22.4,30.8,10.3
E00036334,38.7,28.7,18,14.7
E00036335,32.6,25.8,26.5,15.2
E00036336,53.1,19.4,15.3,12.2
E00036337,36.7,24.2,21.9,17.2
E00092481,39.9,29.6,20.2,10.3
E00092482,38.3,22.6,21.7,17.4
E00092485,23.5,34.8,24.2,17.4
E00092488,33.1,27.8,25.6,13.5
E00092489,34.2,31.5,20.7,13.5
E00092492,29.4,23.5,26.5,20.6
E00092493,29.9,28.6,35.1,6.5
E00092494,34.9,20.8,25.5,18.9
E00092495,32.2,11.9,39,16.9
E00092609,20.7,19,47.4,12.9
E00092610,28.8,19.2,43.2,8.8
E00092611,24.7,24.1,34,17.3
E00092612,17.9,26.8,46.4,8.9
E00092613,24.7,22.5,39.3,13.5
