areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00053354,85.6,9.5,4.9
E00053387,85.5,12.4,2.1
E00053388,87.6,8,4.4
E00053389,76.9,14.8,8.3
E00053391,85.9,11.3,2.7
E00053392,88.2,10.3,1.5
E00053393,83,12.7,4.3
E00053397,74.3,21.1,4.7
E00053398,81.8,13.3,4.9
E00053399,74.7,16,9.3
E00053400,87.6,10.6,1.8
E00053409,82,13.4,4.6
E00053440,64.1,14.9,21
E00053441,85.6,11,3.4
E00053442,86.5,10.5,3
E00053443,88.3,9.6,2.1
E00053444,87.3,11.3,1.4
E00053445,74.1,21.1,4.8
E00053447,84.7,10.6,4.7
E00053448,84.4,12.3,3.3
E00053450,85.2,13.3,1.5
E00053452,78,15.9,6.1
E00053687,70.6,23.2,6.2
E00053688,83.6,10.5,5.9
E00053689,86.2,11.7,2
E00053690,89.8,7.9,2.3
E00053691,79.5,14.3,6.1
E00053692,83.9,13.8,2.3
E00053693,80.5,18.4,1.1
E00053695,91.6,6.6,1.7
E00053696,78.2,16.4,5.4
E00053697,74.2,18.6,7.2
E00053698,75.7,18,6.4
E00053699,85.1,11.9,3
E00053706,80.5,13.6,5.8
E00053719,81.7,14.9,3.4
E00053720,83.8,12.9,3.3
E00053723,78.4,16.4,5.2
E00053726,76.1,19.4,4.5
E00053935,85,11.3,3.6
E00053936,85.3,9.5,5.2
E00053937,81,12.9,6.1
E00053938,88,9.9,2.1
E00053939,86.9,10.2,2.9
E00053940,84.6,12.3,3.1
E00053941,79.4,14.7,6
E00053942,79.2,14,6.8
E00053943,88.5,9.2,2.2
E00053944,86.7,10.2,3.1
E00053945,91.6,6.4,2
E00053946,86.8,10.9,2.3
E00053947,77.8,17.3,4.9
E00053948,91.7,6.9,1.4
E00053949,88.5,9.9,1.6
E00053950,84,12.3,3.7
E00053951,77.3,12.2,10.5
E00053952,89.2,7.3,3.5
E00053953,87.2,10.2,2.6
E00053954,76.7,17.8,5.5
E00053955,89.9,6.9,3.2
E00053956,92.5,6.3,1.2
E00053957,86.6,9.6,3.8
E00053958,84.8,12.2,3
E00053959,86.9,8.7,4.4
E00053960,84.3,12.6,3.1
E00053961,80.2,14.5,5.3
E00053962,85.7,10.4,3.9
E00053963,82.6,13.6,3.8
E00053964,85,9.6,5.4
E00053965,81.5,13.9,4.6
E00053966,90.5,7.6,1.9
E00053967,76.8,16.4,6.8
E00053968,70.4,23.5,6.1
E00053969,83.6,12.3,4.1
E00053970,84.5,10.5,5.1
E00053971,89.5,9.8,0.7
E00053972,90.5,6,3.5
E00053973,64.9,24.7,10.4
E00053974,83.2,14.4,2.4
E00053975,75.7,16.7,7.7
E00053976,85.6,11.8,2.6
E00053977,87.6,11.7,0.7
E00053978,87.3,8.9,3.8
E00053979,89.4,8.8,1.8
E00053980,71.9,20.8,7.3
E00053981,73.2,21.5,5.3
E00053982,75,11.3,13.7
E00053983,81,13.7,5.4
E00053984,81.7,12.6,5.7
E00053985,86.2,12.2,1.6
E00053986,83.8,10.2,6
E00053987,86.1,11.2,2.6
E00053988,74.9,17.1,8
E00053989,79.6,15.8,4.6
E00053990,53.9,27,19.1
E00053991,83.5,12.1,4.3
E00053992,72.5,20.5,7
E00053993,79.1,12.7,8.2
E00053994,73.6,21.8,4.6
E00053995,78.9,16.1,5
E00053996,79.7,16.8,3.5
E00053997,83.5,12,4.4
E00053998,81.1,13.2,5.7
E00053999,81.8,13.1,5.1
E00054000,81.1,13.2,5.7
E00054001,77.2,17.5,5.3
E00054002,88,9.4,2.6
E00054003,82.3,10.6,7.1
E00054004,79.2,12.7,8.1
E00054005,82.4,12.5,5
E00054006,83.1,12.2,4.7
E00054007,91.8,7.5,0.7
E00054008,86.5,10.8,2.7
E00054009,86.6,10.1,3.4
E00054011,84.5,12.6,2.9
E00054012,82.5,13.4,4.1
E00054013,81.7,13,5.3
E00054014,82.9,13.7,3.4
E00054015,86.6,10.6,2.8
E00054016,88.3,9.7,2
E00054017,77.7,15.5,6.8
E00054019,84.6,11,4.4
E00054020,80.7,14.8,4.4
E00054021,82.3,13.7,4
E00054022,83.4,12.8,3.8
E00054023,82.9,11.8,5.4
E00054024,82.6,12.8,4.6
E00054025,80.6,13.9,5.5
E00054026,78.9,13.3,7.8
E00054027,82.6,11.4,6
E00054028,85.2,9.9,4.9
E00054029,87.7,9.4,2.9
E00054030,57.2,28.3,14.5
E00054031,80.4,15.3,4.3
E00054032,63.7,20.1,16.2
E00054033,79.3,16.9,3.8
E00054038,66.1,21.9,12
E00054039,67.1,24.3,8.6
E00054040,77.3,15.8,7
E00054041,79.3,15.6,5.1
E00054042,55.8,23.4,20.8
E00054043,64.6,21.8,13.5
E00054044,63.9,24.3,11.9
E00054045,35.1,41.7,23.2
E00054046,83.6,12.4,4
E00054047,82.2,12.1,5.7
E00054048,85.4,10.9,3.7
E00054049,75.9,15.1,9
E00054050,74.5,18.7,6.7
E00054051,82.1,14.6,3.2
E00054052,80.1,18.1,1.9
E00054053,79,14.8,6.1
E00054054,82.3,12.4,5.4
E00054055,80.1,17,2.9
