areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00008583,61.5,36.3,2.2,0
E00008584,64,27.4,5.1,3.6
E00008609,68.3,29.2,2.5,0
E00008610,60.6,36.5,2.9,0
E00008612,65.2,32.6,2.3,0
E00008613,65.5,29.1,5.4,0
E00008620,61.2,32.8,3,3
E00008621,73.5,26.5,0,0
E00008622,71.7,27.7,0.6,0
E00008623,68.1,27.4,4.4,0
E00008625,66.7,24.8,7.8,0.8
E00008626,61.6,33.6,4.8,0
E00008627,62.5,36.5,1,0
E00008628,66.7,29.4,4,0
E00008629,69.9,25.2,4.1,0.8
E00008630,74.9,23.7,1.4,0
E00008631,71.2,26.4,1.9,0.5
E00008632,67.1,27.1,5.9,0
E00008633,77.7,18.4,3.9,0
E00008635,71.6,25.6,2.8,0
E00008637,72.6,24.8,2.5,0
E00008638,61.6,35.6,2.7,0
E00008639,72.3,23,3.7,1
E00008640,63.7,29.5,6.2,0.7
E00008643,71,28.2,0.8,0
E00008644,48.9,44,6.4,0.7
E00008646,75.2,21.4,3.4,0
E00008647,66.3,30.8,1.9,1
E00008648,45.8,51.1,3.1,0
E00008649,55.6,38.5,5.1,0.9
E00008650,53.2,40.4,6.4,0
E00008651,51.8,44.7,3.5,0
E00008652,52,40.2,6.9,1
E00008653,45.4,50.9,3.7,0
E00008654,35.6,57.4,6.9,0
E00008655,60.5,35.7,3.9,0
E00008656,47,40,8,5
E00008657,71.4,24.5,2,2
E00008658,35.4,54.5,10.1,0
E00008659,63.3,32.4,3.3,1
E00008661,48.5,42.6,8.9,0
E00008662,50.6,41.8,7.6,0
E00008663,61.2,29.5,5.4,3.9
E00008666,65.7,29.4,3,2
E00008667,69.3,30,0,0.7
E00008668,51.1,44.4,3.7,0.7
E00008670,56.2,40.5,2.5,0.8
E00008671,57.8,42.2,0,0
E00008672,48.4,45.9,4.1,1.6
E00008673,41.2,53.4,4.6,0.8
E00008674,62.4,33.3,4.2,0
E00008676,64.9,30.7,2.6,1.8
E00008678,56.6,41.6,1.8,0
E00008679,61.9,28,8.5,1.7
E00008680,69.7,26.3,3.9,0
E00008681,66.2,28.1,5.8,0
E00008682,76.1,19.9,3.4,0.6
E00008683,61.7,33,4.3,0.9
E00008684,66.4,26.2,3.3,4.1
E00008685,65.4,30.8,3.8,0
E00008686,61.5,34.3,3,1.2
E00008687,43.2,45.7,11.1,0
E00008689,65.4,32.3,0.8,1.6
E00008691,78.2,20.2,1.6,0
