areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00068616,94.5,0,5.5,0
E00068617,93.9,0,5.7,0.4
E00068618,90.6,0,8.5,0.9
E00068619,95.6,0,3.4,1
E00068621,96.3,0.6,3.2,0
E00068622,98.4,0,1.2,0.4
E00068623,92.2,0,7.8,0
E00068624,91.1,0.8,8.1,0
E00068626,90.8,0,9.2,0
E00068627,92.2,0,7.3,0.4
E00068628,94.8,1.7,3.1,0.4
E00068629,98.3,0,1.7,0
E00068630,94.1,0.3,5.2,0.3
E00068631,92.9,0,6.8,0.3
E00068632,89.7,0,10.3,0
E00068633,91.5,0.4,6.4,1.8
E00068635,95.9,0,4.1,0
E00068637,89.5,0,10.5,0
E00068638,92.8,0.4,6.8,0
E00068640,79.4,0,20.6,0
E00068641,96.3,0.4,2.6,0.7
E00068642,93.9,0,6.1,0
E00068644,96.7,0,3.3,0
E00068645,92.7,0,7.3,0
E00068647,88.6,1.3,9.6,0.4
E00068649,94.6,0,5.1,0.3
E00068651,87.8,0.3,11.5,0.3
E00068652,94.4,0,5.6,0
E00068653,94.4,0.3,5.2,0
E00068654,95.5,0.5,4,0
E00068655,92.8,0,7.2,0
E00068656,93.5,0,6.5,0
E00069909,94.3,0.4,5.3,0
E00069911,89.8,0.3,9.9,0
E00069913,95.4,0.3,4.3,0
E00069915,94.6,0.3,5.1,0
E00069916,93.7,0,6.3,0
E00069918,88.7,0.9,10.4,0
E00069919,93.3,0.4,6.3,0
E00069921,95,0.5,3.4,1.1
E00069922,90.8,0,8,1.3
E00069923,86.9,2.4,9.7,1.1
E00069924,92.3,0.4,7.3,0
E00069925,89.7,0,8,2.3
E00069926,95.7,0.4,3.5,0.4
E00069927,91.4,0,8.6,0
E00069928,93.1,0,6.9,0
E00069929,89.6,0.4,9.3,0.7
E00069930,93.1,0,6.5,0.3
E00069933,92.7,0,6.4,0.9
E00069935,91.6,1.1,7.3,0
E00069955,94.1,1.3,4.4,0.3
E00069961,91.6,0.4,4.9,3
E00069962,92.4,0.3,6.7,0.6
E00070539,88.4,0.7,7.5,3.4
E00070545,89.9,0.6,6.8,2.7
E00070546,89.4,0.5,9.5,0.5
E00070547,92.7,0.5,5.5,1.4
E00070548,89.1,0.4,10.2,0.4
E00070563,94.9,0,5.1,0
E00070571,87.5,0.3,8.7,3.6
E00070572,92.1,1.1,6.9,0
E00070573,89.5,0,9.8,0.7
E00070575,91,0.3,8,0.7
E00070577,90.8,0.5,6.7,1.9
E00070581,91.8,0,6.5,1.7
E00070583,85.7,0,12,2.3
E00098293,90,0.4,8.5,1.1
E00098294,98.4,0,1.6,0
E00098295,89.8,0,9.6,0.6
E00098296,91.6,0,8.1,0.2
E00098297,93.4,0,6.6,0
E00098298,96.3,0,3.7,0
E00098299,92.1,0.5,7.4,0
E00098300,94.4,0,4.7,0.9
E00098301,93,0.3,6.7,0
E00098302,92.1,0,7.9,0
E00098303,95.4,0.3,4.3,0
E00098304,93.3,0,6.7,0
E00098305,92.6,0,7.4,0
E00098306,96,0.7,2.7,0.7
E00098307,91,0,9,0
E00098308,97.1,0,2.9,0
E00098309,91.3,0,8.4,0.3
E00098312,87.2,0,11.4,1.5
E00098313,93.3,0.3,6.4,0
E00098314,92.4,0,7.6,0
E00098315,91.1,0,8.9,0
E00098320,82.8,0,15.2,2
E00098322,92.6,0.3,6.9,0.3
E00098323,97.6,0.3,2.1,0
E00098324,92,0,7.8,0.2
E00098325,83.6,0,16.1,0.3
E00098326,93.9,0,6.1,0
E00098442,95.6,0,4,0.4
E00098443,94.1,0.3,5.6,0
E00098444,92.9,0,7.1,0
E00098447,92.4,0.2,7.4,0
E00098448,90.1,0.3,9.6,0
E00098449,89.8,0.4,9.8,0
E00098450,90.3,0,9.7,0
E00098453,93.8,0.8,5.4,0
E00099352,95.9,0.3,3.8,0
E00099353,94.3,0,5.7,0
E00099354,95.7,0,4.3,0
E00099356,94.2,0.3,4.9,0.6
E00099357,93.5,0,6.1,0.4
E00099358,95.9,0,3.6,0.5
E00099359,89.5,0.3,10.1,0
E00099360,93.5,0,6.5,0
E00099361,91.4,0,8.6,0
E00099363,95.2,0.3,3.6,0.9
E00099364,92.1,0,7.6,0.3
E00099365,93.4,0.3,6.3,0
E00099366,94.3,0,5.7,0
E00099367,95.1,0,4.9,0
E00099384,90,0.2,9.8,0
E00099385,86.3,0,13.1,0.6
E00099386,92,0,8,0
E00099387,92.7,0.3,7,0
E00099388,89.2,0,9.8,1
E00099389,93.7,0,5.7,0.6
E00099390,93.4,0,6.6,0
E00099391,91.2,0,8.8,0
E00099392,86.3,0.3,13.4,0
E00099393,85.9,0.4,12.5,1.2
E00099394,94.7,0,5,0.3
E00099395,96.6,0,3.4,0
E00099396,95.1,0,4.9,0
E00099397,89.7,0,10.3,0
E00099398,89.3,0,10.4,0.3
E00099399,88.7,0.3,11,0
E00099410,96.7,0,3.3,0
E00099411,95.8,0,4.2,0
E00099412,94.6,0,5.4,0
E00099413,91,0,9,0
E00099422,93.9,0,4.5,1.6
E00099423,95.5,0,4.5,0
E00099424,92.5,0,6.8,0.7
E00099447,94.6,0,4.6,0.7
E00099448,89.7,0,9.8,0.5
E00099449,89.1,0.5,10.3,0
E00099450,90.9,0,9.1,0
E00099451,89.9,0.7,9.5,0
E00099452,86.9,0,13.1,0
E00099453,95.7,0,4.3,0
E00099454,93.5,0.3,6.2,0
E00099456,91.9,0.3,7.8,0
E00099457,93.2,0.3,6.5,0
E00099458,90.6,0,9.4,0
E00099459,90.2,0.2,9.6,0
E00099461,93.8,0,6.2,0
E00099462,94.1,0,5.9,0
E00099463,95.8,0,4.2,0
E00099464,89.1,0,10.9,0
E00099465,92,0,8,0
E00099466,87.6,0,12.4,0
E00099467,89.8,0,10.2,0
E00099468,91.4,0,8.6,0
E00099469,93.8,0.8,4.7,0.8
E00099470,92.2,0,7.8,0
E00099471,93.5,0,6.5,0
E00099472,90.6,0,9.4,0
E00099473,96.3,0,3.7,0
E00099474,83.7,0,13.3,3
E00099475,77.7,0,21.6,0.7
E00099476,81.5,0,18.2,0.3
E00099477,83.1,0,16.9,0
