areacd,disability_3a-001,disability_3a-002
E00065992,22.1,77.9
E00065993,15.3,84.7
E00065995,27.1,72.9
E00065996,23.9,76.1
E00065997,16.9,83.1
E00066019,12.9,87.1
E00066021,19.2,80.8
E00066022,24,76
E00066023,24,76
E00066024,43.8,56.2
E00066025,30.2,69.8
E00066026,36,64
E00066027,24.7,75.3
E00066028,22,78
E00066029,29.3,70.7
E00066030,27.8,72.2
E00066031,19.7,80.3
E00066032,24.9,75.1
E00066033,24.9,75.1
E00066034,29.3,70.7
E00066035,37,63
E00066036,43.5,56.5
E00066037,34.1,65.9
E00066038,29.2,70.8
E00066039,26,74
E00066040,25.4,74.6
E00066041,30.7,69.3
E00066042,28.3,71.7
E00066444,30.7,69.3
E00132235,19.5,80.5
E00132236,24.8,75.2
E00132237,20,80
E00132239,21.2,78.8
E00132240,18.2,81.8
E00132241,29.2,70.8
E00132305,19.8,80.2
E00132306,15.7,84.3
E00132307,21.1,78.9
E00132308,20,80
E00132322,38.5,61.5
E00132323,32.2,67.8
E00132324,32.7,67.3
E00132325,30.6,69.4
E00132326,37.1,62.9
E00132327,38,62
E00132328,29.1,70.9
E00132329,39.9,60.1
E00132330,44.2,55.8
E00132331,34.2,65.8
E00132332,50.8,49.2
E00132333,28.9,71.1
E00132334,34.1,65.9
E00132335,21,79
E00132336,30.7,69.3
E00132337,37.2,62.8
E00132339,32.4,67.6
E00132340,37.8,62.2
E00132341,33.9,66.1
E00132342,32.8,67.2
E00132351,23.2,76.8
E00132352,18,82
E00132353,22,78
E00132354,19,81
E00132355,19.7,80.3
E00132356,21.8,78.2
E00132357,21.3,78.7
E00132358,24.9,75.1
E00132359,33.7,66.3
E00132363,26.7,73.3
E00132368,28.7,71.3
E00132369,23.8,76.2
E00132370,24.6,75.4
E00132371,20.7,79.3
E00132372,22.7,77.3
E00132373,28.7,71.3
E00132374,27.9,72.1
E00132375,13.1,86.9
E00132383,22,78
E00132384,29.4,70.6
E00132387,16.7,83.3
E00132389,15.7,84.3
E00132390,21.6,78.4
E00132391,24.6,75.4
E00132421,21.5,78.5
E00132423,21.6,78.4
E00132425,18.8,81.2
E00132428,21.4,78.6
E00132430,21.8,78.2
E00132431,29.5,70.5
E00132432,19.9,80.1
E00132433,30.6,69.4
E00132434,17.7,82.3
E00132435,22.4,77.6
E00132436,29.7,70.3
E00132440,18.9,81.1
E00132441,22,78
E00132442,18.3,81.7
E00132445,35.2,64.8
E00132446,22.4,77.6
E00132447,27.4,72.6
E00132448,25.5,74.5
E00132449,36.7,63.3
E00132450,15.5,84.5
E00132451,13.8,86.2
E00132452,15.4,84.6
E00132493,18.1,81.9
E00132494,26.4,73.6
E00132495,21.5,78.5
E00132496,34.7,65.3
E00132497,30.9,69.1
E00132498,19.6,80.4
E00132499,31.4,68.6
E00132500,23.7,76.3
E00132501,27.6,72.4
E00132541,24.4,75.6
E00132542,18.4,81.6
E00132549,35.2,64.8
E00132550,12.8,87.2
E00132551,29.9,70.1
E00132552,26.8,73.2
E00132553,24.3,75.7
E00132554,24.9,75.1
E00132555,19,81
E00132556,33.9,66.1
E00132558,39.4,60.6
E00132562,38,62
E00132605,28.5,71.5
E00185344,14.3,85.7
E00185350,15.9,84.1
E00185369,33.9,66.1
E00185414,20.6,79.4
E00185433,33.1,66.9
E00185452,16.1,83.9
