geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00072704,13.6,45.6,7.3,31.1,2.4
E00072705,6.8,37,4.7,49.7,1.9
E00072706,17.9,34.4,5.5,39,3.2
E00072707,15.5,39.9,3.4,37.8,3.4
E00072708,10.9,46.7,7.4,32.8,2.2
E00072709,5.1,41.8,5.7,44.8,2.7
E00072710,10.2,39.8,6.9,39.8,3.3
E00072711,8,42.1,3.8,42.1,3.8
E00072712,9.6,38.2,3.3,47.1,1.8
E00072713,11.2,40.3,8.6,37.3,2.6
E00072715,16.6,40.8,5.6,33.5,3.4
E00072716,10,36.4,6.2,44.5,2.9
E00072717,11,40.1,6.6,40.6,1.6
E00072718,13.3,37.2,5.5,40.8,3.2
E00072719,16.4,36.9,5.6,36.9,4.2
E00072720,12.9,40.4,7.5,37.3,1.9
E00072721,11.6,36.3,5.8,43.2,3.1
E00072722,8.8,33,3.6,51.5,3
E00072723,30.1,39.7,6.7,19.5,3.9
E00072725,17.7,45.6,6.9,27.8,2
E00072726,12.8,48.1,4.5,31.2,3.4
E00072727,8.9,43.4,6,40.6,1.1
E00072728,17.6,50.2,2.7,26.3,3.1
E00072729,16.5,50.5,5.8,27.1,0
E00072730,19.4,43.3,4.9,27.5,4.9
E00072731,14.7,44.6,8.2,28.6,3.9
E00072732,25.9,37.3,7.6,25.5,3.8
E00072733,18.8,45.8,7.7,25.4,2.3
E00072734,15.7,41.7,4.8,36.6,1.2
E00072736,21.6,41.3,5.6,30.1,1.5
E00072737,14.6,42.1,7.3,36,0
E00072738,19.3,37.7,7.5,32.5,2.8
E00072739,14,53.6,5.9,24.3,2.3
E00072741,39,24.2,7.6,25.6,3.6
E00072742,14.2,45.7,8.2,28.5,3.4
E00072743,23,39.5,5.5,30.5,1.5
E00072744,10.3,43.5,6.2,38.4,1.7
E00072745,13.5,30.6,8.3,45.9,1.8
E00072746,19.2,37.7,5.9,32.6,4.6
E00072747,12.6,41.5,6,39.9,0
E00072748,22.3,43.3,5.5,24.8,4.2
E00072749,11.9,38.3,6.5,39.9,3.4
E00072750,11.5,58.3,8.5,21.7,0
E00072751,20,51.2,7,21.4,0.5
E00072752,22.1,44.3,6.3,25.5,1.8
E00072753,16.2,48.2,7.9,25.3,2.4
E00072993,11.6,30,5.1,51.9,1.4
E00072994,25.7,32.7,7.5,31.3,2.8
E00072996,12.6,32.3,7.1,44.9,3.1
E00072998,7.3,37.3,3.8,49.8,1.7
E00072999,9,43.3,3,42.2,2.6
E00073000,8.3,33,3.8,54.5,0.4
E00073338,17.3,36.8,11.3,32.9,1.7
E00073340,11.6,41.4,5.1,40,1.9
E00073341,6.6,41.3,3.7,46.3,2.1
E00073342,18.8,44.6,5.3,27.3,4.1
E00073343,12.3,42.3,7.4,35.2,2.9
E00073345,13.5,41.2,6.1,37.8,1.4
E00073346,13.4,35.4,7.2,43,1.1
E00073347,7.5,40.4,2.5,49.7,0
E00073349,24.8,39.9,2.7,31,1.6
E00073351,26.3,39.5,5.3,26.7,2.1
E00073352,30.4,40.7,6.5,20.6,1.9
E00073354,24.3,43.8,5.6,23.6,2.6
E00073355,19.4,45,8.3,25.3,2.1
E00073356,16.6,32.3,4.8,43.8,2.6
E00073357,17.1,37.8,7.6,34.7,2.8
E00073358,15.3,39.7,8.4,34.4,2.3
E00073359,18.5,47.9,4.5,24.5,4.5
E00073360,18.9,42.9,6.5,31.8,0
E00073362,19.8,37.2,4.1,35.7,3.2
E00073363,23.7,41.9,4.3,27.2,2.9
E00073364,29.7,38.1,7.9,20.1,4.2
E00073365,18.6,45.3,7.7,25.9,2.4
E00073367,16.7,43.6,8.9,29.6,1.2
E00073368,18.6,50.4,5.8,24,1.2
E00073369,22.7,44.3,6.3,25.5,1.2
E00073370,35.9,32.5,6.2,20.6,4.8
E00073371,29.5,39.9,5.8,22.5,2.3
E00073372,32,40.3,6.1,13.3,8.3
E00073375,14.5,38.3,3.7,41.3,2.2
E00073376,20.9,43.6,7.6,24.4,3.6
E00073385,37.5,40.6,5.8,16,0
E00073386,19.2,43.7,4.4,32.4,0.3
E00073387,30.3,42.3,5,19.9,2.5
E00074134,21.1,38,9.4,29.3,2.3
E00074136,18.8,36.2,8.1,31.7,5.2
E00074138,21.5,44.9,10.5,21.5,1.6
E00074139,7.4,39.7,5.9,47.1,0
E00074140,18,39.2,6.8,32,4.1
E00074141,17.3,46.1,9.9,25.4,1.4
E00074142,14.6,39.1,8,35.4,2.9
E00074143,20.7,46.7,6,24.3,2.3
E00074144,15,44.6,7.7,28.8,3.8
E00074145,16.7,46.1,10.1,25.6,1.6
E00074266,25.5,43.2,5.8,23.5,2.1
E00074267,18.5,42.1,8.6,25.3,5.6
E00074269,17.5,44.2,10.4,24.6,3.3
E00074270,18.8,48.2,10.2,16.9,5.9
E00074271,40.1,33,11.6,13.1,2.2
E00074276,24.4,49.8,5.6,18.1,2.1
E00074278,14,50,10.7,21.1,4.1
E00074280,18.6,54,8,17.3,2.2
E00074281,16.5,47.3,10.3,22.3,3.6
E00074282,15,53.9,10.2,17.7,3.1
E00074283,19.5,46.4,11.9,19.5,2.7
E00074284,30.2,36.8,7.1,23.6,2.2
E00074285,18.5,50.2,10,15.8,5.4
E00074289,21.1,48.2,7,22.4,1.3
E00074292,15,49.8,6,24.7,4.5
E00074293,24.9,48.8,6.8,15.7,3.8
E00074295,19.9,52.3,7.5,17.8,2.5
E00075114,18.7,38.7,8.9,31.5,2.1
E00075115,19.6,34,12.4,30.6,3.3
E00075116,10.9,48.3,8.7,30.6,1.5
E00075117,8,49.6,7.1,32.7,2.7
E00075118,20.5,47.6,7.6,22.9,1.4
E00075119,13.1,40.7,11.4,32.3,2.4
E00075120,13.8,44.8,6.1,34,1.3
E00075121,18.3,55.9,4.7,18.3,2.9
E00075361,15.9,44.4,11.9,24.4,3.3
E00075362,17,38.7,9.2,31,4.1
E00075363,13.4,46.2,9.9,27.6,2.9
E00075364,15.8,46.2,7.5,28.5,2
E00075365,16.3,45.9,9.2,26.9,1.7
E00075366,12.9,40.6,11.9,32.4,2.2
E00075367,13.5,40.5,11,31.6,3.4
E00075368,19,45.5,10.4,21.6,3.5
E00075369,13.7,49.3,8.2,25.3,3.4
E00075370,12.2,48.6,10.1,26.9,2.1
E00075371,16.2,46,7.7,28.7,1.5
E00075372,15.1,45.8,7.4,28,3.7
E00075373,15.9,47,10.2,25.4,1.4
E00075374,13.2,46.7,5.9,31.7,2.4
E00075375,12.5,51,9.7,23.3,3.5
E00075376,28.7,39.7,5.7,23.4,2.4
E00075377,9.5,49.2,7.3,31.8,2.1
E00075378,12.3,47.5,6.8,31.8,1.7
E00075379,14.1,51.8,5.9,27.3,0.9
