geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00079367,85.5,11.9,2.5
E00079368,79.9,15.5,4.5
E00079369,90.7,5.9,3.5
E00079370,87.5,8.6,3.9
E00079371,85,10.7,4.3
E00079372,93.4,5.3,1.3
E00079373,85.1,11.8,3.1
E00079374,92.3,5.8,1.9
E00079375,88.1,10.9,1
E00079376,88.3,10.1,1.6
E00079377,83.8,14.1,2
E00079378,82.3,15.5,2.3
E00079379,90.2,8,1.8
E00079380,92.2,6.6,1.2
E00079381,87.2,9.8,3
E00079382,85.5,10.8,3.8
E00079383,91.2,6.4,2.4
E00079384,87.5,11.4,1.1
E00079385,89.7,7,3.3
E00079386,85,10.7,4.3
E00079387,75.1,17.7,7.2
E00079388,56.3,27.2,16.4
E00079389,71.6,15.7,12.7
E00079390,84.6,7,8.4
E00079392,64.4,26.4,9.2
E00079393,56.5,27.9,15.6
E00079395,76,17.2,6.8
E00079397,66.1,18.5,15.4
E00079398,53.3,29.6,17.2
E00079400,78,14.3,7.8
E00079401,65.5,21.3,13.2
E00079402,71.4,16.6,12.1
E00079403,56.2,24.5,19.3
E00079404,65.6,21.4,12.9
E00079405,76,17.5,6.6
E00079406,69.8,18.5,11.7
E00079407,66.8,21,12.1
E00079408,56.9,34,9.1
E00079409,62.8,28,9.1
E00079410,40.7,39.3,20
E00079411,61.6,23.1,15.3
E00079412,54.1,29,16.9
E00079413,65.4,23.2,11.4
E00079414,59.6,24,16.4
E00079415,43.8,35,21.3
E00079416,82.5,13.3,4.2
E00079417,74.7,19.2,6.1
E00079418,76.9,16.4,6.7
E00079419,73.4,17.8,8.8
E00079420,74.8,14.1,11.1
E00079421,69,18.7,12.3
E00079422,89.8,9.3,0.9
E00079423,90.4,8.7,1
E00079424,86,10.8,3.2
E00079425,87.9,10.2,1.9
E00079426,90.6,8.3,1.1
E00079427,90.2,8.6,1.2
E00079428,87.3,11.8,1
E00079429,93.3,4.8,1.9
E00079430,85.3,12.5,2.2
E00079431,87.3,9.5,3.2
E00079432,84.4,13.5,2
E00079433,90.4,7.7,1.9
E00079434,82.1,15.6,2.3
E00079435,91.2,6.4,2.4
E00079436,90.9,6.2,2.9
E00079437,90.8,7.8,1.5
E00079438,91.8,7.6,0.6
E00079439,90.1,8.1,1.8
E00079440,95.2,4.4,0.4
E00079441,93.8,5.3,0.9
E00079442,88.9,9.3,1.9
E00079443,94.3,4.3,1.4
E00079444,90.2,8.7,1.1
E00079445,83.3,13.1,3.6
E00079446,64.7,27.8,7.4
E00079447,77.2,19.8,3
E00079448,62.7,33.7,3.6
E00079449,89.1,7.5,3.4
E00079450,82.5,16.4,1.1
E00079451,78.1,14.2,7.7
E00079452,75.6,16.6,7.8
E00079453,81,14.3,4.7
E00079454,79.3,17.3,3.3
E00079455,76.3,17.9,5.8
E00079456,74.1,19,6.9
E00079457,71.7,21.8,6.6
E00079458,79.3,14.1,6.6
E00079460,70.1,22.7,7.1
E00079461,73.1,21.3,5.6
E00079462,76.9,20.3,2.8
E00079463,76.1,20.2,3.7
E00079465,71.7,21.3,7
E00079466,76.7,16.6,6.7
E00079467,79.5,18.5,2
E00079468,80.1,17.1,2.7
E00079469,82.5,14.5,3
E00079471,74.5,18.7,6.8
E00079472,74.1,19.7,6.2
E00079473,70.7,21,8.3
E00079474,73,21.2,5.8
E00079475,79.7,14.8,5.5
E00079476,68.6,21,10.4
E00079477,78.3,16.7,5
E00079478,68.5,27.3,4.2
E00079479,74.3,22.2,3.5
E00079480,65.9,29.1,5
E00079481,73.7,16.5,9.7
E00079482,77.5,20.7,1.8
E00079483,84.2,9.1,6.6
E00079484,72.1,22.9,5
E00079485,79.2,16.4,4.4
E00079486,81.2,15.8,3
E00079487,81.3,16.2,2.4
E00079488,84.6,13.1,2.4
E00079489,83.6,14.8,1.6
E00079490,80.7,15.6,3.8
E00079491,78.9,17.7,3.3
E00079493,79.9,17.5,2.5
E00079494,86.8,10.6,2.6
E00079495,85.6,12.1,2.3
E00079496,82.4,15.8,1.9
E00079497,75.1,22,2.9
E00079498,76.6,19.8,3.6
E00079499,89.8,7.8,2.4
E00079500,85.7,12.2,2.1
E00079501,81.1,15.9,3
E00079502,84.3,14.9,0.8
E00079503,80.5,16,3.4
E00079506,59.7,33.2,7.1
E00079507,42.3,42.3,15.4
E00079508,57.9,28.3,13.8
E00079509,62.5,25.7,11.8
E00079510,54.5,27.1,18.4
E00079511,69.3,23.2,7.6
E00079512,68,19.4,12.7
E00079513,58.5,27.5,14
E00079515,57,39.3,3.7
E00079516,76.4,15.5,8
E00079517,67.1,24.5,8.4
E00079518,71.4,17.3,11.3
E00079519,73.1,16.9,10
E00079520,69.4,20,10.6
E00079521,66,18.7,15.3
E00079522,67.8,24.5,7.7
E00079527,60,23.3,16.6
E00079528,58.1,23.8,18.1
E00079529,59.7,20.5,19.8
E00079531,54.6,32.2,13.2
E00079532,61.1,23.4,15.5
E00079533,48.8,29.9,21.3
E00079534,66,25.1,8.9
E00079536,61.7,25.8,12.5
E00079538,64.8,29.8,5.4
E00079539,45.3,40.6,14
E00079540,65.2,27.8,7
E00079541,74.8,19.2,6
E00079542,75,20.9,4.1
E00079543,78.5,17,4.5
E00079544,82.2,11.7,6
E00079545,51.7,39.4,8.8
E00079547,82.7,12.1,5.2
E00079548,75.3,19.5,5.1
E00079549,92.9,5.6,1.5
E00079550,85.6,10,4.5
E00079551,78.3,14.9,6.9
E00079552,73.4,17,9.6
E00079553,76.5,17.1,6.4
E00079554,77.5,17.4,5.1
E00079555,75.3,19.4,5.4
E00079556,79,16.7,4.3
E00079557,85.4,11.1,3.5
E00079558,85.7,9.6,4.7
E00079559,49.2,41.6,9.2
E00079560,67.3,28.6,4.1
E00079561,76.7,16.9,6.4
E00079562,71.6,23.9,4.5
E00079563,69.6,23.7,6.7
E00079564,83.6,14.7,1.8
E00079565,77.8,17.8,4.4
E00079566,62.9,32.2,4.9
E00079567,79.5,15.1,5.4
E00079568,61.3,30.7,8
E00079569,55.8,34,10.1
E00079570,63.2,30.9,5.9
E00079571,82.6,13.7,3.7
E00079572,82.7,13.2,4.1
E00079573,82.2,14.7,3.1
E00079574,67.3,28.1,4.6
E00079575,54.3,36.6,9.1
E00079576,69.5,23.3,7.2
E00079577,70.4,23.6,6
E00079578,52.7,39.6,7.6
E00079579,68.7,27.1,4.1
E00079580,72.8,19,8.3
E00079581,54.2,40.1,5.8
E00079582,89.8,7.8,2.4
E00079583,84,13.6,2.4
E00079584,67.7,20.8,11.5
E00079585,68.6,24.9,6.5
E00079586,63.8,31.7,4.5
E00079587,65.2,27,7.8
E00079588,72.2,21.1,6.7
E00079589,60.1,35.2,4.7
E00079590,64.5,29.3,6.1
E00079591,48.1,40.9,11
E00079592,59.3,33.9,6.8
E00079593,44.1,43.6,12.3
E00079594,76.4,18,5.6
E00079595,53.7,38.4,7.9
E00079596,68.3,22.7,9.1
E00079597,68.4,28.6,3
E00079599,91.1,7.2,1.7
E00079600,81.8,15,3.1
E00079601,90.2,6.2,3.5
E00079602,87.5,8.7,3.8
E00079603,86.3,9.9,3.8
E00079604,87.2,10.1,2.7
E00079605,94.8,4.3,0.9
E00079606,94.1,5,0.9
E00079607,83.4,13.4,3.2
E00079608,87.7,10,2.2
E00079609,86.3,11.6,2.2
E00079610,82.6,10.5,6.9
E00079611,82.2,15.3,2.5
E00079612,83.4,13.5,3.1
E00079613,84.1,13.8,2
E00079614,81.2,13.2,5.6
E00079615,84.9,12.3,2.8
E00079616,86.8,9.9,3.3
E00079617,81.2,14.1,4.7
E00079618,77.8,19.2,3
E00079619,90.1,8.6,1.2
E00079620,89.1,9.1,1.8
E00079621,92.4,6.5,1.1
E00079622,89.5,8,2.4
E00079623,80.4,15.6,4
E00079624,81.4,13.7,4.8
E00079625,82.3,15.7,2
E00079626,86.2,10.3,3.5
E00079628,81.9,13.9,4.3
E00079629,80.4,15.1,4.5
E00079630,87.5,9.6,2.9
E00079631,82.4,15,2.7
E00079632,73.2,20.6,6.2
E00079635,84.7,12.9,2.5
E00079636,84,9.3,6.7
E00079637,82.3,14.7,3
E00079638,91.3,7.6,1.1
E00079639,85.7,12.7,1.6
E00079640,83.2,11.7,5
E00079641,85.4,11.3,3.3
E00079642,82.7,13.1,4.1
E00079643,72.4,23.3,4.2
E00079644,79.9,15.9,4.2
E00079645,77.6,18.2,4.2
E00079646,82.6,8.7,8.7
E00079647,78.8,18,3.2
E00079648,79.3,14.7,6
E00079649,81.8,16.8,1.4
E00079650,79.4,15.3,5.3
E00079651,85.6,10,4.4
E00079652,87.5,10.6,1.8
E00079653,84.9,9.1,6
E00079654,84.4,11.9,3.7
E00079655,81.1,10,9
E00079656,78.6,14.3,7.1
E00079657,82,13.8,4.2
E00079658,82.9,15.5,1.6
E00079659,73.4,22.4,4.1
E00079660,79.4,17.8,2.8
E00079661,81.3,16.7,1.9
