areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00098518,53.7,2.7,43.7
E00098520,56.9,1.3,41.8
E00098521,44.4,1.3,54.4
E00098522,52.7,0.9,46.4
E00098523,50.4,2,47.5
E00098524,67,3.3,29.8
E00098525,63.3,2.4,34.4
E00098526,45.5,2,52.6
E00098527,44,0.4,55.6
E00098552,52.2,2.2,45.5
E00098553,75.4,2.1,22.5
E00098558,58.3,1.9,39.8
E00098559,53.8,5.3,40.9
E00098560,61,1.7,37.2
E00098561,48.2,4.8,47
E00098562,32.4,2.3,65.3
E00098563,42.8,1.5,55.7
E00098564,52.8,2.8,44.3
E00098570,53.6,2.2,44.2
E00098629,46.4,0,53.6
E00098630,52.4,0.8,46.7
E00098631,54.5,1.1,44.4
E00098632,54.8,1.7,43.6
E00098633,56.4,2.2,41.4
E00098634,64.6,1,34.4
E00098635,58.6,2.5,38.9
E00098636,48.4,2.9,48.7
E00098637,52,2,46
E00098638,55,2.5,42.5
E00098639,48.6,0.4,51
E00098640,62.3,2.1,35.6
E00098644,63,0,37
E00098645,56.9,2.1,41
E00098651,58.2,2.3,39.5
E00098652,51.4,2,46.6
E00098653,45.1,1.7,53.2
E00098723,50.7,3.5,45.8
E00098724,56.9,0,43.1
E00098725,64.4,2.5,33.1
E00098726,60.6,0.9,38.6
E00098727,54.8,2.3,43
E00098728,67,3.2,29.8
E00098729,67.7,3.8,28.5
E00098730,60.5,3,36.5
E00098731,57.1,2.3,40.6
E00098732,51.7,6.3,42
E00098733,60.6,2.5,36.9
E00098734,66.7,3.2,30
E00098735,74.4,0,25.6
E00098736,58,3.4,38.6
E00098851,62.6,2.2,35.2
E00098855,44.8,0.4,54.8
E00098856,60.3,5,34.7
E00098857,29.9,4.4,65.7
E00098859,56.3,1.7,42.1
E00098860,51.4,4,44.5
E00098861,56.1,1.4,42.5
E00098863,49.8,7.1,43.1
E00098870,52,2,46
E00100064,40.8,1.9,57.3
E00100071,55.4,4.2,40.4
E00100072,58,3.4,38.5
E00100074,57.6,2.9,39.5
E00100075,50,3.8,46.2
E00100077,41.9,4,54
E00100079,59.4,3.8,36.7
E00100082,46.8,1.8,51.4
E00100184,42.8,3,54.2
E00100185,67.2,1.6,31.2
E00100186,49.4,1.7,48.9
E00100187,48.4,4.5,47.1
E00100188,51.7,3.3,45
E00100189,54.5,1.2,44.4
E00100190,63,2.2,34.8
E00100191,39.4,3.3,57.3
E00100192,49.8,2.9,47.3
E00100193,57,1.5,41.5
E00100194,37.8,4.1,58.1
E00100196,50.3,2.3,47.4
E00100197,43.6,7.2,49.2
E00100198,50.8,2,47.1
E00100199,36.4,1.8,61.8
E00100200,46.8,0.7,52.5
E00100201,51.6,5.5,42.9
E00100202,46.9,3.4,49.8
E00100204,73.8,2.9,23.3
E00100205,63.9,1.2,34.9
E00100206,48.4,1.9,49.6
E00100207,64.9,1.9,33.2
E00100208,64.1,0,35.9
E00100209,68.3,1.1,30.6
E00100240,59.2,2.6,38.2
E00100241,34.2,3.5,62.3
E00100242,61.2,4.1,34.7
E00100243,49.2,2.4,48.4
E00100244,72.8,0.8,26.3
E00100245,49.2,1.6,49.2
E00100246,58.3,1.1,40.7
E00100247,42,1.4,56.6
E00100248,65.7,0.4,33.9
E00100249,61.6,2.4,36
E00100250,50.2,3,46.8
E00100251,42.3,6.1,51.5
E00100252,53.9,3.5,42.5
E00100253,52.2,4.3,43.5
E00100254,63.4,3.3,33.3
E00100255,46,1.8,52.2
E00100256,51.4,4.5,44.1
E00100257,61.1,2.5,36.4
E00100258,45.1,1,53.8
E00100259,61.8,3.4,34.8
E00100260,56,1.6,42.4
E00100261,47.6,1.1,51.3
E00100262,57.9,0.9,41.2
E00100263,57.6,1.6,40.7
E00100264,65.7,1.7,32.6
E00100265,60.3,4.5,35.1
E00100266,52.5,5.4,42
E00100267,61.7,1.8,36.6
E00100268,61.1,3.1,35.8
E00100269,56.4,0.8,42.8
E00100270,56.2,1.5,42.3
E00100271,63.5,1.6,34.9
E00100272,59,1.8,39.2
E00100273,55,1.7,43.4
E00100289,44.8,0,55.2
E00100294,40.8,0,59.2
E00100298,52.1,0,47.9
E00100300,55.3,4.4,40.3
E00100301,55.6,1.1,43.4
E00100302,60.7,2.9,36.4
E00100303,57.1,3.3,39.6
E00100318,55.9,1,43.1
E00100323,57.8,2.4,39.8
E00100325,74.6,1.6,23.8
E00142473,59.9,0.8,39.3
E00142474,64.8,2.7,32.6
E00142475,54.9,4.1,41
E00142476,47.1,2.7,50.2
E00142477,34.7,3.1,62.2
E00142478,52.9,5.2,41.9
E00142479,32.5,3,64.5
E00142480,50,3.9,46.1
E00142481,55.8,3.3,40.9
E00142482,32.6,4.2,63.2
E00142483,45.5,1.6,52.9
E00142484,57,1.8,41.2
E00142485,59.3,2.9,37.7
E00142486,62.6,2.7,34.8
E00142487,59,2.5,38.5
E00142488,55.9,3.2,40.9
E00142489,56.9,0,43.1
E00142490,44.3,0,55.7
E00142491,58.2,2.9,38.9
E00142492,46.9,1.3,51.8
E00142493,58.3,3.3,38.5
E00142494,26.3,1.6,72
E00142495,55.6,5.8,38.6
E00142496,51.4,4,44.6
E00142497,59.5,4.5,36
E00142498,59.4,4,36.6
E00142499,46.7,3.6,49.7
E00142500,52.7,2.3,45
E00142501,58.2,8.6,33.2
E00142502,63.5,2.7,33.8
E00142503,50.2,5.7,44.1
E00142504,39.5,2.7,57.7
E00142505,50,3.7,46.3
E00142506,59.5,4.3,36.2
E00142507,48.8,3.3,47.8
E00142508,63,9.2,27.8
E00142509,51.2,5.2,43.6
E00142510,56.6,4.4,39
E00142511,56.7,0.6,42.7
E00142521,63.5,2.7,33.8
E00142522,59.6,7.7,32.8
E00142523,51.6,3.1,45.3
E00142524,43.8,4.8,51.3
E00142525,53.7,4.5,41.8
E00142527,58.5,3.9,37.7
