geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00005055,20.3,50,22.4,7.3
E00005056,10.9,43,32.8,13.3
E00005057,5.5,50.4,31.5,12.6
E00005058,19.8,37.1,25,18.1
E00005059,8.6,36.7,32.8,21.9
E00005060,33.6,30.8,25.2,10.3
E00005061,18.6,46.9,21.4,13.1
E00005062,40,45.8,12.5,1.7
E00005063,8.3,45,35,11.7
E00005064,15.7,55.2,20.9,8.2
E00005065,12,45.1,34.5,8.5
E00005066,25.4,56.6,14.8,3.3
E00005067,4.5,36.4,40.9,18.2
E00005068,5.5,47.2,31.5,15.7
E00005069,26.1,46.8,20.7,6.3
E00005070,8.7,47,30.4,13.9
E00005071,30.9,39.1,25.5,4.5
E00005072,7.6,48.9,32.1,11.5
E00005073,4.3,41,36.8,17.9
E00005074,8.5,40.2,36.8,14.5
E00005075,12.4,33.9,42.1,11.6
E00005076,14,27.1,41.1,17.8
E00005077,28.4,51.4,15.6,4.6
E00005078,15.6,36.9,34,13.5
E00005079,11.7,38.7,36.5,13.1
E00005080,9.1,40.9,34.8,15.2
E00005081,12.6,43.7,38.5,5.2
E00005082,34.2,33.3,23.4,9
E00005083,6.5,28.3,41.3,23.9
E00005084,9.6,36.8,40.4,13.2
E00005085,24.3,44.1,25.2,6.3
E00005086,13.5,42.9,33.8,9.8
E00005087,10.9,34.1,38.8,16.3
E00005088,14.9,45.5,26.4,13.2
E00005089,14.4,48.1,31.7,5.8
E00005090,3.4,39,39.8,17.8
E00005091,6.3,39.2,39.2,15.4
E00005092,20.5,46.7,24.6,8.2
E00005093,19.6,52.6,15.5,12.4
E00005094,2.3,22.2,42.6,33
E00005095,10.2,44.5,34.3,10.9
E00005097,9.1,33.1,40.9,16.9
E00005098,4.7,40.2,33.1,22
E00005099,42.6,47.3,8,2.1
E00005100,7.8,43,36.7,12.5
E00005101,6.3,41.7,36.2,15.7
E00005103,12.5,40.2,36.6,10.7
E00005104,23.4,54.7,20.4,1.5
E00005105,20,45.6,28.8,5.6
E00005106,14.2,40.2,32.3,13.4
E00005107,4.8,49.6,32,13.6
E00005108,15.7,47.1,32.6,4.7
E00005109,10.8,49,28.7,11.5
E00005110,22.7,41.4,28.9,7
E00005111,12.4,39.5,38,10.1
E00005112,10,40,34.5,15.5
E00005113,6.8,44.7,34.1,14.4
E00005114,10.9,37.2,37.2,14.7
E00005115,20.2,43.7,23,13.1
E00005116,5,36.9,40.4,17.7
E00005117,29.3,47.3,18.7,4.7
E00005118,26.3,55,16.3,2.5
E00005119,9.2,35.3,40.3,15.1
E00005120,7.4,27,36.9,28.7
E00005121,10.4,37.6,33.6,18.4
E00005122,9.8,26.8,41.5,22
E00005123,5.7,32.5,36.6,25.2
E00005124,7.4,55.6,26.9,10.2
E00005125,9,44.8,32.8,13.4
E00005126,6.8,39,37.3,16.9
E00005127,21.2,42.5,30.1,6.2
E00005128,2.3,30,36.9,30.8
E00005129,12.7,47.2,28.2,12
E00005130,40.9,36.4,18.2,4.5
E00005131,27.2,48.5,16.2,8.1
E00005322,27.2,44.7,22.8,5.3
E00005323,7.4,46.3,38.8,7.4
E00005324,18.7,52,23.6,5.7
E00005325,19.2,57.6,20.8,2.4
E00005326,22.1,46.1,24,7.8
E00005327,12.9,50,30.2,6.9
E00005328,15.6,56.3,20,8.1
E00005329,18.1,47.7,20.1,14.1
E00005330,5.4,39.9,40.5,14.2
E00005331,7.7,30,46.2,16.2
E00005332,2.8,33.1,44.1,20
E00005333,42.6,50.4,4.3,2.6
E00005334,6.7,31.1,41.2,21
E00005335,31.7,39.8,23.6,4.9
E00005336,14.7,44.8,28,12.6
E00005339,4.9,27.1,43.8,24.3
E00005340,30.1,52.8,13.8,3.3
E00005341,21.1,41.3,34.9,2.8
E00005342,42.9,44.4,8.3,4.5
E00005343,18.1,48.3,27.6,6
E00005344,13.1,51.5,24.6,10.8
E00005345,38.3,43.4,16.6,1.7
E00005346,23.4,52.4,21,3.2
E00005347,23.8,57.1,15.6,3.4
E00005348,9.5,43.8,26.7,20
E00005349,6.4,37.6,35.2,20.8
E00005350,9.3,31.5,38.9,20.4
E00005351,11.8,52.1,25.2,10.9
E00005352,8.2,32,41.8,18
E00005353,22.1,55.3,18.4,4.2
E00005354,7.4,48.1,30.6,13.9
E00005355,8.7,46.7,31.3,13.3
E00005356,4.5,40.5,38.7,16.2
E00005357,10.3,42.6,36,11
E00005358,15.9,43.4,36.3,4.4
E00005359,11,37.3,38.1,13.6
E00005360,16.9,50,23.5,9.6
E00005361,11.9,42.4,31.4,14.4
E00005362,10.5,46,33.9,9.7
E00005363,21.7,38.7,23.6,16
E00005441,12.5,52.2,25.7,9.6
E00005442,24.6,53.2,18.3,4
E00005443,7.2,28.8,35.3,28.8
E00005451,20,53.3,17.8,8.9
E00005452,27.6,44.1,19.7,8.7
E00005455,18.3,45.2,24.2,12.4
E00005456,29.5,52.7,10.7,7.1
E00005457,11.8,38.5,29.8,19.9
E00005458,14.5,39.5,30.3,15.8
E00005459,5.5,45.7,33.9,15
E00005461,28,57,14,1
E00005462,14.1,46.8,28.2,10.9
E00005463,8.8,40.4,35.1,15.8
E00005465,23.2,50.4,20.8,5.6
E00005466,48.1,45.3,4.7,1.9
E00005467,6.7,26.7,34.2,32.5
E00005469,12.2,46.8,31.7,9.4
E00005470,5.6,49.3,33.1,12
E00005471,5,43.3,33.3,18.3
E00005472,10.5,39.8,33.8,15.8
E00005473,26.3,56.4,12.8,4.5
E00005474,37.6,42.7,15.2,4.5
E00005475,41.5,48.1,10.4,0
E00005476,7,51.2,32.6,9.3
E00005477,18.5,56.1,22,3.5
E00005478,36.9,43.5,13.7,6
E00005479,14.6,58.5,21.5,5.4
E00005489,21.4,51.6,19,7.9
E00005493,12.8,41.4,37.6,8.3
E00005494,5.8,52.1,31.4,10.7
E00005495,11.2,50,26.9,11.9
E00005498,3.1,42.3,37.7,16.9
E00005508,3.9,47.3,32.6,16.3
E00005511,5.7,47.9,36.4,10
E00005514,5.2,42.5,40.3,11.9
E00020563,5.5,30.8,40.7,23.1
E00020664,15.6,40.6,31.3,12.5
E00020667,7.9,24.6,33.3,34.2
E00020668,14.6,42.3,31.5,11.5
E00020669,12.1,47.7,31.8,8.3
E00020670,24,39.2,27.2,9.6
E00020671,20.7,48.3,19.8,11.2
E00155889,5.3,40.1,34.3,20.3
E00155890,5.5,25,51.6,18
E00155891,5.4,28.7,40.3,25.6
E00155892,12,37.6,35,15.4
E00155893,9.5,38.7,35,16.8
E00155894,4.4,37.5,44.1,14
E00155895,6.9,42,33.6,17.6
E00155896,9.4,32.8,40.6,17.2
E00155897,9.2,33.6,42.9,14.3
E00155898,3,41.7,39.4,15.9
E00155900,0,21,50,29
E00155901,3.1,35.4,41.5,20
E00155902,3.9,28.9,48.4,18.8
E00155904,3,23.9,42.5,30.6
E00155907,9.9,46.6,32.1,11.5
E00155909,4.9,35,37.8,22.4
E00157264,30.6,36.4,24,9.1
E00157265,4.6,31,40.2,24.1
E00157266,15.8,42.9,30.1,11.3
E00157267,8.7,41.7,34.6,15
E00157268,14.3,36.5,34.9,14.3
E00157270,6.7,37.3,36.7,19.3
E00157271,8.9,34.4,41.4,15.3
E00157272,4.8,42.2,36.1,17
E00157273,8.1,38.7,39.5,13.7
E00157274,7,40.8,33.8,18.3
E00157275,13.5,41.3,31.7,13.5
E00157334,9.5,42.1,34.2,14.2
E00157337,25,35.7,26.8,12.5
E00157341,11,47.2,31.5,10.2
E00157343,20,40.7,27.6,11.7
E00157344,11.1,35.7,33.3,19.8
E00157345,16.8,48.9,25.2,9.2
E00170396,9.1,41.8,41.8,7.3
E00170397,3.1,44.9,35.7,16.3
E00170398,7.8,49,35.3,7.8
E00170399,8.6,33.6,42.2,15.5
E00170400,1,50,33,16
E00170402,2.9,14.4,54.8,27.9
E00170418,11.6,37.5,33.9,17
E00170419,3.1,38.5,44.6,13.8
E00170420,15.8,39.1,30.8,14.3
E00170423,35.5,43,13.1,8.4
E00170424,17.1,42.3,27.9,12.6
E00174946,60.6,31.3,7.1,1
E00174955,31.4,58.6,10,0
E00174956,36.1,54.6,7.4,1.9
E00180962,6.1,63.8,27.6,2.6
E00180969,68.3,30,0.8,0.8
E00180974,20.3,64.6,13.9,1.3
E00180986,65.3,31.7,2,1
E00180997,5.7,41.4,35.7,17.1
E00181009,4.8,63.1,26.2,6
E00181010,15.3,45.8,27.1,11.9
E00181015,8.9,49.1,27.7,14.3
E00181026,32.8,57,9.1,1.1
E00181029,3,57.1,37.6,2.3
E00181031,61.5,33.6,4.9,0
E00181039,32.4,50.8,14.1,2.7
